,bn,bs,sn,ss,sst,sal,po4,prey,chl_total,fe,mld,light,stratification
57,1.04208725e-10,6.339742e-11,6.7590274e-11,2.6230396e-11,-1.8435744,34.31543,6.322169e-08,0.17503741,1.4464772,3.9971973e-10,84.661674,96.760216,2.8856644e-07
58,1.0051943e-10,6.090092e-11,6.683893e-11,2.4958835e-11,-1.8470236,34.317043,5.669707e-08,0.1656707,1.4784402,4.1254156e-10,87.64576,96.760216,-6.519523e-07
59,1.5020474e-10,8.796629e-11,7.7807906e-11,3.2277146e-11,-1.8477031,34.306877,6.70692e-08,0.20177537,1.5231061,4.1155696e-10,94.96128,96.760216,-7.8095354e-08
60,1.7313055e-10,9.8280536e-11,8.084026e-11,3.4254342e-11,-1.8470265,34.264584,7.504717e-08,0.20981991,1.5623411,3.9924883e-10,96.99349,96.760216,8.707235e-08
61,2.4773086e-10,1.3384947e-10,9.0733025e-11,4.2103678e-11,-1.8452626,34.22483,9.367555e-08,0.24316654,1.6313361,3.9010095e-10,96.23088,96.760216,3.360987e-07
62,6.014215e-10,2.6393385e-10,1.172416e-10,4.8296443e-11,-1.8423692,34.18929,1.12437625e-07,0.260754,1.7684717,3.80735e-10,93.34674,96.760216,4.3348172e-07
63,3.9624506e-10,1.9149798e-10,1.06702924e-10,4.717074e-11,-1.8394284,34.144066,1.0265777e-07,0.25573182,1.7735868,3.6260114e-10,89.844986,96.760216,3.373514e-07
64,1.0064654e-09,4.14545e-10,1.3274445e-10,5.3554133e-11,-1.8358315,34.1106,1.2827778e-07,0.26648387,1.8548996,3.6194484e-10,88.04838,96.760216,2.9034373e-07
65,5.1494586e-10,2.3252016e-10,1.1548477e-10,4.9992916e-11,-1.832463,34.051155,1.1502472e-07,0.2630892,1.7673672,3.484673e-10,85.84009,96.760216,1.2202887e-07
66,1.8906299e-10,1.1214468e-10,8.6675014e-11,4.1998818e-11,-1.8293196,33.989887,9.28156e-08,0.24330474,1.6242441,3.3091585e-10,85.356636,96.760216,1.1398979e-06
