species,LGM_Topt_mean,PI_Topt_mean,LGM_Topt_sd,PI_Topt_sd,LGM_Topt_min,PI_Topt_min,LGM_Topt_max,PI_Topt_max,Topt_mean_diff
symbiont-barren non-spinose,10.428589873582583,10.672091545070703,6.765423604860673,5.416449369249014,-1.813580669724445,-1.7999944686889648,20.02680346065736,18.106782913208008,0.2435016714881204
symbiont-barren spinose,14.156149548945175,13.985801355768704,3.169719294289664,4.322430064988458,7.901952683757878,5.026673793792725,20.567692209276256,19.71927833557129,-0.17034819317647099
symbiont-obligate spinose,20.93374410004573,24.731131133333708,2.852522297754774,3.2984186985828097,15.066780989335228,17.522005081176758,25.783409012421224,29.290630340576172,3.797387033287979
