,dbn,dbs,dsn,dss,dsst,dsal,dpo4,dchl,dfe
1068,-1.9789406e-11,-8.748911e-12,1.3173171e-11,3.435517e-11,6.355056,0.48949432,-1.926859e-08,-0.03182128,-2.0261753e-10
1083,0.09598711,0.051881336,0.08716057,6.9817103e-11,4.5968924,-0.27253723,1.7129537e-07,0.113753945,-6.3056527e-10
1084,0.0362647,0.0014217937,0.04745126,5.1095655e-11,4.6261635,-0.5218239,3.3014643e-08,0.0122021735,-4.7807885e-10
1085,0.032118835,0.008897523,0.028200047,4.130097e-11,3.903699,-0.6902695,2.0356772e-08,0.010751814,-4.330339e-10
1086,0.04426091,0.011337951,0.036379483,3.9375107e-11,3.64015,-0.7390175,2.9760727e-08,0.018485487,-4.202256e-10
1087,0.04213401,0.01275132,0.036852174,3.9876775e-11,3.827839,-0.7604523,1.2188373e-08,0.012942657,-4.254698e-10
1088,0.025718236,0.010125163,0.026507318,3.8487068e-11,4.1123505,-0.7775612,-8.543708e-09,0.0022577047,-4.351316e-10
1089,0.022790775,0.009318233,0.02613972,3.7690434e-11,4.4071507,-0.7775078,-1.659265e-08,-0.00029589236,-4.4704213e-10
1090,0.041660883,0.0018477953,0.048581406,3.755571e-11,4.6034036,-0.7592468,-3.8044377e-09,0.008771896,-4.635273e-10
1091,0.019998036,1.2490213e-09,0.034749374,4.063439e-11,4.671682,-0.68828964,1.692554e-08,0.025514677,-4.978387e-10
1092,5.558504e-10,3.6159548e-10,7.3954054e-10,5.5332586e-11,5.2144313,-0.09441757,5.2657022e-08,0.10057857,-5.923245e-10
1100,0.015811358,0.004721446,0.011979431,3.8959558e-11,4.68643,0.68686295,6.3125526e-08,0.03228548,-1.9364105e-10
1101,0.04384459,0.04518484,0.04067192,5.059586e-11,4.860882,0.5767822,6.516859e-08,0.030696213,-1.995526e-10
1102,0.032715928,0.02148678,0.03464817,4.3738284e-11,5.1667557,0.5452881,5.3307943e-08,0.019498482,-1.9092344e-10
1103,0.03825001,0.0144826835,0.04019218,4.388479e-11,5.19097,0.4976616,6.5405885e-09,0.005686477,-2.0401214e-10
1104,1.980667e-09,6.790816e-10,0.01998522,4.0238583e-11,5.5091643,0.4745865,-2.4346775e-08,-0.01355505,-2.0691754e-10
1120,0.017845882,2.3042514e-10,0.039280888,4.13555e-11,5.231957,-0.61021805,2.716942e-08,0.057381094,-6.0250455e-10
1121,0.061161526,0.026573814,0.050599054,2.9730572e-11,3.566105,-0.90382767,-4.8618958e-09,0.03249964,-4.9608706e-10
1122,0.07040879,0.041324805,0.04126853,2.0736197e-11,2.4665332,-0.86507416,4.8344393e-08,0.08122532,-4.4155815e-10
1123,0.040889904,0.029213045,0.027603488,1.9371713e-11,2.6792808,-0.8931351,2.0903975e-08,0.05113858,-4.411349e-10
1124,0.027353175,0.047575586,0.02565002,2.8059749e-11,3.3774047,-0.8871269,4.4271076e-09,0.022178143,-4.5100987e-10
1125,0.044207953,0.03932385,0.041366022,3.3741503e-11,3.968227,-0.80382156,3.3105167e-08,0.028527617,-4.68491e-10
1126,0.09291669,0.036156386,0.07734988,3.3752105e-11,4.3415713,-0.64575577,8.7369884e-08,0.055213407,-4.980983e-10
1127,0.0671671,0.006963571,0.060629264,4.767487e-11,4.8061013,-0.33514786,1.2438608e-07,0.13079503,-5.711235e-10
1128,0.017734291,7.3272066e-10,0.030104782,5.4202674e-11,4.482791,0.15478897,7.913078e-08,0.14723706,-6.7379696e-10
