,bn,bs,sn,ss,sst,sal,po4,prey,fe,mld,light,stratification
694,4.6458434e-11,4.640787e-30,0.014313688,0.057243593,28.553535,34.6922,1.9697339e-08,0.10835825,3.483777e-11,80.840706,332.17743,-2.7535823e-06
695,5.0368855e-11,2.2570605e-22,0.014511604,0.057140816,28.205732,34.7221,2.0164844e-08,0.110774964,3.4989442e-11,80.840706,332.17743,-2.4367582e-06
696,6.096182e-11,1.1553308e-13,0.017254027,0.0590926,28.027082,34.681023,2.1329045e-08,0.11545596,3.7010558e-11,80.840706,332.17743,-2.3682737e-06
697,3.153469e-11,0.0,0.005833071,0.050000206,28.12668,34.668175,1.7415502e-08,0.10033932,3.3213012e-11,80.840706,332.17743,-1.602809e-06
698,6.9167363e-12,0.0,2.6442798e-10,0.03875634,28.498587,34.59861,1.3959041e-08,0.08291921,3.06604e-11,80.840706,332.17743,-9.861957e-07
699,1.5538881e-31,0.0,1.8162234e-10,0.028801356,29.08996,34.493855,1.1701197e-08,0.06950811,2.8290273e-11,80.87197,332.17743,-4.413792e-07
700,6.498121e-26,0.0,2.1110462e-10,0.034568217,29.676157,34.31108,1.2140726e-08,0.071202345,2.9465094e-11,80.87511,332.17743,-6.8806685e-08
701,1.0646924e-11,0.0,0.0043563033,0.04993583,30.975044,34.315002,1.4631048e-08,0.07277337,2.8609613e-11,38.30977,332.17743,-2.1239003e-07
704,0.0,0.0,7.145531e-11,1.488923e-10,30.493628,34.991688,5.6546385e-09,0.025165007,3.633633e-10,78.93351,332.17743,-5.450001e-07
705,0.0,0.0,9.816635e-11,2.4646926e-10,29.872345,35.04583,7.482658e-09,0.039562576,2.0936738e-10,80.85642,332.17743,-6.7536325e-07
706,2.1918382e-24,0.0,1.7747333e-10,0.026745243,29.442667,35.425804,1.1173247e-08,0.064300396,1.7833958e-10,80.840706,332.17743,-1.3346825e-06
707,0.0,0.0,1.226263e-10,0.004362551,29.924305,35.68985,8.833052e-09,0.046576865,2.0683306e-10,61.52998,332.17743,-7.7610747e-07
708,0.0,0.0,9.0239434e-11,2.1302235e-10,30.421906,35.437283,6.850657e-09,0.034413915,3.359289e-10,74.976974,332.17743,5.0561486e-08
709,0.0,0.0,1.216259e-10,0.0032073094,30.525764,35.877472,8.542582e-09,0.043478336,3.185671e-10,55.37687,332.17743,-1.3130462e-07
710,0.0,0.0,1.7244405e-10,0.026351592,31.948498,36.11461,9.785909e-09,0.04822308,2.7500954e-10,36.289616,332.17743,-1.67175e-08
714,0.0,0.0,4.1825696e-11,7.983675e-11,30.856726,35.354904,3.6171641e-09,0.0024563395,1.2927226e-10,81.30848,332.17743,9.24435e-07
715,0.0,0.0,7.158576e-11,1.5222168e-10,31.61904,35.33041,5.444418e-09,0.0231703,1.1411254e-10,65.957214,332.17743,2.708373e-08
716,0.0,0.0,5.5279014e-11,1.09617745e-10,31.365046,35.379898,4.473201e-09,0.013666326,2.809098e-10,62.18861,332.17743,8.1302034e-07
717,0.0,0.0,6.4465364e-11,1.307857e-10,31.088476,35.445007,5.0739195e-09,0.02052669,3.6538686e-10,81.07451,332.17743,7.5091225e-07
718,0.0,0.0,6.696061e-11,1.3738599e-10,31.121365,35.41232,5.2280638e-09,0.021975,3.226508e-10,81.09631,332.17743,7.031905e-07
719,6.916593e-12,0.0,0.007661348,0.052128743,32.922215,34.814053,1.36829605e-08,0.062308684,1.277907e-10,31.066116,332.17743,-4.315174e-07
721,0.0,0.0,5.3095677e-11,1.0670709e-10,33.71198,33.89885,4.045681e-09,0.010027286,1.9649641e-11,46.112545,328.44943,-1.18896054e-07
722,0.0,0.0,8.7000684e-11,2.1878108e-10,33.989994,33.845203,5.860307e-09,0.025160942,1.7418995e-11,29.50593,328.44943,-7.6674945e-07
723,0.0,0.0,5.226726e-11,1.03680856e-10,32.956955,34.03215,4.0427177e-09,0.01067079,1.7046926e-11,65.96688,328.44943,-3.08782e-07
724,0.0,0.0,5.2497066e-11,1.0302938e-10,32.131714,34.128227,4.143116e-09,0.012087466,1.7472536e-11,80.911125,328.44943,-1.5540735e-07
725,0.0,0.0,6.44824e-11,1.310943e-10,31.282288,34.17798,5.042364e-09,0.021052266,1.9294408e-11,80.91601,328.44943,-4.0865103e-07
726,0.0,0.0,8.432381e-11,1.9030211e-10,30.60768,34.277283,6.449486e-09,0.03295387,2.1714975e-11,80.87377,328.44943,-8.302699e-07
727,0.0,0.0,1.2047038e-10,0.0009273325,29.829063,34.41292,8.800443e-09,0.05004936,2.5847657e-11,80.840706,328.44943,-1.334013e-06
728,0.0,0.0,1.575613e-10,0.022209622,29.102066,34.525486,1.0858314e-08,0.06444991,2.9420893e-11,80.840706,328.44943,-1.6325255e-06
729,3.1491227e-12,0.0,2.3101956e-10,0.035435654,28.515352,34.602448,1.3285701e-08,0.07936425,3.2840543e-11,80.840706,328.44943,-1.916636e-06
730,5.7012945e-12,0.0,2.3285332e-10,0.035152953,28.14716,34.63513,1.3577869e-08,0.0815477,3.3054625e-11,80.840706,328.44943,-1.7923244e-06
731,5.5852763e-14,0.0,1.8771187e-10,0.028235743,28.079485,34.645924,1.24619985e-08,0.07535065,3.1381366e-11,80.840706,328.44943,-1.2484085e-06
732,2.6906812e-17,0.0,1.7605052e-10,0.025577076,28.079594,34.598827,1.20782655e-08,0.073056795,3.1313237e-11,80.840706,328.44943,-1.0205997e-06
733,0.0,0.0,1.2545022e-10,0.0031474347,28.445213,34.57159,9.688643e-09,0.056663964,2.7461429e-11,80.863686,328.44943,-5.009649e-07
734,0.0,0.0,9.406716e-11,2.2398676e-10,29.167686,34.502705,7.503234e-09,0.040214825,2.5188894e-11,72.7766,328.44943,-7.404119e-08
735,1e-45,0.0,1.756538e-10,0.027096799,29.784538,34.385788,1.1156991e-08,0.0608637,2.7569556e-11,47.23186,328.44943,-4.2644498e-07
736,2.3184356e-10,5.4921293e-11,0.03478227,0.07108534,29.937971,34.232204,2.590013e-08,0.10559323,3.813331e-11,10.552428,328.44943,-1.470413e-06
737,1.9434715e-10,4.4315662e-11,0.03446518,0.071451284,30.296255,34.29949,2.5866203e-08,0.10870462,4.1811773e-11,24.865856,328.44943,-9.80461e-07
740,0.0,0.0,8.915225e-11,2.0236912e-10,29.340096,35.03477,7.096805e-09,0.036880374,3.6889897e-10,80.840706,328.44943,-1.2829123e-06
741,0.0,0.0,9.853847e-11,2.4019808e-10,28.921171,35.318504,7.823716e-09,0.042289287,2.7904598e-10,80.92639,328.44943,-1.3568576e-06
742,0.0,0.0,8.1810794e-11,1.7571294e-10,29.026802,35.557945,6.7069843e-09,0.033944923,2.537999e-10,80.9521,328.44943,-5.369179e-07
743,0.0,0.0,8.8832615e-11,2.0536013e-10,29.874863,35.744736,6.9472126e-09,0.03441402,3.0167324e-10,64.108696,328.44943,-5.636306e-07
744,1.1914583e-10,2.0661198e-11,0.027290292,0.06451499,31.094212,35.0392,2.0078007e-08,0.07424378,3.0904745e-10,0.19430524,328.44943,-2.7311316e-06
751,0.0,0.0,1.8096681e-10,0.028526759,30.587511,35.210945,1.0760682e-08,0.05855827,1.3983821e-10,62.68462,328.44943,-9.0869304e-07
752,0.0,0.0,6.6389165e-11,1.3470672e-10,30.251486,35.398434,5.3792197e-09,0.022867087,3.107248e-10,77.20151,328.44943,5.674066e-07
753,4e-45,0.0,1.860905e-10,0.029321842,30.762274,35.408703,1.0769418e-08,0.057085752,3.9587025e-10,53.29952,328.44943,-5.9284673e-07
754,0.0,0.0,1.9857899e-10,0.032162,31.044851,35.167538,1.0934451e-08,0.058593262,2.765121e-10,59.77507,328.44943,-2.5719194e-07
755,9.827905e-34,0.0,7.713484e-09,0.044572294,33.13404,34.77295,1.1788743e-08,0.056829274,1.1757684e-10,37.478477,328.44943,-1.2696292e-07
757,0.0,0.0,5.4603357e-11,1.0947036e-10,32.92879,33.840885,4.245825e-09,0.01169595,2.5248657e-11,44.05237,322.87704,-3.5745603e-07
758,0.0,0.0,4.626026e-11,9.033643e-11,32.50738,33.951275,3.7390464e-09,0.00640045,2.1042683e-11,64.7486,322.87704,-1.3929596e-07
