species,delta_habtemp
B. digitata,-1.3746206850807923
C. nitida,2.214199702355895
D. anfracta,4.074277444750624
G. adamsi,
G. bulloides,0.5580222172352052
G. calida,1.0689557696087846
G. conglobatus,1.4859993393356703
G. conglomerata,0.82693452920903
G. crassaformis,0.12804921151559512
G. cultrata,-1.7525359407088033
G. eastropacia,
G. falconensis,-0.249345491518838
G. glutinata,0.8232801835556778
G. hexagonus,3.3926367396375348
G. hirsuta,1.3762743830488304
G. inflata,0.3584398052548323
G. ruber albus,0.2595974357354791
G. ruber ruber,-1.180973408273431
G. rubescens,-0.4451899604044769
G. scitula,1.8030277870046163
G. siphonifera,2.398418654812623
G. tenellus,-0.680695327829504
G. truncatulinoides,-0.32230631981742874
G. tumida,-1.2268085573213057
G. uvula,6.105371415666184
N. dutertrei,-0.7109849248647038
N. incompta,-1.742437924385829
N. pachyderma,-0.3732960658458495
O. universa,-0.2349363660113326
P. obliquiloculata,-0.30766352401361274
S. dehiscens,2.485175573986645
T. humilis,2.0708170698478483
T. iota,
T. quinqueloba,-0.9352172583542107
T. sacculifer,0.5929646954290035
