Event,Latitude,Longitude,Elevation [m],Symbiosis,Spinose,Depth [m],Relative_Abundance
GeoB1111-3,-5.8433,-8.6517,-3812,No,Yes,0,0.02
GeoB1111-3,-5.8433,-8.6517,-3812,Yes,No,0,0.299
GeoB1111-3,-5.8433,-8.6517,-3812,Yes,Yes,0,1.0959999999999999
GeoB1112-4,-5.7783,-10.75,-3125,No,No,0,0.099
GeoB1112-4,-5.7783,-10.75,-3125,No,Yes,0,0.015
GeoB1112-4,-5.7783,-10.75,-3125,Yes,No,0,0.30400000000000005
GeoB1112-4,-5.7783,-10.75,-3125,Yes,Yes,0,1.045
GeoB1113-4,-5.745,-11.0367,-2374,No,No,0,0.10400000000000001
GeoB1113-4,-5.745,-11.0367,-2374,No,Yes,0,0.026000000000000002
GeoB1113-4,-5.745,-11.0367,-2374,Yes,No,0,0.314
GeoB1113-4,-5.745,-11.0367,-2374,Yes,Yes,0,1.064
GeoB1114-4,-5.285,-10.2033,-3416,No,No,0,0.087
GeoB1114-4,-5.285,-10.2033,-3416,No,Yes,0,0.024
GeoB1114-4,-5.285,-10.2033,-3416,Yes,No,0,0.29300000000000004
GeoB1114-4,-5.285,-10.2033,-3416,Yes,Yes,0,1.0570000000000002
GeoB1116-2,-3.6233,-13.1867,-3472,No,No,0,0.102
GeoB1116-2,-3.6233,-13.1867,-3472,No,Yes,0,0.018000000000000002
GeoB1116-2,-3.6233,-13.1867,-3472,Yes,No,0,0.352
GeoB1116-2,-3.6233,-13.1867,-3472,Yes,Yes,0,1.0030000000000003
GeoB1117-2,-3.815,-14.8967,-3984,No,No,0,0.09
GeoB1117-2,-3.815,-14.8967,-3984,No,Yes,0,0.021
GeoB1117-2,-3.815,-14.8967,-3984,Yes,No,0,0.261
GeoB1117-2,-3.815,-14.8967,-3984,Yes,Yes,0,1.173
GeoB1203-2,-26.5483,5.0167,-2395,No,No,0,0.135
GeoB1203-2,-26.5483,5.0167,-2395,No,Yes,0,0.105
GeoB1203-2,-26.5483,5.0167,-2395,Yes,No,0,0.64
GeoB1203-2,-26.5483,5.0167,-2395,Yes,Yes,0,0.40800000000000003
GeoB1204-3,-25.045,5.4983,-2241,No,No,0,0.18700000000000003
GeoB1204-3,-25.045,5.4983,-2241,No,Yes,0,0.151
GeoB1204-3,-25.045,5.4983,-2241,Yes,No,0,0.6459999999999999
GeoB1204-3,-25.045,5.4983,-2241,Yes,Yes,0,0.31399999999999995
GeoB1207-2,-24.5983,6.855,-2593,No,No,0,0.135
GeoB1207-2,-24.5983,6.855,-2593,No,Yes,0,0.16899999999999998
GeoB1207-2,-24.5983,6.855,-2593,Yes,No,0,0.618
GeoB1207-2,-24.5983,6.855,-2593,Yes,Yes,0,0.333
GeoB1208-1,-24.4917,7.1133,-2971,No,No,0,0.20099999999999998
GeoB1208-1,-24.4917,7.1133,-2971,No,Yes,0,0.105
GeoB1208-1,-24.4917,7.1133,-2971,Yes,No,0,0.591
GeoB1208-1,-24.4917,7.1133,-2971,Yes,Yes,0,0.308
GeoB1209-1,-24.5117,7.2833,-3303,No,No,0,0.163
GeoB1209-1,-24.5117,7.2833,-3303,No,Yes,0,0.09699999999999999
GeoB1209-1,-24.5117,7.2833,-3303,Yes,No,0,0.601
GeoB1209-1,-24.5117,7.2833,-3303,Yes,Yes,0,0.3400000000000001
GeoB1210-3,-24.485,7.4383,-3750,No,No,0,0.20700000000000002
GeoB1210-3,-24.485,7.4383,-3750,No,Yes,0,0.141
GeoB1210-3,-24.485,7.4383,-3750,Yes,No,0,0.584
GeoB1210-3,-24.485,7.4383,-3750,Yes,Yes,0,0.2770000000000001
GeoB1215-1,-24.8367,6.845,-2761,No,No,0,0.207
GeoB1215-1,-24.8367,6.845,-2761,No,Yes,0,0.092
GeoB1215-1,-24.8367,6.845,-2761,Yes,No,0,0.662
GeoB1215-1,-24.8367,6.845,-2761,Yes,Yes,0,0.28400000000000003
GeoB1216-2,-24.925,6.7883,-2263,No,No,0,0.13199999999999998
GeoB1216-2,-24.925,6.7883,-2263,No,Yes,0,0.142
GeoB1216-2,-24.925,6.7883,-2263,Yes,No,0,0.601
GeoB1216-2,-24.925,6.7883,-2263,Yes,Yes,0,0.309
GeoB1217-1,-24.945,6.725,-2007,No,No,0,0.17900000000000002
GeoB1217-1,-24.945,6.725,-2007,No,Yes,0,0.19399999999999998
GeoB1217-1,-24.945,6.725,-2007,Yes,No,0,0.4640000000000001
GeoB1217-1,-24.945,6.725,-2007,Yes,Yes,0,0.303
GeoB1218-1,-25.1683,5.9183,-1023,No,No,0,0.242
GeoB1218-1,-25.1683,5.9183,-1023,No,Yes,0,0.163
GeoB1218-1,-25.1683,5.9183,-1023,Yes,No,0,0.489
GeoB1218-1,-25.1683,5.9183,-1023,Yes,Yes,0,0.33
GeoB1220-2,-24.0333,5.3067,-2266,No,No,0,0.207
GeoB1220-2,-24.0333,5.3067,-2266,No,Yes,0,0.128
GeoB1220-2,-24.0333,5.3067,-2266,Yes,No,0,0.562
GeoB1220-2,-24.0333,5.3067,-2266,Yes,Yes,0,0.3450000000000001
GeoB1308-1,-32.7867,-27.75,-3622,No,No,0,0.21299999999999997
GeoB1308-1,-32.7867,-27.75,-3622,No,Yes,0,0.135
GeoB1308-1,-32.7867,-27.75,-3622,Yes,No,0,0.40399999999999997
GeoB1308-1,-32.7867,-27.75,-3622,Yes,Yes,0,0.544
GeoB1309-3,-31.6667,-28.665,-3963,No,No,0,0.223
GeoB1309-3,-31.6667,-28.665,-3963,No,Yes,0,0.063
GeoB1309-3,-31.6667,-28.665,-3963,Yes,No,0,0.373
GeoB1309-3,-31.6667,-28.665,-3963,Yes,Yes,0,0.772
GeoB1310-1,-31.5883,-28.9033,-3346,No,No,0,0.24600000000000002
GeoB1310-1,-31.5883,-28.9033,-3346,No,Yes,0,0.114
GeoB1310-1,-31.5883,-28.9033,-3346,Yes,No,0,0.47600000000000003
GeoB1310-1,-31.5883,-28.9033,-3346,Yes,Yes,0,0.5840000000000001
GeoB1311-2,-31.5133,-29.0983,-2899,No,No,0,0.11699999999999999
GeoB1311-2,-31.5133,-29.0983,-2899,No,Yes,0,0.133
GeoB1311-2,-31.5133,-29.0983,-2899,Yes,No,0,0.28099999999999997
GeoB1311-2,-31.5133,-29.0983,-2899,Yes,Yes,0,0.8080000000000002
GeoB1312-3,-31.6617,-29.6567,-3436,No,No,0,0.133
GeoB1312-3,-31.6617,-29.6567,-3436,No,Yes,0,0.121
GeoB1312-3,-31.6617,-29.6567,-3436,Yes,No,0,0.26499999999999996
GeoB1312-3,-31.6617,-29.6567,-3436,Yes,Yes,0,0.7900000000000001
GeoB1313-1,-31.6617,-30.0333,-3698,No,No,0,0.136
GeoB1313-1,-31.6617,-30.0333,-3698,No,Yes,0,0.14
GeoB1313-1,-31.6617,-30.0333,-3698,Yes,No,0,0.267
GeoB1313-1,-31.6617,-30.0333,-3698,Yes,Yes,0,0.762
GeoB1403-2,-1.1983,-11.7117,-3692,No,No,0,0.086
GeoB1403-2,-1.1983,-11.7117,-3692,No,Yes,0,0.066
GeoB1403-2,-1.1983,-11.7117,-3692,Yes,No,0,0.326
GeoB1403-2,-1.1983,-11.7117,-3692,Yes,Yes,0,0.9189999999999999
GeoB1407-7,-4.3283,-10.2533,-3520,No,No,0,0.09499999999999999
GeoB1407-7,-4.3283,-10.2533,-3520,No,Yes,0,0.031
GeoB1407-7,-4.3283,-10.2533,-3520,Yes,No,0,0.301
GeoB1407-7,-4.3283,-10.2533,-3520,Yes,Yes,0,1.0629999999999997
GeoB1408-3,-12.8183,-6.185,-1848,No,No,0,0.05399999999999999
GeoB1408-3,-12.8183,-6.185,-1848,No,Yes,0,0.07200000000000001
GeoB1408-3,-12.8183,-6.185,-1848,Yes,No,0,0.31
GeoB1408-3,-12.8183,-6.185,-1848,Yes,Yes,0,0.9629999999999999
GeoB1413-2,-15.675,-9.4567,-3785,No,No,0,0.075
GeoB1413-2,-15.675,-9.4567,-3785,No,Yes,0,0.077
GeoB1413-2,-15.675,-9.4567,-3785,Yes,No,0,0.352
GeoB1413-2,-15.675,-9.4567,-3785,Yes,Yes,0,0.9640000000000001
GeoB1414-2,-15.5283,-10.7283,-3605,No,No,0,0.073
GeoB1414-2,-15.5283,-10.7283,-3605,No,Yes,0,0.059000000000000004
GeoB1414-2,-15.5283,-10.7283,-3605,Yes,No,0,0.386
GeoB1414-2,-15.5283,-10.7283,-3605,Yes,Yes,0,0.8390000000000001
GeoB1415-1,-15.53,-11.5783,-3116,No,No,0,0.07500000000000001
GeoB1415-1,-15.53,-11.5783,-3116,No,Yes,0,0.036000000000000004
GeoB1415-1,-15.53,-11.5783,-3116,Yes,No,0,0.35300000000000004
GeoB1415-1,-15.53,-11.5783,-3116,Yes,Yes,0,0.929
GeoB1418-1,-15.5333,-14.885,-3524,No,No,0,0.043
GeoB1418-1,-15.5333,-14.885,-3524,No,Yes,0,0.025
GeoB1418-1,-15.5333,-14.885,-3524,Yes,No,0,0.281
GeoB1418-1,-15.5333,-14.885,-3524,Yes,Yes,0,1.082
GeoB1503-2,2.31,-30.6483,-2298,No,No,0,0.099
GeoB1503-2,2.31,-30.6483,-2298,No,Yes,0,0.006999999999999999
GeoB1503-2,2.31,-30.6483,-2298,Yes,No,0,0.271
GeoB1503-2,2.31,-30.6483,-2298,Yes,Yes,0,0.9839999999999999
GeoB1504-1,2.2883,-31.2867,-2980,No,No,0,0.085
GeoB1504-1,2.2883,-31.2867,-2980,No,Yes,0,0.012
GeoB1504-1,2.2883,-31.2867,-2980,Yes,No,0,0.183
GeoB1504-1,2.2883,-31.2867,-2980,Yes,Yes,0,1.255
GeoB1505-3,2.2733,-33.0067,-3703,No,No,0,0.08999999999999998
GeoB1505-3,2.2733,-33.0067,-3703,No,Yes,0,0.011000000000000001
GeoB1505-3,2.2733,-33.0067,-3703,Yes,No,0,0.192
GeoB1505-3,2.2733,-33.0067,-3703,Yes,Yes,0,1.2160000000000002
GeoB1508-1,5.3333,-34.025,-3685,No,No,0,0.042
GeoB1508-1,5.3333,-34.025,-3685,No,Yes,0,0.011000000000000001
GeoB1508-1,5.3333,-34.025,-3685,Yes,No,0,0.16399999999999998
GeoB1508-1,5.3333,-34.025,-3685,Yes,Yes,0,1.2380000000000002
GeoB1511-6,3.1783,-46.3433,-3162,No,No,0,0.13699999999999998
GeoB1511-6,3.1783,-46.3433,-3162,No,Yes,0,0.006
GeoB1511-6,3.1783,-46.3433,-3162,Yes,No,0,0.33
GeoB1511-6,3.1783,-46.3433,-3162,Yes,Yes,0,0.9
GeoB1512-2,5.9033,-48.04,-3718,No,No,0,0.07200000000000001
GeoB1512-2,5.9033,-48.04,-3718,No,Yes,0,0.012
GeoB1512-2,5.9033,-48.04,-3718,Yes,No,0,0.149
GeoB1512-2,5.9033,-48.04,-3718,Yes,Yes,0,1.3530000000000002
GeoB1513-2,5.4317,-46.9267,-3621,No,No,0,0.106
GeoB1513-2,5.4317,-46.9267,-3621,No,Yes,0,0.01
GeoB1513-2,5.4317,-46.9267,-3621,Yes,No,0,0.223
GeoB1513-2,5.4317,-46.9267,-3621,Yes,Yes,0,1.1870000000000003
GeoB1514-4,5.1383,-46.575,-3511,No,No,0,0.11
GeoB1514-4,5.1383,-46.575,-3511,No,Yes,0,0.023
GeoB1514-4,5.1383,-46.575,-3511,Yes,No,0,0.21599999999999997
GeoB1514-4,5.1383,-46.575,-3511,Yes,Yes,0,1.222
GeoB1520-1,4.5917,-41.935,-3911,No,No,0,0.063
GeoB1520-1,4.5917,-41.935,-3911,No,Yes,0,0.01
GeoB1520-1,4.5917,-41.935,-3911,Yes,No,0,0.14500000000000002
GeoB1520-1,4.5917,-41.935,-3911,Yes,Yes,0,1.3030000000000002
