Core,Latitude,Longitude,Water depth (m),Symbiosis,Spinose,Relative_Abundance
D11941#1,35.732,-12.357,4830,Yes,No,0.23399999999999999
D11941#1,35.732,-12.357,4830,Yes,Yes,0.759
D11941#4,35.728,-12.35,4830,No,No,0.201
D11941#4,35.728,-12.35,4830,No,Yes,0.20199999999999999
D11941#4,35.728,-12.35,4830,Yes,No,0.301
D11941#4,35.728,-12.35,4830,Yes,Yes,0.7240000000000001
D11943,35.682,-13.305,4830,No,No,0.259
D11943,35.682,-13.305,4830,No,Yes,0.196
D11943,35.682,-13.305,4830,Yes,No,0.262
D11943,35.682,-13.305,4830,Yes,Yes,0.778
D11946,35.605,-11.248,4827,No,No,0.24999999999999997
D11946,35.605,-11.248,4827,No,Yes,0.157
D11946,35.605,-11.248,4827,Yes,No,0.29100000000000004
D11946,35.605,-11.248,4827,Yes,Yes,0.76
D11948#7,35.938,-11.187,4820,No,No,0.22399999999999998
D11948#7,35.938,-11.187,4820,No,Yes,0.172
D11948#7,35.938,-11.187,4820,Yes,No,0.27399999999999997
D11948#7,35.938,-11.187,4820,Yes,Yes,0.7840000000000003
D11949,35,-10.732,4820,No,No,0.23
D11949,35,-10.732,4820,No,Yes,0.231
D11949,35,-10.732,4820,Yes,No,0.353
D11949,35,-10.732,4820,Yes,Yes,0.504
D11950,36.227,-10.492,4805,No,No,0.23800000000000002
D11950,36.227,-10.492,4805,No,Yes,0.239
D11950,36.227,-10.492,4805,Yes,No,0.291
D11950,36.227,-10.492,4805,Yes,Yes,0.6439999999999999
D11951,37.347,-11.86,5000,No,No,0.5469999999999999
D11951,37.347,-11.86,5000,No,Yes,0.098
D11951,37.347,-11.86,5000,Yes,No,0.38900000000000007
D11951,37.347,-11.86,5000,Yes,Yes,0.42400000000000004
D11952,37.347,-11.86,5042,No,No,0.48399999999999993
D11952,37.347,-11.86,5042,No,Yes,0.128
D11952,37.347,-11.86,5042,Yes,No,0.396
D11952,37.347,-11.86,5042,Yes,Yes,0.38
D11954#4,37.42,-11.09,5070,No,No,0.6310000000000001
D11954#4,37.42,-11.09,5070,No,Yes,0.086
D11954#4,37.42,-11.09,5070,Yes,No,0.46099999999999997
D11954#4,37.42,-11.09,5070,Yes,Yes,0.26299999999999996
D11956#2,38.36,-12.593,4825,No,No,0.53
D11956#2,38.36,-12.593,4825,No,Yes,0.16699999999999998
D11956#2,38.36,-12.593,4825,Yes,No,0.325
D11956#2,38.36,-12.593,4825,Yes,Yes,0.42400000000000004
D11957#1,39.062,-12.6,3540,No,No,0.38699999999999996
D11957#1,39.062,-12.6,3540,No,Yes,0.147
D11957#1,39.062,-12.6,3540,Yes,No,0.277
D11957#1,39.062,-12.6,3540,Yes,Yes,0.4870000000000001
D11957#5,39.04,-12.588,3585,No,No,0.401
D11957#5,39.04,-12.588,3585,No,Yes,0.263
D11957#5,39.04,-12.588,3585,Yes,No,0.302
D11957#5,39.04,-12.588,3585,Yes,Yes,0.3
GBA7207,45.367,-5.333,3950,No,No,1.215
GBA7207,45.367,-5.333,3950,No,Yes,0.201
GBA7207,45.367,-5.333,3950,Yes,No,0.086
GBA7207,45.367,-5.333,3950,Yes,Yes,0.137
GeoB1046-2,7.34,-20.472,3914,No,No,0.103
GeoB1046-2,7.34,-20.472,3914,No,Yes,0.049
GeoB1046-2,7.34,-20.472,3914,Yes,No,0.165
GeoB1046-2,7.34,-20.472,3914,Yes,Yes,1.3110000000000002
GeoB1047-3,9.967,-22.358,4377,No,No,0.18
GeoB1047-3,9.967,-22.358,4377,No,Yes,0.036000000000000004
GeoB1047-3,9.967,-22.358,4377,Yes,No,0.24599999999999997
GeoB1047-3,9.967,-22.358,4377,Yes,Yes,1.2049999999999998
GeoB1407-7,4.3282,-10.253,3520,No,No,0.13499999999999995
GeoB1407-7,4.3282,-10.253,3520,No,Yes,0.031
GeoB1407-7,4.3282,-10.253,3520,Yes,No,0.273
GeoB1407-7,4.3282,-10.253,3520,Yes,Yes,1.2269999999999999
GeoB1503-2,2.6817,-30.648,2298,No,No,0.155
GeoB1503-2,2.6817,-30.648,2298,No,Yes,0.006999999999999999
GeoB1503-2,2.6817,-30.648,2298,Yes,No,0.23199999999999998
GeoB1503-2,2.6817,-30.648,2298,Yes,Yes,1.306
GeoB1504-1,2.2882,-31.287,2980,No,No,0.10499999999999998
GeoB1504-1,2.2882,-31.287,2980,No,Yes,0.012
GeoB1504-1,2.2882,-31.287,2980,Yes,No,0.17
GeoB1504-1,2.2882,-31.287,2980,Yes,Yes,1.501
GeoB1505-3,2.2732,-33.007,3703,No,No,0.12
GeoB1505-3,2.2732,-33.007,3703,No,Yes,0.011000000000000001
GeoB1505-3,2.2732,-33.007,3703,Yes,No,0.175
GeoB1505-3,2.2732,-33.007,3703,Yes,Yes,1.4820000000000002
GeoB1506-1,2.2048,-35.182,4267,No,No,0.079
GeoB1506-1,2.2048,-35.182,4267,No,Yes,0.017
GeoB1506-1,2.2048,-35.182,4267,Yes,No,0.129
GeoB1506-1,2.2048,-35.182,4267,Yes,Yes,1.619
GeoB1508-1,5.3332,-34.025,3685,No,No,0.08399999999999999
GeoB1508-1,5.3332,-34.025,3685,No,Yes,0.011000000000000001
GeoB1508-1,5.3332,-34.025,3685,Yes,No,0.15200000000000002
GeoB1508-1,5.3332,-34.025,3685,Yes,Yes,1.5279999999999998
GeoB1509-2,5.0432,-35.242,4102,No,No,0.05800000000000001
GeoB1509-2,5.0432,-35.242,4102,No,Yes,0.01
GeoB1509-2,5.0432,-35.242,4102,Yes,No,0.065
GeoB1509-2,5.0432,-35.242,4102,Yes,Yes,1.63
GeoB1510-1,4.7267,-36.512,4392,No,No,0.08700000000000001
GeoB1510-1,4.7267,-36.512,4392,No,Yes,0.009000000000000001
GeoB1510-1,4.7267,-36.512,4392,Yes,No,0.127
GeoB1510-1,4.7267,-36.512,4392,Yes,Yes,1.5879999999999999
GeoB1511-6,3.1782,-46.343,3162,No,No,0.19400000000000003
GeoB1511-6,3.1782,-46.343,3162,No,Yes,0.006
GeoB1511-6,3.1782,-46.343,3162,Yes,No,0.27599999999999997
GeoB1511-6,3.1782,-46.343,3162,Yes,Yes,1.175
GeoB1512-2,5.9032,-48.04,3718,No,No,0.10200000000000001
GeoB1512-2,5.9032,-48.04,3718,No,Yes,0.012
GeoB1512-2,5.9032,-48.04,3718,Yes,No,0.134
GeoB1512-2,5.9032,-48.04,3718,Yes,Yes,1.5370000000000001
GeoB1513-2,5.4317,-46.927,3621,No,No,0.13699999999999998
GeoB1513-2,5.4317,-46.927,3621,No,Yes,0.01
GeoB1513-2,5.4317,-46.927,3621,Yes,No,0.20400000000000001
GeoB1513-2,5.4317,-46.927,3621,Yes,Yes,1.4080000000000001
GeoB1514-4,5.1382,-46.575,3510,No,No,0.145
GeoB1514-4,5.1382,-46.575,3510,No,Yes,0.023
GeoB1514-4,5.1382,-46.575,3510,Yes,No,0.19
GeoB1514-4,5.1382,-46.575,3510,Yes,Yes,1.4249999999999998
GeoB1516-1,4.4967,-43.337,3592,No,No,0.36899999999999994
GeoB1516-1,4.4967,-43.337,3592,No,Yes,0.012
GeoB1516-1,4.4967,-43.337,3592,Yes,No,0.198
GeoB1516-1,4.4967,-43.337,3592,Yes,Yes,1.1019999999999999
GeoB1518-1,5,-42.75,4620,No,No,0.09699999999999999
GeoB1518-1,5,-42.75,4620,No,Yes,0.02
GeoB1518-1,5,-42.75,4620,Yes,No,0.16899999999999998
GeoB1518-1,5,-42.75,4620,Yes,Yes,1.4520000000000002
GeoB1519-2,4.7048,-41.933,4199,No,No,0.08299999999999999
GeoB1519-2,4.7048,-41.933,4199,No,Yes,0.012
GeoB1519-2,4.7048,-41.933,4199,Yes,No,0.12899999999999998
GeoB1519-2,4.7048,-41.933,4199,Yes,Yes,1.5649999999999997
GeoB1520-1,4.5917,-41.935,3911,No,No,0.088
GeoB1520-1,4.5917,-41.935,3911,No,Yes,0.01
GeoB1520-1,4.5917,-41.935,3911,Yes,No,0.132
GeoB1520-1,4.5917,-41.935,3911,Yes,Yes,1.571
GeoB1521-2,4.3117,-41.828,3725,No,No,0.10000000000000002
GeoB1521-2,4.3117,-41.828,3725,No,Yes,0.016
GeoB1521-2,4.3117,-41.828,3725,Yes,No,0.175
GeoB1521-2,4.3117,-41.828,3725,Yes,Yes,1.398
GeoB1522-1,4.025,-41.683,3478,No,No,0.08900000000000001
GeoB1522-1,4.025,-41.683,3478,No,Yes,0.009000000000000001
GeoB1522-1,4.025,-41.683,3478,Yes,No,0.13499999999999998
GeoB1522-1,4.025,-41.683,3478,Yes,Yes,1.5470000000000002
GeoB1523-2,3.815,-41.622,3291,No,No,0.13599999999999998
GeoB1523-2,3.815,-41.622,3291,No,Yes,0.01
GeoB1523-2,3.815,-41.622,3291,Yes,No,0.16799999999999998
GeoB1523-2,3.815,-41.622,3291,Yes,Yes,1.4569999999999996
GIB13,35.95,-7.5668,1259,No,No,0.34700000000000003
GIB13,35.95,-7.5668,1259,No,Yes,0.37799999999999995
GIB13,35.95,-7.5668,1259,Yes,No,0.030999999999999996
GIB13,35.95,-7.5668,1259,Yes,Yes,0.6839999999999999
GIK10720-1,20.35,-17.93,1008,No,No,0.413
GIK10720-1,20.35,-17.93,1008,No,Yes,0.36
GIK10720-1,20.35,-17.93,1008,Yes,No,0.35400000000000004
GIK10720-1,20.35,-17.93,1008,Yes,Yes,0.13899999999999998
GIK10737-1,32.22,-28.3,1940,No,No,0.155
GIK10737-1,32.22,-28.3,1940,No,Yes,0.196
GIK10737-1,32.22,-28.3,1940,Yes,No,0.166
GIK10737-1,32.22,-28.3,1940,Yes,Yes,0.8910000000000001
GIK10749-1,34.4,-15.63,3600,No,No,0.293
GIK10749-1,34.4,-15.63,3600,No,Yes,0.213
GIK10749-1,34.4,-15.63,3600,Yes,No,0.252
GIK10749-1,34.4,-15.63,3600,Yes,Yes,0.575
GIK12307-4,26.4,-14.95,980,No,No,0.767
GIK12307-4,26.4,-14.95,980,No,Yes,0.318
GIK12307-4,26.4,-14.95,980,Yes,No,0.056999999999999995
GIK12307-4,26.4,-14.95,980,Yes,Yes,0.424
GIK12309-2,26.833,-15.117,2849,No,No,0.30200000000000005
GIK12309-2,26.833,-15.117,2849,No,Yes,0.258
GIK12309-2,26.833,-15.117,2849,Yes,No,0.218
GIK12309-2,26.833,-15.117,2849,Yes,Yes,0.677
GIK12310-3,23.5,-18.717,3076,No,No,0.35
GIK12310-3,23.5,-18.717,3076,No,Yes,0.21100000000000002
GIK12310-3,23.5,-18.717,3076,Yes,No,0.319
GIK12310-3,23.5,-18.717,3076,Yes,Yes,0.524
GIK12326-4,23.03,-17.42,1024,No,No,0.516
GIK12326-4,23.03,-17.42,1024,No,Yes,0.36
GIK12326-4,23.03,-17.42,1024,Yes,No,0.299
GIK12326-4,23.03,-17.42,1024,Yes,Yes,0.138
GIK12328-1,21.145,-18.573,2816,No,No,0.44400000000000006
GIK12328-1,21.145,-18.573,2816,No,Yes,0.184
GIK12328-1,21.145,-18.573,2816,Yes,No,0.51
GIK12328-1,21.145,-18.573,2816,Yes,Yes,0.08900000000000001
GIK12329-1,19.037,-19.93,3314,No,No,0.549
GIK12329-1,19.037,-19.93,3314,No,Yes,0.122
GIK12329-1,19.037,-19.93,3314,Yes,No,0.491
GIK12329-1,19.037,-19.93,3314,Yes,Yes,0.20700000000000002
GIK12336-1,16.23,-20.43,3645,No,No,0.283
GIK12336-1,16.23,-20.43,3645,No,Yes,0.09
GIK12336-1,16.23,-20.43,3645,Yes,No,0.44300000000000006
GIK12336-1,16.23,-20.43,3645,Yes,Yes,0.6630000000000001
GIK12344-2,15.433,-17.35,725,No,No,0.153
GIK12344-2,15.433,-17.35,725,No,Yes,0.21899999999999997
GIK12344-2,15.433,-17.35,725,Yes,No,0.333
GIK12344-2,15.433,-17.35,725,Yes,Yes,0.6589999999999999
GIK12347-2,15.833,-17.85,2576,No,No,0.332
GIK12347-2,15.833,-17.85,2576,No,Yes,0.129
GIK12347-2,15.833,-17.85,2576,Yes,No,0.44
GIK12347-2,15.833,-17.85,2576,Yes,Yes,0.56
GIK13255-2,17.85,-17.167,2082,No,No,0.466
GIK13255-2,17.85,-17.167,2082,No,Yes,0.297
GIK13255-2,17.85,-17.167,2082,Yes,No,0.349
GIK13255-2,17.85,-17.167,2082,Yes,Yes,0.20700000000000002
GIK13519-1,5.67,-19.852,2862,No,No,0.07899999999999999
GIK13519-1,5.67,-19.852,2862,No,Yes,0.048
GIK13519-1,5.67,-19.852,2862,Yes,No,0.192
GIK13519-1,5.67,-19.852,2862,Yes,Yes,1.3210000000000002
GIK13530-1,21,-17.733,830,No,No,0.44299999999999995
GIK13530-1,21,-17.733,830,No,Yes,0.42
GIK13530-1,21,-17.733,830,Yes,No,0.272
GIK13530-1,21,-17.733,830,Yes,Yes,0.11400000000000002
GIK13534-1,21.017,-17.883,980,No,No,0.613
GIK13534-1,21.017,-17.883,980,No,Yes,0.368
GIK13534-1,21.017,-17.883,980,Yes,No,0.25799999999999995
GIK13534-1,21.017,-17.883,980,Yes,Yes,0.087
GIK13586-3,19.683,-17.2,660,No,No,0.264
GIK13586-3,19.683,-17.2,660,No,Yes,0.311
GIK13586-3,19.683,-17.2,660,Yes,No,0.38599999999999995
GIK13586-3,19.683,-17.2,660,Yes,Yes,0.281
GIK13587-1,19.65,-17.217,810,No,No,0.18
GIK13587-1,19.65,-17.217,810,No,Yes,0.35200000000000004
GIK13587-1,19.65,-17.217,810,Yes,No,0.342
GIK13587-1,19.65,-17.217,810,Yes,Yes,0.31799999999999995
GIK13588-2,19.617,-17.25,970,No,No,0.28400000000000003
GIK13588-2,19.617,-17.25,970,No,Yes,0.315
GIK13588-2,19.617,-17.25,970,Yes,No,0.35200000000000004
GIK13588-2,19.617,-17.25,970,Yes,Yes,0.284
GIK15627-1,29.167,-12.087,955,No,No,0.185
GIK15627-1,29.167,-12.087,955,No,Yes,0.40399999999999997
GIK15627-1,29.167,-12.087,955,Yes,No,0.17300000000000001
GIK15627-1,29.167,-12.087,955,Yes,Yes,0.5680000000000001
GIK15628-4,29.083,-11.97,766,No,No,0.273
GIK15628-4,29.083,-11.97,766,No,Yes,0.49200000000000005
GIK15628-4,29.083,-11.97,766,Yes,No,0.17600000000000002
GIK15628-4,29.083,-11.97,766,Yes,Yes,0.28300000000000003
GIK15634-1,28.255,-13.395,1218,No,No,0.223
GIK15634-1,28.255,-13.395,1218,No,Yes,0.528
GIK15634-1,28.255,-13.395,1218,Yes,No,0.157
GIK15634-1,28.255,-13.395,1218,Yes,Yes,0.337
GIK15635-2,27.203,-14.66,2610,No,No,0.244
GIK15635-2,27.203,-14.66,2610,No,Yes,0.447
GIK15635-2,27.203,-14.66,2610,Yes,No,0.16899999999999998
GIK15635-2,27.203,-14.66,2610,Yes,Yes,0.462
GIK15636-1,27.008,-15.088,2942,No,No,0.326
GIK15636-1,27.008,-15.088,2942,No,Yes,0.35200000000000004
GIK15636-1,27.008,-15.088,2942,Yes,No,0.19399999999999998
GIK15636-1,27.008,-15.088,2942,Yes,Yes,0.491
GIK15637-1,27.005,-18.987,3849,No,No,0.5640000000000001
GIK15637-1,27.005,-18.987,3849,No,Yes,0.133
GIK15637-1,27.005,-18.987,3849,Yes,No,0.423
GIK15637-1,27.005,-18.987,3849,Yes,Yes,0.245
GIK15638-2,32.212,-10.445,2675,No,No,0.21099999999999994
GIK15638-2,32.212,-10.445,2675,No,Yes,0.33
GIK15638-2,32.212,-10.445,2675,Yes,No,0.17
GIK15638-2,32.212,-10.445,2675,Yes,Yes,0.6300000000000001
GIK15639-1,32.488,-10.113,1994,No,No,0.22700000000000004
GIK15639-1,32.488,-10.113,1994,No,Yes,0.29
GIK15639-1,32.488,-10.113,1994,Yes,No,0.135
GIK15639-1,32.488,-10.113,1994,Yes,Yes,0.7460000000000001
GIK15640-1,32.447,-9.9583,1519,No,No,0.28
GIK15640-1,32.447,-9.9583,1519,No,Yes,0.419
GIK15640-1,32.447,-9.9583,1519,Yes,No,0.146
GIK15640-1,32.447,-9.9583,1519,Yes,Yes,0.436
GIK15641-2,32.428,-9.865,1063,No,No,0.38799999999999996
GIK15641-2,32.428,-9.865,1063,No,Yes,0.33399999999999996
GIK15641-2,32.428,-9.865,1063,Yes,No,0.19099999999999998
GIK15641-2,32.428,-9.865,1063,Yes,Yes,0.43800000000000006
GIK15642-1,32.413,-9.845,846,No,No,0.135
GIK15642-1,32.413,-9.845,846,No,Yes,0.405
GIK15642-1,32.413,-9.845,846,Yes,No,0.105
GIK15642-1,32.413,-9.845,846,Yes,Yes,0.6859999999999999
GIK15644-1,32.398,-9.8083,487,No,No,0.406
GIK15644-1,32.398,-9.8083,487,No,Yes,0.397
GIK15644-1,32.398,-9.8083,487,Yes,No,0.188
GIK15644-1,32.398,-9.8083,487,Yes,Yes,0.327
GIK15645-1,32.392,-9.795,442,No,No,0.149
GIK15645-1,32.392,-9.795,442,No,Yes,0.47600000000000003
GIK15645-1,32.392,-9.795,442,Yes,No,0.157
GIK15645-1,32.392,-9.795,442,Yes,Yes,0.509
GIK15646-1,32.383,-9.7833,292,No,No,0.20800000000000002
GIK15646-1,32.383,-9.7833,292,No,Yes,0.397
GIK15646-1,32.383,-9.7833,292,Yes,No,0.19
GIK15646-1,32.383,-9.7833,292,Yes,Yes,0.5390000000000001
GIK15651-1,33.19,-9.83,3816,No,No,0.345
GIK15651-1,33.19,-9.83,3816,No,Yes,0.28600000000000003
GIK15651-1,33.19,-9.83,3816,Yes,No,0.146
GIK15651-1,33.19,-9.83,3816,Yes,Yes,0.6409999999999999
GIK15654-1,34.873,-6.6333,151,No,No,0.23
GIK15654-1,34.873,-6.6333,151,No,Yes,0.496
GIK15654-1,34.873,-6.6333,151,Yes,No,0.14900000000000002
GIK15654-1,34.873,-6.6333,151,Yes,Yes,0.42
GIK15657-1,34.892,-6.6717,2022,No,No,0.20600000000000002
GIK15657-1,34.892,-6.6717,2022,No,Yes,0.601
GIK15657-1,34.892,-6.6717,2022,Yes,No,0.124
GIK15657-1,34.892,-6.6717,2022,Yes,Yes,0.26099999999999995
GIK15659-1,34.56,-6.7583,287,No,No,0.244
GIK15659-1,34.56,-6.7583,287,No,Yes,0.397
GIK15659-1,34.56,-6.7583,287,Yes,No,0.207
GIK15659-1,34.56,-6.7583,287,Yes,Yes,0.4819999999999999
GIK15663-2,34.92,-6.845,487,No,No,0.229
GIK15663-2,34.92,-6.845,487,No,Yes,0.419
GIK15663-2,34.92,-6.845,487,Yes,No,0.19200000000000003
GIK15663-2,34.92,-6.845,487,Yes,Yes,0.42200000000000004
GIK15664-1,34.928,-6.925,607,No,No,0.33
GIK15664-1,34.928,-6.925,607,No,Yes,0.275
GIK15664-1,34.928,-6.925,607,Yes,No,0.2
GIK15664-1,34.928,-6.925,607,Yes,Yes,0.562
GIK15666-9,34.96,-7.1183,801,No,No,0.193
GIK15666-9,34.96,-7.1183,801,No,Yes,0.45
GIK15666-9,34.96,-7.1183,801,Yes,No,0.18800000000000006
GIK15666-9,34.96,-7.1183,801,Yes,Yes,0.42899999999999994
GIK15667-1,34.992,-7.2833,1102,No,No,0.283
GIK15667-1,34.992,-7.2833,1102,No,Yes,0.413
GIK15667-1,34.992,-7.2833,1102,Yes,No,0.18899999999999997
GIK15667-1,34.992,-7.2833,1102,Yes,Yes,0.382
GIK15668-1,34.978,-7.3283,1163,No,No,0.182
GIK15668-1,34.978,-7.3283,1163,No,Yes,0.38799999999999996
GIK15668-1,34.978,-7.3283,1163,Yes,No,0.17800000000000002
GIK15668-1,34.978,-7.3283,1163,Yes,Yes,0.5479999999999999
GIK15669-2,34.892,-7.815,176,No,No,0.22000000000000003
GIK15669-2,34.892,-7.815,176,No,Yes,0.39
GIK15669-2,34.892,-7.815,176,Yes,No,0.151
GIK15669-2,34.892,-7.815,176,Yes,Yes,0.552
GIK15672-2,34.86,-8.1267,2455,No,No,0.24400000000000002
GIK15672-2,34.86,-8.1267,2455,No,Yes,0.345
GIK15672-2,34.86,-8.1267,2455,Yes,No,0.151
GIK15672-2,34.86,-8.1267,2455,Yes,Yes,0.606
GIK15673-2,34.795,-8.4033,3088,No,No,0.228
GIK15673-2,34.795,-8.4033,3088,No,Yes,0.289
GIK15673-2,34.795,-8.4033,3088,Yes,No,0.175
GIK15673-2,34.795,-8.4033,3088,Yes,Yes,0.6570000000000001
GIK15676-2,34.757,-8.8483,3515,No,No,0.247
GIK15676-2,34.757,-8.8483,3515,No,Yes,0.265
GIK15676-2,34.757,-8.8483,3515,Yes,No,0.16400000000000003
GIK15676-2,34.757,-8.8483,3515,Yes,Yes,0.7399999999999999
GIK15677-1,34.103,-10.828,4410,No,No,0.22099999999999997
GIK15677-1,34.103,-10.828,4410,No,Yes,0.251
GIK15677-1,34.103,-10.828,4410,Yes,No,0.16599999999999998
GIK15677-1,34.103,-10.828,4410,Yes,Yes,0.8089999999999999
GIK15678-1,33.472,-12.755,4305,No,No,0.24000000000000005
GIK15678-1,33.472,-12.755,4305,No,Yes,0.295
GIK15678-1,33.472,-12.755,4305,Yes,No,0.16400000000000003
GIK15678-1,33.472,-12.755,4305,Yes,Yes,0.71
GIK15679-1,32.763,-15.06,4332,No,No,0.5569999999999999
GIK15679-1,32.763,-15.06,4332,No,Yes,0.243
GIK15679-1,32.763,-15.06,4332,Yes,No,0.28200000000000003
GIK15679-1,32.763,-15.06,4332,Yes,Yes,0.31
GIK16401-2,14.8,-20.517,4061,No,No,0.33799999999999997
GIK16401-2,14.8,-20.517,4061,No,Yes,0.068
GIK16401-2,14.8,-20.517,4061,Yes,No,0.527
GIK16401-2,14.8,-20.517,4061,Yes,Yes,0.6040000000000001
GIK16402-1,14.417,-20.567,4203,No,No,0.455
GIK16402-1,14.417,-20.567,4203,No,Yes,0.039
GIK16402-1,14.417,-20.567,4203,Yes,No,0.5479999999999999
GIK16402-1,14.417,-20.567,4203,Yes,Yes,0.4759999999999999
GIK16403-1,14.376,-20.535,4234,No,No,0.506
GIK16403-1,14.376,-20.535,4234,No,Yes,0.034
GIK16403-1,14.376,-20.535,4234,Yes,No,0.595
GIK16403-1,14.376,-20.535,4234,Yes,Yes,0.478
GIK16407-1,9.0398,-21.96,4586,No,No,0.28800000000000003
GIK16407-1,9.0398,-21.96,4586,No,Yes,0.017
GIK16407-1,9.0398,-21.96,4586,Yes,No,0.373
GIK16407-1,9.0398,-21.96,4586,Yes,Yes,0.9690000000000001
GIK16408-2,9.0128,-21.457,4239,No,No,0.115
GIK16408-2,9.0128,-21.457,4239,No,Yes,0.057999999999999996
GIK16408-2,9.0128,-21.457,4239,Yes,No,0.205
GIK16408-2,9.0128,-21.457,4239,Yes,Yes,1.3149999999999997
GIK16410-1,8.9168,-20.85,3969,No,No,0.133
GIK16410-1,8.9168,-20.85,3969,No,Yes,0.037000000000000005
GIK16410-1,8.9168,-20.85,3969,Yes,No,0.21400000000000002
GIK16410-1,8.9168,-20.85,3969,Yes,Yes,1.3249999999999995
GIK16411-1,9.517,-19.9,4622,No,No,0.405
GIK16411-1,9.517,-19.9,4622,No,Yes,0.07200000000000001
GIK16411-1,9.517,-19.9,4622,Yes,No,0.396
GIK16411-1,9.517,-19.9,4622,Yes,Yes,0.648
GIK16412-1,9.567,-19.85,3841,No,No,0.37599999999999995
GIK16412-1,9.567,-19.85,3841,No,Yes,0.034
GIK16412-1,9.567,-19.85,3841,Yes,No,0.39
GIK16412-1,9.567,-19.85,3841,Yes,Yes,0.779
GIK16413-1,10.017,-19.3,4397,No,No,0.474
GIK16413-1,10.017,-19.3,4397,No,Yes,0.013999999999999999
GIK16413-1,10.017,-19.3,4397,Yes,No,0.6190000000000001
GIK16413-1,10.017,-19.3,4397,Yes,Yes,0.40199999999999997
GIK16415-1,9.567,-19.1,4607,No,No,0.22400000000000003
GIK16415-1,9.567,-19.1,4607,No,Yes,0.062
GIK16415-1,9.567,-19.1,4607,Yes,No,0.31799999999999995
GIK16415-1,9.567,-19.1,4607,Yes,Yes,1.011
GIK16416-1,9.8668,-19.4,4336,No,No,0.423
GIK16416-1,9.8668,-19.4,4336,No,Yes,0.011000000000000001
GIK16416-1,9.8668,-19.4,4336,Yes,No,0.5640000000000001
GIK16416-1,9.8668,-19.4,4336,Yes,Yes,0.555
GIK16417-1,10.067,-19.733,4627,No,No,0.36800000000000005
GIK16417-1,10.067,-19.733,4627,No,Yes,0.027999999999999997
GIK16417-1,10.067,-19.733,4627,Yes,No,0.558
GIK16417-1,10.067,-19.733,4627,Yes,Yes,0.584
GIK16419-1,9.8998,-16.733,312,No,No,0.13700000000000004
GIK16419-1,9.8998,-16.733,312,No,Yes,0.11800000000000001
GIK16419-1,9.8998,-16.733,312,Yes,No,0.19599999999999998
GIK16419-1,9.8998,-16.733,312,Yes,Yes,1.1920000000000002
GIK16420-1,9.9328,-17.533,806,No,No,0.183
GIK16420-1,9.9328,-17.533,806,No,Yes,0.122
GIK16420-1,9.9328,-17.533,806,Yes,No,0.22200000000000003
GIK16420-1,9.9328,-17.533,806,Yes,Yes,1.105
GIK16421-1,9.9168,-17.867,1556,No,No,0.30100000000000005
GIK16421-1,9.9168,-17.867,1556,No,Yes,0.04
GIK16421-1,9.9168,-17.867,1556,Yes,No,0.271
GIK16421-1,9.9168,-17.867,1556,Yes,Yes,1.086
GIK16430-2,5.617,-19.983,2811,No,No,0.096
GIK16430-2,5.617,-19.983,2811,No,Yes,0.013999999999999999
GIK16430-2,5.617,-19.983,2811,Yes,No,0.169
GIK16430-2,5.617,-19.983,2811,Yes,Yes,1.486
GIK16432-2,3.0168,-22.017,4514,No,No,0.16099999999999998
GIK16432-2,3.0168,-22.017,4514,No,Yes,0.023
GIK16432-2,3.0168,-22.017,4514,Yes,No,0.201
GIK16432-2,3.0168,-22.017,4514,Yes,Yes,1.364
GIK16437-3,16.933,-17.933,2766,No,No,0.39299999999999996
GIK16437-3,16.933,-17.933,2766,No,Yes,0.17300000000000001
GIK16437-3,16.933,-17.933,2766,Yes,No,0.5489999999999999
GIK16437-3,16.933,-17.933,2766,Yes,Yes,0.18100000000000002
GIK16453-2,4.7328,-20.937,2675,No,No,0.137
GIK16453-2,4.7328,-20.937,2675,No,Yes,0.018000000000000002
GIK16453-2,4.7328,-20.937,2675,Yes,No,0.14700000000000002
GIK16453-2,4.7328,-20.937,2675,Yes,Yes,1.4280000000000002
GIK16455-1,5.2698,-22.865,4160,No,No,0.10299999999999997
GIK16455-1,5.2698,-22.865,4160,No,Yes,0.009000000000000001
GIK16455-1,5.2698,-22.865,4160,Yes,No,0.126
GIK16455-1,5.2698,-22.865,4160,Yes,Yes,1.5179999999999996
GIK16457-1,5.392,-21.72,3291,No,No,0.095
GIK16457-1,5.392,-21.72,3291,No,Yes,0.026000000000000002
GIK16457-1,5.392,-21.72,3291,Yes,No,0.141
GIK16457-1,5.392,-21.72,3291,Yes,Yes,1.4729999999999999
GIK16458-2,5.335,-22.053,3518,No,No,0.12
GIK16458-2,5.335,-22.053,3518,No,Yes,0.021
GIK16458-2,5.335,-22.053,3518,Yes,No,0.176
GIK16458-2,5.335,-22.053,3518,Yes,Yes,1.38
GIK16756-1,9.078,-17,1495,No,No,0.198
GIK16756-1,9.078,-17,1495,No,Yes,0.023
GIK16756-1,9.078,-17,1495,Yes,No,0.23800000000000002
GIK16756-1,9.078,-17,1495,Yes,Yes,1.218
GIK16757-1,8.9828,-16.947,2358,No,No,0.309
GIK16757-1,8.9828,-16.947,2358,No,Yes,0.063
GIK16757-1,8.9828,-16.947,2358,Yes,No,0.26099999999999995
GIK16757-1,8.9828,-16.947,2358,Yes,Yes,0.995
GIK16768-1,7.63,-15.168,4327,No,No,0.152
