Sample,Sample_ID,Flag,Device,Latitude,Longitude,Water_depth,Ocean,Sample_depth_top,Author,Journal,Year,Resource_doi,Database,Type,Symbiosis,Spinose,Prop
SU90I-3,MARGO_0632,1,,51.883,-39.783,2970,7,0,"Duprat, J.",unpublished data,9999,doi:10.1594/PANGAEA.227322,8,1,Yes,Yes,0.004237288
SU90I-10,MARGO_0635,1,Piston,52.567,-21.93,2965,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,12,1,Yes,Yes,0.005291006
V7-68,MARGO_0652,1,Trigger,40.767,-64.6,4133,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,12,0,Yes,Yes,0.04577823
V16-23,MARGO_0674,1,Piston,13.25,-40.667,4886,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,1.122736419
V20-242,MARGO_0695,1,Piston,23.367,-43.65,4565,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,12,0,Yes,Yes,0.879361914
V28-25,MARGO_0793,1,Trigger,76.81666667,-1.333333333,3136,513,0,Prell et al.,,1999,doi:10.1594/PANGAEA.227322,8,1,Yes,Yes,0
V28-29,MARGO_0795,1,Trigger,72.18333333,5.266666667,2547,513,0,Prell et al.,,1999,doi:10.1594/PANGAEA.227322,8,1,Yes,Yes,0.00118624
V28-34,MARGO_0797,1,Trigger,64.83333333,-3.583333333,3217,513,0,Prell et al.,,1999,doi:10.1594/PANGAEA.227322,8,1,Yes,Yes,0
V30-49,MARGO_0852,1,Piston,18.433,-21.083,3093,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,8,0,Yes,Yes,0.470883534
GEOB1031-1,MARGO_0878,1,Box,-21.887,7.1018,3103,11,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,16,0,Yes,Yes,0.196
GEOB1034-1,MARGO_0881,1,Box,-21.72,5.4298,3800,11,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,16,0,Yes,Yes,0.324351298
GEOB1041-1,MARGO_0886,1,Box,-3.48,-7.592,4033,11,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,16,0,Yes,Yes,0.838323354
RC17-43,MARGO_1067,1,Trigger,-30.433,13.55,2992,11,0,Prell et al.,,1999,doi:10.1594/PANGAEA.227322,50,1,Yes,Yes,0.168514414
V20-235,MARGO_1124,1,Piston,8.4667,-30.133,5242,7,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,16,0,Yes,Yes,0.261569415
V23-182,MARGO_1144,1,Piston,-30.45,-11.683,3660,11,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,16,0,Yes,Yes,0.239043825
V26-68,MARGO_1160,1,Piston,-30.355,-15.8,972,11,0,Pflaumann et al.,in press,9999,doi:10.1594/PANGAEA.227322,16,0,Yes,Yes,0.498
7-TOW105,MARGO_1184,1,,-15.15,-176.49,2163,81,0,Thiede et al.,Palaeogeogr Palaeoclimatol Palaeoecol,1997,doi:10.1594/PANGAEA.227317,96,0,Yes,Yes,0.825955734
7-TOW72,MARGO_1185,1,,-20.24,-176.46,2730,81,0,Thiede et al.,Palaeogeogr Palaeoclimatol Palaeoecol,1997,doi:10.1594/PANGAEA.227317,96,0,Yes,Yes,0.876142132
A15-585GC,MARGO_1187,1,,20.15,69.43333333,,129,,"Prell, W. L.",Department of Energy,1985,doi:10.1594/PANGAEA.227317,32,1,Yes,Yes,0.598006645
A15-586TW,MARGO_1188,1,,20.11666667,67.91666667,,129,,"Prell, W. L.",Department of Energy,1985,doi:10.1594/PANGAEA.227317,32,1,Yes,Yes,0.51051051
A15-591GC,MARGO_1190,1,,21,59.55,,129,,"Prell, W. L.",Department of Energy,1985,doi:10.1594/PANGAEA.227317,32,1,Yes,Yes,0.274924471
A15-592FF,MARGO_1191,1,,20.83333333,61.01666667,,129,,"Prell, W. L.",Department of Energy,1985,doi:10.1594/PANGAEA.227317,32,1,Yes,Yes,0.283076923
A15-596FF,MARGO_1192,1,,18.93333333,61.38333333,,129,,"Prell, W. L.",Department of Energy,1985,doi:10.1594/PANGAEA.227317,32,1,Yes,Yes,0.228426396
A15-597BFF,MARGO_1193,1,,16.23333333,54.76666667,,129,,"Prell, W. L.",Department of Energy,1985,doi:10.1594/PANGAEA.227317,32,1,Yes,Yes,0.212121214
A15-602FF,MARGO_1195,1,,14.93333333,57.35,,129,,"Prell, W. L.",Department of Energy,1985,doi:10.1594/PANGAEA.227317,32,1,Yes,Yes,0.174418604
A15-612GC,MARGO_1196,1,,13.58333333,71.56666667,,129,,"Prell, W. L.",Department of Energy,1985,doi:10.1594/PANGAEA.227317,32,1,Yes,Yes,0.492385785
A15-614TW,MARGO_1197,1,,9.9,74.18333333,,129,,"Prell, W. L.",Department of Energy,1985,doi:10.1594/PANGAEA.227317,32,1,Yes,Yes,0.388739948
