Event,Latitude,Longitude,Elevation [m],Depth [m],G. bulloides [%],G. falconensis [%],G. aequilateralis [%],G. calida [%],G. digitata [%],G. bradyi [%],G. glutinata [%],G. conglobatus [%],G. ruber p [%],G. ruber w [%],G. sacculifer wo sac [%],G. sacculifer sac [%],G. truncatulinoides d [%],G. truncatulinoides s [%],G. inflata [%],G. rubescens [%],G. tenella [%],N. dutertrei [%],N. pachyderma d [%],N. pachyderma s [%],O. universa [%],G. quinqueloba [%],P. obliquiloculata [%],G. menardii [%]
GeoB1108-7,-2.1733,-9.8733,-3876,0,3.3,0,4.8,0.9,1.1,0,7.8,0.2,4.6,43.1,9.7,4,0.1,0.4,2.3,0.4,0.2,3.4,0,0,1.4,0,2.8,6.6
GeoB1111-3,-5.8433,-8.6517,-3812,0,2,0.1,4.4,0.1,0.1,0,8.4,1,6.8,35.4,11.8,5.5,0,0,1,0.3,1,6.8,0,0,0.9,0,4.1,8.6
GeoB1112-4,-5.7783,-10.75,-3125,0,1.5,0,4.4,0,0.3,0,9.8,0.9,9,29,13.6,6.5,0,0.1,0.8,0.3,0.4,6.6,0,0,2.4,0,2.6,9.8
GeoB1113-4,-5.745,-11.0367,-2374,0,2.6,0,4.5,0,0,0,10.8,0.3,10.2,32.6,9.6,4,0,0,1,0,1.2,6.2,0,0,1.2,0,2,10.4
GeoB1114-4,-5.285,-10.2033,-3416,0,2.4,0.3,3.1,0,0.3,0,10.9,0.6,9.4,31.7,10.9,5.8,0,0.2,0.1,0.9,0.4,7.1,0,0,1.5,0,2.6,8.5
GeoB1116-2,-3.6233,-13.1867,-3472,0,1.8,0.2,3.9,0,1,0,11.7,0,3.3,34.2,12.5,6.4,0,0,2.2,0.4,0.4,4.8,0,0,1.5,0,4.1,10.2
GeoB1117-2,-3.815,-14.8967,-3984,0,2.1,0,2.6,0,0.6,0,9.1,0.4,5,41.1,9.7,8.5,0,0,0.5,0.4,0.4,3.9,0,0,3.1,0,3.1,9
GeoB1203-2,-26.5483,5.0167,-2395,0,10.5,0,3.5,2.5,1.2,0,5.2,0,0,11,4.6,1.4,3.7,3,24.3,2.2,1.1,3.5,0.6,0,1,0,0.5,6.2
GeoB1204-3,-25.045,5.4983,-2241,0,15.1,0.7,4.5,0.6,0,0,3.3,0,0,10.1,1.9,0.4,4.1,5,25.1,0.4,0.2,7.2,4.6,0,1.9,1.1,0,3.9
GeoB1207-2,-24.5983,6.855,-2593,0,16.9,0,4.1,0.6,0.4,0,6.1,0,0.1,9.2,4.5,1.1,4.7,3.1,22.1,1,0.6,8.8,2.7,0.1,2.2,0.3,0.1,2.6
GeoB1208-1,-24.4917,7.1133,-2971,0,10.5,0.5,2.4,1.6,0.2,0,5.2,0,0.1,8.6,2.9,1.1,3,5.8,18.3,0,2.3,13.5,7.3,0,1,0.4,0.2,3.6
GeoB1209-1,-24.5117,7.2833,-3303,0,9.7,0.8,4.2,2.4,0.8,0,6,0.6,0,8.1,3.3,0.3,3,4.7,20.2,0.7,2,11.2,6.3,0,1.1,0,0.2,2.3
GeoB1210-3,-24.485,7.4383,-3750,0,14.1,1.1,2.8,2.5,0,0,4.9,0,0.1,7,2.5,0.6,2.7,4.5,17.3,0.3,0.1,15.5,9.2,0.3,1.1,0.6,0,3.4
GeoB1215-1,-24.8367,6.845,-2761,0,9.2,0,3.8,1,0.9,0,6.1,0,0,6.8,4.1,1.5,4.5,4.8,20.7,0,1.6,12.1,4,0.5,1.8,0.3,0,6.6
GeoB1216-2,-24.925,6.7883,-2263,0,14.2,0.3,4.7,1.7,0.8,0,8.1,0.5,0,8,1.4,0.8,1.4,2.8,15.5,0,3.2,19.5,5.6,0.8,0.6,1.1,0,1.5
GeoB1217-1,-24.945,6.725,-2007,0,19.4,1.1,2.5,2.4,1.3,0,4.3,0.1,0,7.7,1.9,0.3,2.8,2.2,12.7,0,2.9,14.2,7.9,0.4,1.3,2.1,0,2.5
GeoB1218-1,-25.1683,5.9183,-1023,0,16.3,0,5.4,4.3,0.9,0,8.3,0.3,0,7.2,0.9,0.3,7.4,6,15.1,0.1,2.1,7.9,7.2,0.1,0.9,1,0,2.5
GeoB1220-2,-24.0333,5.3067,-2266,0,12.8,0.4,3.3,4.2,0,0,8.8,0.2,0.1,5.9,3.7,0.6,3.2,3.3,17.3,0,4.3,7.1,6.7,0,1.6,1.8,0,5.7
GeoB1308-1,-32.7867,-27.75,-3622,0,13.5,1.7,2,2.5,0.4,0,3.4,1,0.4,20.2,1.4,0.2,3.1,6.9,17.6,0.6,1.1,1.8,11.2,0.1,0.2,0,0,0
GeoB1309-3,-31.6667,-28.665,-3963,0,6.3,0.8,2.5,0.5,0.3,0,0.8,2,0,32.9,2.7,1.4,7.9,6.4,17.4,0,0,1.1,7.1,0.3,1,0,0,0.6
GeoB1310-1,-31.5883,-28.9033,-3346,0,11.4,1.2,1.1,2.2,0.7,0,1.4,1.8,1.1,23.1,0.2,0.5,2.7,10.9,22.3,0,0.2,1.4,10.6,0.2,0.6,0,0,0.2
GeoB1311-2,-31.5133,-29.0983,-2899,0,13.3,0.8,4.7,2.1,0.5,0,4.9,3,2,29.1,2.2,1.4,8.5,1.5,11,0,2.3,0,0.5,0,0,0,0,1.2
GeoB1312-3,-31.6617,-29.6567,-3436,0,12.1,2.1,4.6,2.3,0.9,0,4.9,0.9,0.9,29.5,1.2,0.5,5.6,3.2,10.5,1,2.7,0.4,4.3,0,0.6,0,0,0.2
GeoB1313-1,-31.6617,-30.0333,-3698,0,14,0.8,2.1,2.7,0.7,0,3,1.3,1.4,29.1,1.6,0.4,4.8,3.6,11.3,0,3.2,0.8,4.9,0,0.4,0,0,0.3
GeoB1403-2,-1.1983,-11.7117,-3692,0,6.6,0.9,4.4,0.7,0.5,0,17.7,0.2,5.5,29.9,7.2,4.5,0,0,0.8,1.8,0.7,4,2.6,0,0,0,3.3,6
GeoB1407-7,-4.3283,-10.2533,-3520,0,3.1,0,4.1,0,0.4,0,12.2,0.2,10.9,30.7,9.6,6.3,0.1,0,1.2,1.1,0.2,4.3,0.7,0,1.6,0,2.5,8.7
GeoB1408-3,-12.8183,-6.185,-1848,0,7.2,1.7,7,3.2,0.9,0,18.7,0.6,3,30.5,9.1,1.8,0.1,0.3,2.7,1,1,2,0.7,0,0.7,0,0.6,4.3
GeoB1413-2,-15.675,-9.4567,-3785,0,7.7,2.2,4.2,4.3,0.3,0,12.6,0.7,2.2,33.1,7.1,1.8,1.1,0.1,7.6,0.4,0,1.3,1.6,0,0.8,0,1.4,4.7
GeoB1414-2,-15.5283,-10.7283,-3605,0,5.9,1.3,5.9,4.4,1.2,0,21.2,0.9,2.3,24.4,6.6,2.5,1.5,0.1,4.6,2.3,0,1,0,0,2.2,0,1.5,5.7
GeoB1415-1,-15.53,-11.5783,-3116,0,3.6,0.9,7.6,2.1,0.6,0,16.8,1.1,2,30.5,7.9,2.3,2.6,0,5.2,0.6,1.9,1.2,0.2,0,1.4,0,2.2,4.7
GeoB1418-1,-15.5333,-14.885,-3524,0,2.5,2.1,4.3,0,1.2,0,20.5,0,3.8,40.1,6,1.7,1.7,0.5,1.6,1,3.5,1,0,0,1.8,0,1.3,2.1
GeoB1503-2,2.31,-30.6483,-2298,0,0.7,0.3,5.9,0,0.5,0,8.4,0.7,3.8,24.8,23.3,8.6,2,0,1.6,1,0.5,6.3,0.5,0,0.9,0,1.8,7.4
GeoB1504-1,2.2883,-31.2867,-2980,0,1.2,0,5.1,0,0.1,0,5.5,0.6,3.4,42.6,18.3,6.2,0.1,0,0.1,1.1,1.8,2.7,0,0,0.4,0,1.5,8.4
GeoB1505-3,2.2733,-33.0067,-3703,0,1.1,0.1,5,0.4,0.4,0,6.7,0.1,3.7,39.5,19.9,7,0.2,0.1,0,0.4,0.5,2.2,0,0,1.4,0,1.6,8.7
GeoB1508-1,5.3333,-34.025,-3685,0,1.1,0,3.5,0.3,0.2,0,8.3,0.5,4.3,40,19.1,9.7,0.6,0,0.1,0.2,0.4,3.9,0,0,1.2,0,0.4,3.6
GeoB1511-6,3.1783,-46.3433,-3162,0,0.6,0,10.1,1,0.1,0,3.6,1.9,3.2,19.8,15.7,12.8,0.1,0,0,0.3,0,6.1,0.1,0,1.2,0,9.8,13.5
GeoB1512-2,5.9033,-48.04,-3718,0,1.2,0,6.7,1.6,0.5,0,3.6,0,0.9,51.2,12.6,6.7,0,0,0,0.9,0,2.5,0,0,1,0,1.6,7.2
GeoB1513-2,5.4317,-46.9267,-3621,0,1,0,7.4,0.7,0,0,6.9,0.4,3.4,39.2,15.4,7.4,0.1,0,0,0,0.2,3.1,0,0,1.3,0,1.8,10.5
GeoB1514-4,5.1383,-46.575,-3511,0,2.3,0,6.2,0.5,0,0,5.9,0.4,3.7,43,14.6,6,0,0,0,0,0,2.9,0,0,0.6,0,1.8,11
GeoB1520-1,4.5917,-41.935,-3911,0,1,0.1,5.6,0.7,0.1,0,5,0.3,4.1,42.5,18.6,8.8,1,0,0,0.9,0.3,3.3,0,0,1.1,0,0.9,5.3
