Site,References,Basin,Latitude,Longitude,Depth,d15N,Trace metals,Lamitions,Forams,Hol-LGM
MD02-2520,"Pichevin et al., 10",Pacific,15.669,-95.3,719,-1,,,,-1
ME0005A 3JC,"Thunell & Kepple, 04/Hendy & Pedersen, 06",Pacific,15.65066667,-95.2805,740,0,0,-1,,0
MD02-2524,"Pichevin et al., 10",Pacific,12.00916667,-87.91383333,863,-1,-1,,,-1
ODP1242//ME0005-43JC,"Robinson et al., 09/Martinez & Robinson, 10",Pacific,7.855866667,-83.60696667,1364,-1,,,,-1
TR163-19P,"Bradtmiller et al., 10/Dubois et al., 11",Pacific,2.26,-90.95,2348,-1,1,,,1
ODP1240/ME0005-24JC,"Robinson et al., 09/Bradtmiller et al., 10/Dubois et al., 11",Pacific,0.2,-86,2921,-1,1,,,1
ME0005-27JC,"Bradtmiller et al., 10/Dubois et al., 11",Pacific,-1.853333333,-82.78666667,2203,-1,1,,,1
TR163-31P,"Bradtmiller et al., 10/Dubois et al., 11",Pacific,-3.618666667,-83.97066667,3209,-1,0,,,0
ODP1235,"Muratli et al., 10",Pacific,-36.15983333,-73.56633333,489,,-1,,,-1
ODP1234,"Robinson et al., 07/Muratli et al., 10",Pacific,-36.21916667,-73.68166667,1015,-1,-1,,,-1
ODP1233,"Martinez et al., 06/Muratli et al., 10",Pacific,-41.00016667,-74.44983333,838,1,-1,,,-1
Sta 3,"Shigemitsu et al., 07",Pacific,50,164.9833333,5507,,0,,,0
KT94-15 9PC,"Crusius et al., 99",Pacific,39.57266667,139.4068333,807,,1,1,,1
NH22P,"Ganeshram et al., 00/meroff et al., 04",Pacific,23.51833333,-106.5183333,2025,-1,0,,,0
NH15P,"Ganeshram et al., 00/meroff et al., 04",Pacific,22.68333333,-106.48,420,-1,-1,-1,,-1
NH8P,"Ganeshram et al., 00",Pacific,22.38833333,-107.075,1018,-1,,1,,1
RC13-140,"Bradtmiller et al., 10",Pacific,2.87,-87.75,2246,,1,,,1
MD97-2138,"Bradtmiller et al., 10",Pacific,-1.25,146.24,1900,,1,,,1
RC11-238,"Bradtmiller et al., 10",Pacific,-1.52,-85.82,2573,,1,,,1
V19-30,"Bradtmiller et al., 10",Pacific,-3.38,-83.52,3091,,1,,,1
