Core,Latitude,Longitude,Productivity_anomlies
ODP 1020,41.0005,-126.434,-1
PC6,40.4,143.5,-1
J11,40.11833333,133.995,0
NGC108,36.61416667,158.3483333,1
1603,35.92166667,130.7233333,-1
H3571,34.90416667,125.837,1
ODP 893,34.2875,-120.0366667,-1
V1-81-G15,33.34666667,-120.4295,-1
F2-92-P29,32.91533333,-119.7371667,-1
ODP 1012,32.28283333,-118.3836667,1
LPAZ 21P,22.99,-109.4666667,-1
NH8P,22.38833333,-107.075,-1
NH15P,22.06666667,-106.48,-1
NH22P,21.51833333,-106.5183333,-1
TT013-104,5.078333333,-139.6366667,-0.5
GS7202-9,4.825,-89.32,-1
P7,2.606,-83.98633333,1
TR163-19P,2.258333333,-90.95166667,1
TT013-076,2.065666667,-140.149,-0.5
TT013-098,2.058333333,-140.1433333,-0.5
TT013-077,2.057333333,-140.1425,-0.5
MANOPC / W8402A-GC14,0.953333333,-138.955,1
P6,0.871666667,-86.12833333,1
TR163-22P,0.515,-92.34833333,1
TT013-048,0.12,-139.735,-0.5
TT013-069,0.111666667,-139.7233333,-0.5
TT013-072,0.11,-139.4,-1
TT013-065,0.106666667,-139.735,-0.5
Y69-71P,0.1,-86.48333333,1
VNT01-8PC,0.033333333,-110.4833333,-1
ME0005-24JC,0.0217,-86.46313333,1
PC72 / TT013-PC72,0,-140,0
P2,-1.408333333,-92.98166667,1
RC11-238,-1.517,-85.817,-1
RC13-114,-1.65,-103.63,-1
TT013-018,-1.84,-138.71,-1
ODP 846B,-3.095,-90.818,-0.5
TR163-31P,-3.6,-83.95,-1
V21-40,-5.517,-106.767,-1
Y71-9-101,-6.383,-106.94,-1
ODP 680,-11.065,-78.07783333,-1
SCS90-36,17.995,111.494,-1
NGC34 / C2188,3.8015,141.4906667,-1
KH92-1-5cBX,3.533333333,141.86,-1
C4402,2.996666667,135.0216667,1
RC17-177,1.75,159,-1
O3187,1.219833333,160.573,-1
RNDB 74P,0.341333333,159.3748333,-0.5
NGC100,-25.27,162,-1
NGC99,-29.99666667,162,-1
17748-2,-32.75,-72.03333333,1
GeoB3302-1,-33.21833333,-72.09,1
NGC98,-34.99833333,162.51,-1
NGC97 / LH3166,-35.4995,160.9983333,0.5
Fr94-GC3,-44.25,149.9833333,1
DSDP 594,-45.51666667,171.95,1
TSP-2MC,-48.12666667,146.9,1
TSP-2PC,-48.13666667,146.875,0.5
TSP-3PC,-48.55833333,146.4116667,1
TN057-13PC4,-53.1728,5.1275,-1
E33-22,-54.93,-120,0
E20-13,-55,-104.95,1
V16-116,-55.09166667,147.4833333,0
VM16-115,-55.68,141.28,-1
E15-28,-56.017,-149.817,-1
E11-2,-56.07,-115.09,1
E11-3,-56.903,-115.243,-1
E14-17,-57.828,-124.947,1
E11-4,-57.833,-115.216,1
E15-5,-58.017,-99.983,1
RC8-71,-58.05,155.733,-1
E23-18,-58.983,-115,-1
VM18-93,-59.483,-64.783,1
EL27-23PC,-59.62,155.24,-1
E27-23,-59.62,155.24,-1
VM17-90,-60.133,-74.933,1
E23-17,-60.217,-114.633,-1
E20-10,-60.22,-127.05,-1
E21-20,-60.25,-120.17,-1
E11-7,-60.918,-114.777,-1
E17-7,-61.083,-134.35,-1
VM18-73,-61.533,-73.283,1
NBP9802-6PC1,-61.88,-169.98,-1
E19-6,-61.933,-107.958,-1
E19-7,-62.163,-109.088,-1
E17-9,-63.08,-135,-1
NBP9802-5GC1,-63.11,-169.74,-1
E23-14,-63.816667,-108.85,-1
NBP9802-4GC1,-64.2,-170.08,-1
E11-12,-65.87,-115.083,-1
NB9802_5GC1/5MC1,-66.11,-169.74,-1
ANTA91-8,-70.78333333,172.8333333,-0.5
93KL,23.58333333,64.21666667,1
57KL,20.91,63.12,-1
RC27-23,17.99333333,57.59,-1
74KL,14.321,52.38333333,-1
3104G,13,72,1
87KL,10.5,57.74,-1
MD77194,10.46666667,75.23333333,1
SK-185-20,10,71.5,1
3101G,6,74,1
MD900963,5.055,73.87666667,1
GC4,-12.28333333,52.38333333,1
GC5,-12.36666667,52.38333333,1
ODP 723,18.05131667,57.60935,1
GeoB3005,14.97166667,54.37,1
94KL,22.4885,65.64983333,1
E49-21,-42.2,94.9,1
RC11-120,-43.5,79.9,1
MD94-102,-43.5,79.8,1
MD84-527,-43.83333333,51.31666667,-1
E49-19,-43.9,90.1,1
E45-29,-44.9,106.5,1
MD88-768,-45.8,82.9,0.5
MD88-770,-46,96.5,1
MD88-769,-46.1,90.1,1
MD88-767,-46.7,79.5,-0.5
E49-23,-47.1,95.1,1
MD88-779,-47.84483333,146.5458333,1
MD88-771,-49.9,100.1,1
MD88-772,-50,104.9,1
KGL 01,-50.7,68.5,-1
MD80-304,-51.06666667,67.43333333,-1
MD88-773,-52.9,109.9,-1
MD84-552,-54.91666667,73.83333333,-1
MD84-551,-55,73.26666667,-1
MD84-787,-56.4,145.3,-1
MD88-788,-58,144.6,-1
MD84-540,-60.7,86.4,-1
KR8830,-61,93.2,-1
KR8814,-61.3,144.4,-1
KR8815,-63.3,141.9,-1
KR8824,-63.8,116.4,-1
MD88-791,-64.7,119.5,1
MD94-104,-46.5,88.1,1
NGC102,32.3306666666667,157.85,1
NGC108,36.6141666666667,158.348333333333,1
1017E,34.5333333333333,-121.1,1
H3571,34.9041666666667,125.837,0
NH22P,21.5183333333333,-106.518333333333,0
MD02-2496,48.97,-127.04,-1
NH8P,22.3883333333333,-107.075,-1
RAMA44PC,53,164.65,-1
1670,39.9133333333333,133.55,-1
ODP887B,54.3651666666667,-148.446333333333,-1
MD01-2416,51.268,167.725,-1
PC-13,49.7181,168.3019,-1
NH15P,22.0666666666667,-106.48,-1
MD01-2412,44.5166666666667,145,-1
PC6,40.4,143.5,-1
ODP882,50.3666666666667,167.6,-1
XP98-PC-4,49.5,146.116666666667,-1
KH99-03-StaES,49.745,168.315,-1
LV28-40-5,51.3340833333333,147.176883333333,-1
XP98-PC-1,51,152,-1
BOW-9A,54.0371666666667,178.676333333333,-1
V34-90,48.8333333333333,150.466666666667,-1
LV28-42-4,51.7148,150.9854,-1
XP98-PC-2,51.4,148.333333333333,-1
UMK3A,54.8406666666667,-170.223,-1
JPC17,53.933,178.6988,-1
RC10-196,54.7,177.08,-1
MD01-2415,53.9515,149.9515,-1
GGC37,50.4,167.7,-1
MD02-2489,54.39,-148.921,-1
U1343,57.55,175.82,-1
U1342,54.83,176.92,-1
SO202-7-6,51.3,167.7,-1
SO202-27-6,54.3,-149.6,-1
