Year,Group,GMOC_min,GMOC_max,AMOC_min,AMOC_max
2005.5,PI,-35.314,37.156,-1.499,12.112
2006.5,PI,-35.309,37.149,-1.507,12.071
2007.5,PI,-35.304,37.142,-1.516,12.03
2008.5,PI,-35.299,37.135,-1.525,11.988
2009.5,PI,-35.296,37.128,-1.535,11.947
2010.5,PI,-35.292,37.121,-1.544,11.906
2011.5,PI,-35.287,37.114,-1.554,11.865
2012.5,PI,-35.283,37.107,-1.563,11.825
2013.5,PI,-35.278,37.099,-1.573,11.786
2014.5,PI,-35.273,37.091,-1.583,11.747
2015.5,PI,-35.269,37.084,-1.593,11.707
2016.5,PI,-35.265,37.076,-1.604,11.667
2017.5,PI,-35.259,37.067,-1.614,11.627
2018.5,PI,-35.252,37.058,-1.624,11.588
2019.5,PI,-35.246,37.049,-1.635,11.554
2020.5,PI,-35.239,37.039,-1.645,11.512
2021.5,PI,-35.233,37.029,-1.656,11.466
