Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii flexuosa,Globorotalia menardii & Globorotalia tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Turborotalita humilis & Berggrenia pumilio,Globigerinita uvula,Other ID,Other UnID
PS2837-5,,81.2333,2.3817,-1023,North Atlantic,3.97,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,97.8,2.2,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS2887-1,,79.6,-4.6077,-1411,North Atlantic,0.5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,96.7,3.2,0,,,0,0,0,0,,0,0,,,0,0,0.1,,,0,0,,
PS2887-1,,79.6,-4.6077,-1411,North Atlantic,0.52,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,97.7,2.3,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS2887-1,,79.6,-4.6077,-1411,North Atlantic,0.56,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,97.8,2.2,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS1230-1,,78.8553,-4.7812,-1249,North Atlantic,0.24,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,98.6,1.4,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS1230-1,,78.8553,-4.7812,-1249,North Atlantic,0.26,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,98.2,1.8,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
GIK17725-1,,77.46,4.58,-2577,North Atlantic,0.3,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,95.6,3.6,0,,,0,0,0,0,,0,0,,,0,0,0.8,,,0,0,,
GIK17724-2,,76,8.3333,-2354,North Atlantic,0.47,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,97.8,2,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
GIK17724-2,,76,8.3333,-2354,North Atlantic,0.53,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,96.8,3.1,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
GIK17724-2,,76,8.3333,-2354,North Atlantic,0.57,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,97,2.8,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
GIK17724-2,,76,8.3333,-2354,North Atlantic,0.58,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,97.2,2.8,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
GIK17724-2,,76,8.3333,-2354,North Atlantic,0.62,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,97.5,2.5,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS1922-1,,75.0003,-8.771,-3350,North Atlantic,1.32,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,97.7,2.3,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS1922-1,,75.0003,-8.771,-3350,North Atlantic,1.56,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,98.3,1.7,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS1919-2,,74.9967,-11.8267,-1955,North Atlantic,0.23,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,99.5,0.5,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS1919-2,,74.9967,-11.8267,-1955,North Atlantic,0.36,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,99.1,0.9,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS2613-6,,74.1767,-0.48,-3266,North Atlantic,0.35,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,97.3,2.6,0,,,0,0,0,0,,0,0,,,0,0,0.1,,,0,0,,
PS2613-6,,74.1767,-0.48,-3266,North Atlantic,0.4,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,95.7,4.3,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
