_id,Core,Coring_device,Latitude,Longitude,Water_Depth,Ocean,Sample_depth_upper,Sample_depth_lower,chronozone_level,sedimentation_rate,Publication,added_by,date_of_addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacculifer,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beella digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globoconella inflata,Truncorotalia truncatulinoides,Truncorotalia crassaformis,Truncorotalia crassula,Hirsutella hirsuta,Hirsutella scitula,Menardella menardii,Globorotalia tumida,Globorotalia flexuosa,Hirsutella theyeri,Micro,Other_ID,Other_UnID,Total_Planktics,percent_or_Raw,no_decimals,Total,Current_sum,BFD,Ocean2,sp_rich,rarefy_sr,simpson,simpsonEve,FRic,MorphoAgeAbun,LinAgeAbun
11,PS1313-3,BC,79.985,2.815,2623,Nordic_Seas,0,0.01,2,11.9,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,517,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,P,N,Y,100,N,Atlantic,3,2.99994452267791,0.261031639542936,0.45107930348623,0.114077045197372,12.5904605263158,14.9138980263158
12,PS1311-3,BC,79.968,0.1817,2828,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,362,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,P,N,Y,100,N,Atlantic,3,2.99999117429679,0.100586606726789,0.370611929760399,0.114077045197372,11.2109947643979,11.7603403141361
13,PS1318-4,BC,79.718,2.9667,4469,Nordic_Seas,0,0.01,4,15,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,P,N,Y,100,N,Atlantic,3,2.83585091007665,0.0417586681571679,0.347859482007822,0.114077045197372,11.0650455927052,11.4082066869301
14,PS1231-2,BC,79.233,-3.9867,1982,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,678,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,P,N,Y,100,N,Atlantic,4,2.79237842848568,0.0370150854170114,0.259609466580544,0.185064607478481,10.8205499276411,10.8744573082489
15,PS1232-1,BC,79.032,-1.6225,2583,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,P,N,Y,100,N,Atlantic,1,1,0,1,NA,10.8,10.8
16,PS1235-1,BC,78.868,1.3925,2485,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,P,N,Y,100,N,Atlantic,3,2.692695175195,0.0728892385587117,0.3595399246743,0.114077045197372,11.3138539042821,11.9760705289673
17,PS1230-1,BC,78.862,4.9042,1290,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,P,N,Y,100,N,Atlantic,2,1.9942561571952,0.0176977040816326,0.509008277876968,NA,10.7964285714286,10.8
18,V27-71,TW,78.832,4.6317,2439,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,628,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,P,N,Y,100,N,Atlantic,3,2.96361945661823,0.0658556213017752,0.356832777603232,0.114077045197372,10.9249230769231,11.1078461538462
19,PS1535-5,BC,78.753,1.79,2554,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,410,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,P,N,Y,100,N,Atlantic,3,2.99063009896782,0.0467687074829932,0.349687778768956,0.114077045197372,10.9690476190476,11.1970238095238
20,V27-80,TW,78.392,7.4232,2915,Nordic_Seas,0,0.01,5,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,293,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,P,N,Y,100,N,Atlantic,3,2.99993188737111,0.0703557825484765,0.358560110498095,0.114077045197372,10.9828947368421,11.2388157894737
21,V27-79,TW,78.118,3.6232,2308,Nordic_Seas,0,0.01,5,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,575,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,P,N,Y,100,N,Atlantic,3,2.99984781116093,0.0983836007363112,0.369706378017916,0.114077045197372,11.1508250825083,11.625495049505
22,PS1291-3,BC,78.067,8.0667,2408,Nordic_Seas,0,0.01,2,3.5,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,P,N,Y,100,N,Atlantic,2,1.91902574815933,0.0147775061726874,0.507499578148729,NA,10.9086848635236,11.0482630272953
23,PS1290-3,BC,78.05,8.725,1522,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,322,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,P,N,Y,100,N,Atlantic,4,3.74722728104912,0.223342982041588,0.321892410960467,0.185064607478481,12.3108695652174,14.2929347826087
24,PS1294-3,BC,78.003,5.365,2677,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,429,P,N,Y,100,N,Atlantic,3,2.51527172842481,0.0139422657000611,0.338046466995147,0.114077045197372,10.8672897196262,10.9558411214953
25,PS1296-3,BC,78.002,0.665,3101,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,420,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,P,N,Y,100,N,Atlantic,3,2.75409251081674,0.0187344250622997,0.339697368222152,0.114077045197372,10.8669811320755,10.9573113207547
26,PS1298-3,BC,78,-3.5167,2749,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,P,N,Y,100,N,Atlantic,1,1,0,1,NA,10.8,10.8
27,PS1293-3,BC,77.998,6.685,2467,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,467,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,P,N,Y,100,N,Atlantic,3,2.961964102024,0.104091199659067,0.37206167994609,0.114077045197372,11.4765182186235,12.3527327935223
28,PS1292-3,BC,77.997,7.4167,3538,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,P,N,Y,100,N,Atlantic,3,2.71801566562526,0.0898090518034754,0.366223520453382,0.114077045197372,11.4469973890339,12.2802872062663
29,PS1295-4,BC,77.99,2.4467,3112,Nordic_Seas,0,0.01,2,<2,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,440,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,P,N,Y,100,N,Atlantic,3,2.97432678019171,0.0436938271604939,0.34856340239192,0.114077045197372,10.9911111111111,11.2446666666667
30,PS1301-2,BC,77.987,-6.58,303,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,P,N,Y,100,N,Atlantic,2,1.91618783186613,0.0121699291961681,0.506159930516321,NA,10.7975510204082,10.8
31,PS1299-1,BC,77.983,-4.29,2404,Nordic_Seas,0,0.01,5,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,P,N,Y,100,N,Atlantic,1,1,0,1,NA,10.8,10.8
32,PS1289-1,BC,77.983,9.4167,616,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,316,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,P,N,Y,100,N,Atlantic,4,3.79077437897397,0.164937836872659,0.299378909785279,0.185064607478481,11.9008645533141,13.3510086455331
33,V23-63,TW,77.957,0.2032,3050,Nordic_Seas,0,0.01,5,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,584,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,P,N,Y,100,N,Atlantic,4,3.96963797250643,0.108633185527755,0.280468148399734,0.185064607478481,11.0009693053312,11.4449111470113
