Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Turborotalita humilis & Berggrenia pumilio,Candeina nitida ,Globigerinita glutinata
MD972148,Piston,19.8,117.54,2830,South China Sea,9.955,,19.08,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.42,0,16.53,1.61,6.45,0,0.81,6.85,11.69,0,0,1.21,0,0,0,31.05,1.21,0,0.81,4.03,0,0,0,0,2.02,0,13.31
MD972148,Piston,19.8,117.54,2830,South China Sea,10.035,,19.17,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.17,0,18.12,0,6.52,0,1.45,5.43,5.07,0.72,0,0,0,0,0,42.39,0.36,0,1.81,1.81,0,0,0,0,0.36,0,13.77
MD972148,Piston,19.8,117.54,2830,South China Sea,10.115,,19.26,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.9,0,16.67,0,4.05,0,1.8,5.41,4.95,0,0.45,1.8,0,0,0,47.3,0.45,0,1.35,0.9,0,0,0,0,3.15,0,10.81
MD972148,Piston,19.8,117.54,2830,South China Sea,10.195,,19.35,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.34,0,12.15,0,6.07,0,0.47,2.34,5.14,0.47,0,0.93,0,0,0,50.47,0.47,0,0.93,3.74,0,0,0,0,2.34,0,12.15
MD972148,Piston,19.8,117.54,2830,South China Sea,10.275,,19.44,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.79,0,8.76,1.2,8.76,0,1.59,7.57,5.18,0.4,0,2.39,0,0,0,45.82,0,0,1.99,6.77,0,1.59,0,0,1.59,0,3.59
MD972148,Piston,19.8,117.54,2830,South China Sea,10.435,,19.62,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.23,0.41,13.11,0,6.15,0,0.82,2.46,3.28,0.82,0,0.41,0,0,0,22.13,0,0,1.64,25.82,0,1.23,0,0,2.87,0,17.62
MD972148,Piston,19.8,117.54,2830,South China Sea,10.515,,19.71,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.19,0,15.02,1.58,7.51,0,0.79,3.95,7.11,0.4,0,3.16,0,0,0,28.85,0,0,2.77,11.07,0,0.79,0,0,4.35,0,11.46
MD972148,Piston,19.8,117.54,2830,South China Sea,10.595,,19.8,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.12,0,15.68,0.85,4.24,0,0.85,8.47,3.81,0.85,0,2.12,0,0,0,36.44,1.27,0,4.24,7.63,0,0.42,0,0,2.54,0,8.47
MD972148,Piston,19.8,117.54,2830,South China Sea,10.675,,19.89,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.92,0,8.76,1.84,5.53,0,0.46,5.07,5.99,0.92,0,0.92,0,0,0,45.16,0.46,0,1.84,5.99,0,1.38,0,0,2.76,0,11.98
MD972148,Piston,19.8,117.54,2830,South China Sea,10.755,,19.98,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.51,0,12.82,2.56,4.62,0,0,4.1,4.62,2.05,0,2.05,0,0,0,46.15,2.05,0,0.51,0.51,0,1.03,0,0,2.56,0,13.85
