Core,Latitude,Longitude,Coring device,Water depth (m),Sample depth - upper (m),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Globigerinita uvula,Other ID
K12,2.688888889,127.7361111,,3510,2.8675,2,13.91990291,Barmawidjaja et al. (1993),TTB,37622,0,0.3,,0.6,,0,,0,0,10.5,1.2,,0.9,,,,6.3,34,,,10.2,,0,0.3,,,0,,14.1,,,,15.7,,,,0
MD76-131,15.32,72.34,,1230,1.9,4,9.223300971,Prell (1985),TTB,37622,1.4,0.9,,4.1,,0,,4.5,0.9,12.3,1.8,0,1.8,,0,0,0,5.5,0.5,1.4,4.5,0,0,0,,0,0.5,,,,,,16.4,,,,
MD77-169,10.13,95.03,,2360,1.51,4,7.330097087,Prell (1985),TTB,37622,0.3,1.8,,3.6,,0,,1.6,8.6,9.4,1,0.3,1,,0,0,0,15.6,1,1.3,7.5,0,0,0.3,,0,0.3,,,,,,12.5,,,,
MD77-171,11.46,94.09,,1760,2.61,4,12.66990291,Prell (1985),TTB,37622,1,0.5,,9.1,,0,,2.6,2.6,11,1.4,0.2,3.4,,0,0,0,12.5,1.7,2.4,4.6,0,0,0,,0,0.5,,,,,,13.7,,,,
MD77-179,18.22,91.01,,1986,0.52,4,2.524271845,Prell (1985),TTB,37622,1.3,1.3,,6.3,,0,,1.7,2.6,11.3,2.6,0.4,2.6,,0,0,0,8.1,0.7,1.5,10.6,0,0,0,,0,0.4,,,,,,30.7,,,,
MD77-180,18.28,89.51,,1986,1.81,4,8.786407767,Prell (1985),TTB,37622,1,0.7,,3.4,,0,,4.2,3.4,11.8,1.2,0,1.7,,0,0,0,7.1,1,1.2,6.4,0,0,0,,0,0,,,,,,25.1,,,,
MD77-191,7.3,76.43,,1254,6.72,4,32.62135922,Prell (1985); Ruddiman (1992),TTB,37622,0,0,,3.5,,0,,1.2,2.4,31.8,2.9,0,4.7,,0,0,0,18.8,0.6,4.7,2.9,0,0,0.6,,0,0,,,,,,11.8,,,,
MD77-194,10.28,75.14,,1222,3.11,4,15.09708738,Prell (1985),TTB,37622,0,0.3,,5.2,,0.3,,1.7,4.9,27.7,0.3,0,4,,0,0,0,10.7,0.6,3.2,1.2,0,0,0,,0,0.6,,,,,,10.4,,,,
MD77-203,20.42,59.34,,2442,3.41,4,16.55339806,Prell (1985),TTB,37622,10,0,,0.3,,0,,2.9,12,28.9,15.4,0,1.1,,1.7,0.3,0.6,3.4,0,0,1.1,0,0,0,,0,0,,,,,,4.9,,,,
MD88-770,-46.01666667,96.46666667,,3290,1.12,2,5.436893204,Labeyrie et al. (1996),TTB,37622,,,,,,,,,,6,,,,,1,206,2,,,,,0,1,,,,0,,,,,,1,,,,
ODP site 828,-15.2889,166.2839,,3086.7,12.38,2,60.09708738,Martinez (1994),TTB,37622,3.55,0.64,,0.64,,0,,4.84,0.32,7.74,0,0,0.64,,,0,0.32,6.13,,0,3.55,0.64,0,0.97,1.61,,0.97,0,4.84,0.32,,0,18.4,0,0,0,
ODP122-760A,-16.922,115.5413333,,1970,0.39,2,1.893203883,Wells and Wells (1994),TTB,37622,6,4,,2,,1,0,21,1,2,5,0,4,0,0,1,4,37,0,0,4,8,10,2,,0,3,,23,7,0,1,63,,,,
ODP122-762B,-19.88733333,112.254,,1360,0.8,2,3.883495146,Wells and Wells (1994),TTB,37622,5,2,,3,,1,0,15,0,7,8,0,2,0,0,0,2,30,3,3,1,30,5,4,,3,1,,14,1,0,0,40,,,,5
P69,-40.39666667,177.9966667,,2195,3.9,2,18.93203883,"Weaver et al., (1998)",TTB,37622,0,0,,0,,0,,0,0,62,4,0,0,,6,39,97,12,,,0,61,4,12,0,1,1,,0,0,,,17,,,,0
Q200,-45.995,172.025,,1370,0.59,2,2.86407767,"Weaver et al., (1998)",TTB,37622,0,0,,0,,0,,0,0,20,0,0,0,,3,251,1,0,,,0,2,1,0,0,0,0,,0,0,,,0,,,,0
Q585,-49.70333333,182.075,,4354,0.73,2,3.54368932,"Weaver et al., (1998)",TTB,37622,0,0,,0,,0,,0,0,15,0,0,0,,0,325,1,0,,,0,3,0,0,0,0,0,,0,0,,,0,,,,0
R657 (S),-42.53333333,181.5083333,,1408,0.5,2,2.427184466,Sikes et al. (2002),TTB,37622,1,0,,0,,0,0,0,0,60,0,0,0,0,51,24,130,19,0,0,0,107,23,1,0,2,0,0,0,0,0,0,32,0,0,0,4
R657 (W),-42.53333333,181.5083333,,1408,0.5,2,2.427184466,"Weaver et al., (1998)",TTB,37622,0,0,,0,,0,,0,1,47,0,0,0,,33,24,79,6,,,0,77,22,8,0,0,3,,0,0,,,15,,,,1
RC08-039,-42.88333333,42.35,,4330,0.7,2,3.398058252,Prell et al. (1980),TTB,37622,0,0,,0,,0,0,0,0,18,0,0,0,0,11,223,37,0,0,0,0,1,1,0,,0,0,,0,0,0,0,9,,,,
RC08-078,-44.78333333,184.2333333,,1756,0.5,3,2.427184466,Barrows et al. (2000),TTB,37622,6,0,,0,,0,0,0,1,68,5,0,0,0,26,11,34,18,0,1,0,74,23,0,,0,0,,0,0,,0,14,,,0,
RC09-148,-29.68,113.7,,2056,0.19,3,0.922330097,Wells and Wells (1994),TTB,37622,0,0,,1,,0,0,5,0,14,17,0,0,0,0,0,0,15,0,0,0,160,3,1,,2,2,,0,0,0,0,34,,,,18
RC09-150 (P),-31.28333333,114.5516667,,2703,0.8,2,3.883495146,Prell et al. (1980); CLIMAP (1981),TTB,37622,3,0,,3,,0,0,5,8,25,11,3,8,0,0,0,5,3,0,0,3,153,14,0,,5,11,,0,0,0,0,22,,,,
RC09-150 (W),-31.28333333,114.5516667,,2703,0.9,2,4.368932039,Wells and Wells (1994),TTB,37622,0,0,,0,,0,0,0,2,29,9,0,0,0,0,4,7,3,0,0,0,171,5,0,,0,3,,0,0,0,0,44,,,,15
RC09-161,19.56833333,59.595,,3332,1.6,4,7.766990291,Prell et al. (1980),TTB,37622,14,0,,0,,0,0,5,14,87,2,1,8,1,1,0,6,20,0,0,6,0,0,1,,0,5,,19,0,0,0,60,,,,
RC09-162,19.07666667,60.42166667,,3092,0.5,2,2.427184466,Prell et al. (1980),TTB,37622,10,0,,2,,0,0,7,5,66,11,0,7,0,0,0,0,41,0,1,11,0,0,0,,0,0,,24,9,0,0,46,,,,
RC10-131,-14.53,157.97,,2933,0.3,2,1.45631068,Anderson et al. (1989),TTB,37622,3,4,,8,,2,0,17,9,15,8,2,3,0,0,0,0,15,0,0,8,0,1,0,,0,0,0,1,1,0,0,71,,0,0,10
RC11-120,-43.51666667,79.86666667,,3193,0.74,2,3.59223301,Prell et al. (1980); Martinson et al. (1987),TTB,37622,0,0,,0,,0,0,0,1,76,0,0,0,0,5,179,24,0,0,0,0,5,6,1,,0,0,,0,0,0,0,3,,,,
RC11-121,-39.71666667,82.25,,3426,0.4,3,1.941747573,Prell et al. (1980),TTB,37622,1,0,,0,,0,0,0,0,96,36,0,0,0,28,27,51,0,0,0,0,19,13,0,,1,2,,0,0,0,0,25,,,,
RC11-126,-30.06666667,94.41666667,,2336,0.2,2,0.970873786,Prell et al. (1980),TTB,37622,3,1,,4,,0,0,3,5,80,6,3,4,0,3,0,11,0,0,0,0,51,39,0,,2,21,,0,0,0,0,13,,,,
RC11-134,-33.06666667,110.55,,2345,0.1,2,0.485436893,CLIMAP (1981),TTB,37622,3,0,,2,,0,0,1,6,85,10,0,1,1,3,0,21,2,0,0,0,76,18,2,,1,5,,0,0,0,0,28,,,,
RC11-145,-25.48333333,110.0166667,,3911,0.29,2,1.40776699,Wells and Wells (1994); Prell et al. (1980),TTB,37622,2,2,,1,,0,0,4,1,6,11,0,0,0,0,0,3,13,0,0,0,158,5,2,,0,0,,1,0,0,0,62,,,,4
RC11-147,-19.05833333,112.75,,1953,0.6,2,2.912621359,Prell et al. (1980),TTB,37622,3,3,,11,,0,0,3,11,14,16,0,24,0,0,0,10,19,0,0,5,27,8,3,,0,3,,14,3,0,0,54,,,,
RC12-109,-25.88333333,157.8666667,,2930,0.4,2,1.941747573,Anderson et al. (1989),TTB,37622,3,1,,5,,0,0,16,7,34,89,0,3,0,0,0,2,8,0,0,6,105,5,9,,1,1,0,2,0,0,0,29,,0,0,7
RC12-113 (A),-24.88,163.52,,2454,0.5,2,2.427184466,Anderson et al. (1989),TTB,37622,5,2,,12,,0,0,8,8,17,64,2,4,0,0,0,1,6,0,0,3,43,13,5,,3,2,0,1,0,0,0,16,,0,0,4
RC12-113 (M),-24.88,163.52,,2454,0.4,2,1.941747573,Martinez (1994); Anderson et al. (1989),TTB,37622,1.96,1.31,,1.96,,0,,7.19,0,7.52,9.15,0.65,1.65,,,,,2.61,,,0.98,16.99,0,4.25,0.65,,0.33,,0.33,0,,0,4.57,,0,,
RC12-328,-3.95,60.6,,3087,0.3,4,1.45631068,Prell (1985),TTB,37622,0.9,0.6,,1.5,,0.3,,7.3,2.8,6.1,1.2,0.9,1.2,,0,0,0,16.8,0.6,1.5,3.4,0,0,3.7,,0,1.8,,,,,,12.5,,,,
RC12-339,9.133333333,90.03333333,,3010,0.7,2,3.398058252,Prell et al. (1980),TTB,37622,1,6,,4,,1,0,4,5,33,3,1,4,0,0,0,2,54,0,2,16,0,0,3,,0,0,,67,2,0,0,38,,,,
RC12-340,12.7,90.017,,3012,0.7,4,3.398058252,Prell (1985),TTB,37622,3.4,2,,7.6,,0.2,,3.4,5.2,2.2,0,0,2,,0,0,0,16.3,1,2,7.4,0,0,0.7,,0,0,,,,,,20.4,,,,
RC12-341,13.05,89.583,,2988,0.6,4,2.912621359,Prell (1985),TTB,37622,2,2.2,,11.5,,0,,3.3,3.3,3,1.3,0.2,3,,0,0,0,12.6,1.7,3.7,4.1,0,0,0.4,,0,0.2,,,,,,27.3,,,,
RC12-343,15.167,90.567,,2666,0.6,4,2.912621359,Prell (1985),TTB,37622,0.6,2.4,,7.6,,0,,2.1,1.5,3.3,0.9,0,0.9,,0,0,0,9.7,0.6,0.9,6.7,0,0,0,,0,0,,,,,,35.2,,,,
RC12-344,12.767,96.067,,2140,2.9,4,14.0776699,Prell (1985),TTB,37622,0.4,0.7,,3.9,,0,,6,3.5,6.3,2.1,0,3.9,,0,0,0.4,8.8,2.1,2.1,6.3,0,0,0,,0,0,,,,,,4.2,,,,
RC13-038,-14.51666667,177.1,,2867,0.4,3,1.941747573,Barrows et al. (2000),TTB,37622,13,12,,14,,0,0,20,19,13,7,3,6,0,3,0,2,11,0,0,3,0,0,2,,0,1,,1,5,,0,154,,,0,
RC14-007,-35.51666667,44.75,,3288,0.25,2,1.213592233,Prell et al. (1980),TTB,37622,1,0,,0,,0,0,9,0,48,30,0,0,0,2,3,64,39,0,0,0,68,9,1,,4,4,,0,0,0,0,16,,,,
RC14-009,-39.01666667,47.88333333,,2692,0.7,2,3.398058252,Prell et al. (1980),TTB,37622,1,0,,0,,0,0,1,0,77,2,0,1,0,26,17,122,3,0,0,0,35,5,0,,2,0,,0,0,0,0,6,,,,
RC14-029,-10.92333333,88.315,,2869,0.2,2,0.970873786,Prell et al. (1980),TTB,37622,8,5,,11,,0,0,4,2,9,0,0,9,0,0,0,7,32,3,2,9,3,0,3,,0,0,,33,3,0,1,47,,,,
RC14-035,-0.833333333,89.95,,3021,0.4,2,1.941747573,Prell et al. (1980),TTB,37622,2,2,,0,,0,0,7,9,21,1,0,6,0,0,0,1,25,14,3,25,0,0,5,,0,0,,45,4,0,0,31,,,,
RC14-037,1.466666667,90.16666667,,2226,0.4,2,1.941747573,Prell et al. (1980),TTB,37622,0,2,,10,,0,0,11,10,20,2,0,4,1,0,0,1,26,10,5,20,0,0,0,,0,1,,28,1,0,0,52,,,,
RC14-039,-5.857,90.52,,2952,0.7,4,3.398058252,Prell (1985),TTB,37622,0.5,1.6,,0.5,,0,,3.7,1.2,11.2,1.4,0.9,1.6,,0,0,0,22.2,3,2.6,11,0,0,0.5,,0,0.2,,,,,,13.6,,,,
RC17-069,-31.5,32.6,,3380,0.6,2,2.912621359,Prell et al. (1980) Be and Duplessy (1976),TTB,37622,3,0,,3,,0,0,6,12,27,3,6,3,0,0,0,12,18,0,0,0,95,3,0,,6,3,,3,0,0,0,45,,,,
RC17-073,-32.11666667,36.01666667,,2021,0.3,2,1.45631068,Prell et al. (1980),TTB,37622,4,0,,2,,0,0,9,16,42,3,1,9,0,2,1,12,3,0,0,1,92,3,0,,9,9,,1,0,0,0,33,,,,
RC17-098,-13.21666667,65.61666667,,3409,0.53,2,2.572815534,Prell et al. (1980),TTB,37622,5,7,,3,,0,0,11,7,10,3,0,7,0,0,0,3,29,1,1,5,0,1,0,,2,4,,12,21,0,0,68,,,,
RC17-108,-10.508,57.72,,4051,0.4,3,1.941747573,CLIMAP (1981),TTB,37622,1,0,,15,,0,0,2,6,51,22,0,32,0,0,1,11,15,0,2,6,0,1,1,,0,2,,8,1,0,1,50,,,,
RC17-113,15.033,66.097,,3874,0.3,4,1.45631068,Prell et al. (1980),TTB,37622,4,1,,1,,0,0,2,6,14,10,3,2,0,0,0,2,28,0,5,46,0,0,0,,0,1,,35,7,0,0,46,,,,
RS067-GC10,-38.86166667,140.1,,3332,0.505,3,2.451456311,"Passlow et al., (1997)",TTB,37622,0,0,,,,,,0,,138,0,0,0,,21,15,51,1,,,0,30,42,0,,0,4,,,,,,14,,,,0
RS096-GC21,-23.77216667,108.5006667,,2100,0.29,2,1.40776699,Wells and Wells (1994),TTB,37622,0,1,,6,,0,0,11,2,9,12,1,1,0,0,0,2,9,0,0,0,75,6,2,,1,3,,3,0,0,0,40,,,,7
RS147-GC07,-45.15,146.28,,3307,0.985,2,4.781553398,Samson (1996),TTB,37622,0,0,,0,,0,0,0,2,207,11,0,0,104,0,122,79,1,0,0,0,42,7,0,0,1,3,0,0,0,0,0,42,0,0,0,6
RS147-GC14,-46.45,145.24,,3360,0.25,3,1.213592233,Howard et al. (2002),TTB,37622,0,0,,0,,0,0,0,0,96,5,0,0,0,22,101,41,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,26,0,0,0,0
RS147-GC31,-44.53,149.05,,3402,0.69,2,3.349514563,Howard et al. (2002),TTB,37622,0,0,,0,,0,0,0,0,108,0,0,0,0,55,36,56,0,0,0,0,35,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0
S794,-35.31,177.9966667,,2195,1.39,2,6.747572816,"Weaver et al., (1998), Wright et al., (1998)",TTB,37622,1,0,,1,,0,,2,0,46,15,1,0,,27,14,126,40,,,0,52,24,18,2,0,0,,0,0,,,30,,,,0
