Core,Latitude,Longitude,Coring device,Water depth (m),Sample depth - upper (m),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Globigerinita uvula,Other ID
V20-175,-22.3,68,,3526,0.3,2,1.45631068,Prell et al. (1980),TTB,37622,4,5,,12,,1,0,5,16,7,2,5,10,1,1,0,0,5,0,0,1,1,18,1,,2,3,,2,0,0,1,50,,,,
V24-157,-14.95,147.92,,1212,0.3,2,1.45631068,Anderson et al. (1989),TTB,37622,6,17,,3,,0,0,31,23,11,2,3,5,0,0,0,0,30,0,0,10,3,3,0,,0,1,0,13,1,0,0,56,,0,0,9
V24-161,-18.2,151.45,,1670,0.5,2,2.427184466,Anderson et al. (1989),TTB,37622,2,4,,4,,0,0,19,13,12,7,3,7,0,0,0,0,18,1,1,7,1,2,1,,0,3,0,7,4,0,0,30,,0,0,5
V24-170,-13.52,146.88,,2243,0.4,2,1.941747573,Anderson et al. (1989),TTB,37622,7,3,,3,,0,0,21,13,11,5,1,3,0,0,0,1,21,0,1,20,1,5,2,,0,2,0,12,5,0,0,42,,0,0,5
V24-184,-12.87,146.2,,2708,0.3,2,1.45631068,Anderson et al. (1989),TTB,37622,3,3,,2,,0,0,10,,3,0,0,1,0,0,0,0,24,0,0,11,0,13,0,,0,0,0,9,1,0,0,57,,0,0,3
V28-238,1.016666667,160.4833333,,3120,0.39,2,1.893203883,Thompson (1981),TTB,37622,1,26,,6,,0,0,117,65,6,0,0,7,0,0,0,5,161,19,0,97,0,0,9,,0,4,,36,20,,0,178,,,0,
V28-239,3.25,159.1833333,,3490,0.52,2,2.524271845,Thompson (1981),TTB,37622,0,12,,3,,0,0,36,41,1,1,0,0,1,0,0,0,90,10,1,155,0,0,4,,0,8,,38,30,,0,57,,,0,
V28-342 (P),-14.1,120.5,,2730,0.9,4,4.368932039,Prell (1985),TTB,37622,0.5,0.2,,2.9,,0,,2.9,4.8,8.4,1.2,0.2,4.8,,0,0,0,16.9,0,0,3.1,0,0.5,0.5,,0,1.7,,,,,,20.5,,,,
V28-342 (W),-14.1,120.5,,2730,0.89,3,4.32038835,Wells and Wells (1994),TTB,37622,10,4,,5,,1,0,22,3,0,1,0,2,0,0,0,6,42,0,0,3,0,3,1,,0,1,,25,19,0,0,32,,,,0
V28-345,-17.67,117.95,,1904,0.9,4,4.368932039,Prell (1985),TTB,37622,0.3,0.3,,3.8,,0,,1.9,1.9,9.8,4.4,0,2.9,,0.3,0,0,12.1,0,0,3.2,2.5,2.9,0.6,,0,1.9,,,,,,21.9,,,,
