Event,Latitude,Longitude,Elevation [m],Depth [m],Sample comment,O. universa [#],G. conglobatus [#],G. ruber p [#],G. ruber w [#],G. ruber [#] (sum of G. ruber pink and G. r...),G. tenellus [#],G. sacculifer wo sac [#],G. sacculifer sac [#],G. sacculifer [#] (sum of G. sacculifer no sac a...),S. dehiscens [#],G. adamsi [#],G. aequilateralis [#],G. calida [#],G. bulloides [#],G. falconensis [#],G. digitata [#],G. rubescens [#],G. humilis [#],G. quinqueloba [#],N. pachyderma s [#],N. pachyderma d [#],G. dutertrei [#],G. conglomerata [#],G. hexagona [#],P. obliquiloculata [#],G. inflata [#],G. truncatulinoides s [#],G. truncatulinoides d [#],G. crassaformis [#],G. pachyderma [#],G. hirsuta [#],G. scitula [#],G. anfracta [#],G. menardii [#],G. tumida [#],G. tumida flexuosa [#],"G. menardii [#] (sum of G. menardii, G. tumida...)",C. nitida [#],G. glutinata [#],G. iota [#],G. bradyi [#],G. pumilio [#],H. pelagica [#],H. digitata [#],Foram plankt oth [#]
RC09-212,44.2,-14.9,-5083,0,,87,0,0,5,5,0,1,0,1,0,0,4,0,17,3,9,0,0,3,38,134,0,0,0,0,66,2,1,3,51,4,4,0,0,0,0,0,0,29,0,0,0,0,0,11
RC09-222,45.1,-10.57,-4903,0,,59,0,0,2,2,0,0,0,0,0,0,7,1,25,2,4,0,0,0,4,89,0,0,0,0,62,0,0,0,43,1,2,0,0,0,0,0,0,25,0,0,0,0,0,10
RC09-225,54.983,-15.4,-2334,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,61,3,0,0,0,21,2,84,1,0,0,0,21,0,1,0,46,0,7,0,0,0,0,0,0,67,0,0,0,0,0,9
RC09-61,10.183,-77.22,-3191,0,,9,1,32,83,115,1,48,6,54,0,0,18,2,2,0,0,4,0,0,0,2,24,1,0,5,0,0,4,0,0,0,0,0,1,15,0,16,0,27,0,0,0,0,0,1
RC09-61,10.183,-77.22,-3191,0,x,7,9,37,182,219,1,68,48,116,4,0,21,6,0,0,3,2,0,0,0,0,54,0,0,7,0,0,2,3,0,0,1,0,33,5,0,38,0,23,0,0,0,0,0,8
RC10-22,21.3,-69.67,-3832,0,,6,6,84,221,305,17,23,10,33,0,0,22,7,0,2,0,11,2,0,0,0,2,0,0,0,2,1,11,2,0,0,2,0,0,0,0,0,0,72,0,0,0,0,0,16
RC10-256,13.483,-81.63,-1146,0,,3,4,0,0,179,2,0,0,93,0,0,17,3,0,2,0,2,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,22,6,0,28,0,32,0,0,0,0,0,1
RC10-49,16.567,-79.53,-1238,0,,2,1,39,95,134,7,58,11,69,0,0,17,2,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,35,2,0,37,3,38,0,0,0,0,0,4
RC10-49,16.567,-79.53,-1238,0,x,8,1,57,114,171,2,59,23,82,0,0,8,6,0,0,2,12,0,0,0,0,10,0,0,1,0,0,0,1,0,0,0,0,21,13,0,34,1,33,0,0,0,0,0,1
RC10-50,11.767,-81.1,-2072,1,,2,12,8,143,151,0,18,4,22,0,0,27,0,1,2,1,6,0,0,0,0,13,0,0,0,7,0,13,3,1,1,1,0,0,3,0,3,0,47,0,0,0,0,0,1
RC11-10,4.967,-45.97,-3834,0,,2,2,39,187,226,0,89,13,102,1,0,13,4,2,0,1,0,0,0,0,1,1,0,0,6,0,0,1,0,1,0,0,0,13,4,0,17,0,14,0,0,0,0,0,0
RC11-103,-43.03,57.35,-4673,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,1,27,34,0,0,0,0,228,3,0,2,11,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0
RC11-106,-34.33,54.217,-4212,0,,4,0,0,3,3,0,0,0,0,0,0,3,1,11,0,0,0,0,3,4,41,0,0,0,0,260,4,0,0,19,6,0,0,0,0,0,0,0,9,0,0,0,0,0,1
RC11-11,2.217,-45.4,-3759,0,,6,2,8,167,175,1,53,19,72,1,0,20,5,0,2,0,3,0,0,0,0,6,0,0,10,0,0,0,0,0,0,1,0,40,9,0,49,1,18,0,0,0,0,0,5
RC11-111,-22.4,57.633,-4365,0,,3,14,0,209,209,0,26,10,36,0,0,18,14,2,0,10,1,0,0,0,1,17,0,0,3,44,1,13,0,0,0,0,0,23,5,0,28,1,12,0,0,0,0,0,6
