corename,latitude,longitude,depth, Orbulina universa, Globigerinoides conglobatus, Globigerinoides ruber (total of pink & white), Globigerinoides tenellus, Globigerinoides sacculifer (total), Sphaeroidinella dehiscens, Globigerinella aequilateralis, Globigerina calida , Globigerina bulloides, Globigerina falconensis, Globigerina digitata, Globigerina rubescens, Globigerina quinquiloba," Neogloboquadrina pachyderma, left coiling"," Neogloboquadrina pachyderma, right coiling", Neogloboquadrina dutertrei (includes p/d intergrade), Globoquadrina conglomerata, Globoquadrina hexagona, Pulleniatina obliquiloculata, Globorotalia inflata," Globorotalia truncatulinoides, left coiling"," Globorotalia truncatulinoides, right coiling", Globorotalia crassaformis, Globorotalia hirsuta, Globorotalia scitula, Globigerinita glutinata
V 16 36,-19.368,-11.435,42,2,0.4,24.1,6.3,8.1,0,1,1.6,1.8,16.2,0.4,1.4,0,0,0.8,1,0,0,0,17.2,4,3.6,2.6,0.2,2.2,4.9
V 18110,-53.917,-44.7,30,0,0,0,0,0,0,0,0,1,0,0,0,0,97.3,0,0.3,0,0,0,1,0,0,0,0,0.3,0
V 19240,-30.583,13.283,60,1.3,0,2.1,0,0,0,2.4,0.3,12.2,5.8,0,0.3,2.1,2.7,40.1,15.4,0,0,0,9.8,2.7,0,0,0.8,0,2.1
V 19248,-24.567,4.833,27,2.7,0,6.4,3.2,0.2,0,2.2,1.7,10.8,3.9,0,1.2,2,0.5,6.4,21.9,0,0,0,20,4.7,1,0,0.7,2,8.4
V 19281,-3.317,4.65,50,3.1,0,23.3,0,7.8,0,1.6,0.6,13,0.9,0,0,0,0.6,5.9,14.6,0,0,0.9,17.4,0,0,1.9,0,2.2,6.2
V 19283,-1.283,5.533,79,2.4,0,29.3,0.2,5.6,0.4,1.1,1.3,4.1,0.4,0,0.4,0.2,0,5.6,26.7,0,0,0.9,11.3,0,0.2,5.6,0,1.1,3
V 20212,-28.217,-10.033,20,2.6,0.6,21.6,3.7,1.2,0,1.7,1.4,2,12.7,0.9,2.3,0,0.9,1.7,2,0,0,0,17,8.1,1.2,0.3,2.6,4.9,10.7
V 20227,-4.233,-34.633,80,0,0,33.2,0,18.7,0,3.5,1.2,0,0,0.6,0.3,0,0,0,12,0,0,0,3.8,0.3,10.2,2.3,0,0,14
V 20228,-2.483,-36.417,61,0.2,0,52.4,1.1,20.7,0,2.9,0.4,0.2,1.3,0,0.7,0,0,0.7,10.4,0,0,0.4,0,0,0.2,1.5,0,0.2,6.6
V 22 38,-9.55,-34.25,40,0.7,0.7,74.4,0.9,11.5,0,0.7,0.7,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0,1.8,0.9,0,0,7
