corename,latitude,longitude,depth, Orbulina universa, Globigerinoides conglobatus, Globigerinoides ruber (total of pink & white), Globigerinoides tenellus, Globigerinoides sacculifer (total), Sphaeroidinella dehiscens, Globigerinella aequilateralis, Globigerina calida , Globigerina bulloides, Globigerina falconensis, Globigerina digitata, Globigerina rubescens, Globigerina quinquiloba," Neogloboquadrina pachyderma, left coiling"," Neogloboquadrina pachyderma, right coiling", Neogloboquadrina dutertrei (includes p/d intergrade), Globoquadrina conglomerata, Globoquadrina hexagona, Pulleniatina obliquiloculata, Globorotalia inflata," Globorotalia truncatulinoides, left coiling"," Globorotalia truncatulinoides, right coiling", Globorotalia crassaformis, Globorotalia hirsuta, Globorotalia scitula, Globigerinita glutinata
RC9-162,19.083,60.417,50,3.6,0,14.5,0.7,8.7,0,2.5,1.8,24.6,4,0,2.5,0,0,0,15.2,0,0.4,4,0,0,0,0,0,0,17.4
RC17-113,15.033,66.1,30,4.5,0,29.3,0.3,9.4,0,0,2.1,4.2,3.5,0.7,1,0,0,0,7.7,0.7,2.1,15.7,0,0,0,0,0,0.3,18.5
RC12-341,13.05,89.583,60,2,2.2,17.4,11.5,2.8,0,3.3,3.3,3,1.3,0.2,3,0,0,0,12.6,1.7,3.7,4.1,0,0,0,0.4,0,0.2,27.3
RC12-328,-3.95,60.6,30,0.9,0.6,31.5,1.5,5.2,0.3,7.3,2.8,6.1,1.2,0.9,1.2,0,0,0,16.8,0.6,1.5,3.4,0,0,0,3.7,0,1.8,12.5
V29-15,11.95,88.733,70,0.8,2,17.6,5,7.8,1.1,2.8,2,7.8,0.8,0.6,0.3,0,0,0,16.5,7,0.8,3.9,0,0,0,0,0,0,23.2
MD77-191,7.5,76.717,672,0,0,8.8,3.5,5.3,0,1.2,2.4,31.8,2.9,0,4.7,0,0,0,18.8,0.6,4.7,2.9,0,0,0,0.6,0,0,11.8
RC14-39,5.85,90.517,70,0.5,1.6,17.5,0.5,6.8,0,3.7,1.2,11.2,1.4,0.9,1.6,0,0,0,22.2,3,2.6,11,0,0,0,0.5,0,0.2,13.6
RC12-340,12.7,90.017,70,3.4,2,22.9,7.6,3.2,0.2,3.4,5.2,2.2,0,0,2,0,0,0,16.3,1,2,7.4,0,0,0,0.7,0,0,20.4
RC12-343,15.167,90.567,60,0.6,2.4,20.9,7.6,6.7,0,2.1,1.5,3.3,0.9,0,0.9,0,0,0,9.7,0.6,0.9,6.7,0,0,0,0,0,0,35.2
MD76-131,15.533,72.567,190,1.4,0.9,30.9,4.1,12.7,0,4.5,0.9,12.3,1.8,0,1.8,0,0,0,5.5,0.5,1.4,4.5,0,0,0,0,0,0.5,16.4
RC12-344,12.767,96.067,290,0.4,0.7,44.9,3.9,4.6,0,6,3.5,6.3,2.1,0,3.9,0,0,0.4,8.8,2.1,2.1,6.3,0,0,0,0,0,0,4.2
V19-202,-6.683,41.183,30,2.6,2.2,22.3,2.2,5.5,0.4,4.7,2.6,9.9,1.5,0.4,3.6,0,0,3.6,9.9,0.4,0.7,2.6,0,0,0.4,0,0,0.7,24.1
V19-204,-10.233,43.817,30,1.1,2.8,31.8,0.7,3.2,0,1.4,1.8,7.4,1.1,0,0,0,0,3.9,14.5,0,0.7,4.9,0.4,0,1.1,1.1,0,0,22.3
V19-201,-5.333,40.433,70,0.7,0.7,27.3,0.7,3.7,0,3,2.2,5.9,1.5,0.7,5.5,0,0,3.3,17,0,0.7,4.1,0.4,0,0,2.2,0,0.7,19.6
V14-101B,8.65,58.567,70,0.4,0,16.6,1.4,2.5,0,2.1,0,9.9,2.5,0,1.1,0,0,3.2,14.8,0,1.1,4.9,0,0,0,2.8,0,0.4,36.4
V29-30,3.083,76.25,80,1.7,0,14.2,1.7,4.2,0,2.5,2.1,7.5,0.4,0.4,0.4,0,0,2.9,23.8,1.3,3.8,16.7,0,0,0,0.4,0,0.4,15.5
V29-48,-6.267,63.433,30,0.4,3.9,20.6,0.9,9.4,0,2.6,1.7,5.2,0,0.9,0.4,0,0,3.9,26.6,1.3,3,6,0,0,0.9,3,0,1.7,7.7
RC12-339,9.133,90.033,80,0.8,0.4,14.6,0.4,5,0,2.1,1.3,15.8,1.3,0.8,4.2,0,0,0,27.9,0.8,1.3,5,0,0,0,0,0,0,18.3
RC14-29,-10.917,88.317,20,3,1.9,27.5,4.2,14.3,0,1.5,0.8,3.4,0,0,3.4,0,0,1.1,13.6,1.1,0.8,3.4,1.1,0,0,1.1,0,0,17.7
RC14-37,1.467,90.167,40,0,0.7,28.8,3.7,7,0,4.1,3.7,7.4,0.7,0,1.5,0,0,0,10,3.7,1.8,7.4,0,0,0,0,0,0.4,19.2
RC17-98,-13.217,65.617,53,1.9,2.6,29.2,1.1,8.2,0,4.1,2.6,3.7,1.1,0,2.6,0,0,0.7,11.2,0.4,0.4,1.9,0,0,0.4,0,0.7,1.5,25.5
V14-102,10.25,57.183,40,0.4,0.7,7.8,0.7,2.1,0,3.2,0,9.9,2.1,0.7,1.4,0,0.4,2.5,34,0,2.5,9.6,0.4,0,0,1.8,0,2.1,17.7
V19-178,8.117,73.25,40,0.4,0.4,20.7,5.6,4.8,0,1.1,3,11.1,0.4,0,3.3,0,0,0,12.2,2.2,3.7,1.9,0,0,0,1.1,0,1.9,26.3
V34-91,20.933,64.033,70,1.6,0.6,33,1,7,0,3.5,2.5,16.8,4.4,0.3,0.6,0,0.3,0,13,0,0.3,4.1,0,0,1.3,0,0,0,9.5
V34-92,21.15,65.117,85,9.3,0,36.2,0.8,8.2,0,7,3.5,3.1,20.6,0.8,0,0,0,0,2.7,0,0,1.9,0,0,0,0,0,0,5.8
V34-111,17.617,63.883,60,1.9,3.1,36.9,1.9,9.1,0.3,3.8,3.4,5,4.4,0.3,0.3,0,0,0,9.1,0,0,4.1,0,0,2.2,0,0,0,14.4
V28-342,-14.1,120.5,90,0.5,0.2,27,2.9,3.9,0,2.9,4.8,8.4,1.2,0.2,4.8,0,0,0,16.9,0,0,3.1,0,0,0.5,0.5,0,1.7,20.5
V28-345,-17.667,117.95,90,0.3,0.3,26.7,3.8,2.5,0,1.9,1.9,9.8,4.4,0,2.9,0.3,0,0,12.1,0,0,3.2,2.5,0,2.9,0.6,0,1.9,21.9
E45-29,-44.883,106.517,39,0,0,0,0,0,0,0,0,45.7,0.5,0,0,1.4,27.6,4.5,0,0,0,0,16.7,2.3,0,0,0,0,1.4
RC8-94,-27.283,-102.083,16,1.2,15.7,34,6.8,1,0,0.9,2,3.2,4.7,0.4,0.8,0,0,0,0,0.2,0.6,0,1,6.2,2.3,3.2,0,0,15.8
RC9-124,-28.75,172.6,40,0.5,3.3,10,1,1.4,0,3.3,0.9,11.9,20.8,0.2,0,0.5,0,11.8,1.3,0,0,0.1,16.8,2.9,0.3,7.4,1.1,0.1,4.5
RC9-126,-33.233,168.733,30,1.4,0,5.5,0.2,0.2,0,1.8,0.2,19.2,10.9,0,0.1,0.5,0.2,21.2,3.7,0,0,0.2,25.1,3.3,0.1,2.9,0,0,3.1
RC10-97,0.917,-134.317,44,0,0,1.7,0,1.2,0,2.4,0,3.3,0,0.7,0,0,0,17.4,32.7,3,0.2,31,0.9,0.2,0,1.9,0,0,3.5
RC10-114,-11.183,-162.917,20,0.2,6.3,40.5,4.8,5.5,0.1,3.2,1.2,0.8,0,0.2,1.8,0,0,0,0.2,0,0,0.9,0,0,0,0,0,0,34.2
RC 10161,33.083,158,9,2.7,0,1.9,0,0,0,0,0.2,11.8,0.5,0,0,0.2,0.2,14.7,19.3,0,0,0,42.8,0.2,1.9,2.4,0,0.5,0.5
RC11-210,1.817,-140.05,40,0.5,0,4.1,0.5,2.6,0,1.5,0.5,4.6,0.5,0.5,1.5,0,0,7.7,28.6,2,0.5,24,0.5,0,0,19.4,0,0,0.5
RC11-213,-6.133,-140.85,15,0.2,2.8,15.7,5.5,7.2,0,4.4,0.6,9.1,0.3,0.3,1.6,0,0,0.5,6.6,8,0.5,10.8,0,0,0,0.9,0,0,25.1
RC11-220,-14.817,-139.967,30,0.2,1.5,45.8,7.6,6.1,0.1,1.9,1.7,1.8,0.2,0,2.1,0,0,0,0.1,0.4,0.7,0.2,0,0,0,0.1,0.1,0,29.5
RC11-230,-8.8,-110.8,45,1,2.7,14.7,0.2,6.7,0,1.8,0.5,8,0,0.2,0.5,0.2,0,9.3,15,3.5,3.4,4.8,0.3,0,0,0.2,0,0,27.2
RC12-107,-26,169.2,40,1.7,6.9,20.6,0.8,3,0,3.4,1.8,8.3,14.6,0.2,0,0.1,0,3.2,1.9,0,0,0.2,16,1.1,0.6,6.1,0.2,0.3,9
RC 12361,15.1,124.133,20,0.6,12,42.4,2.5,16.9,1.9,3.3,1.9,5.5,0.5,0.5,0.6,0,0,0,2.5,0,0,1.1,0,0,0.6,0.6,0,0,6.3
RC13-17,19.083,-170.067,30,1.3,21.2,18.6,0,4.5,25.6,0.6,0.6,3.8,0,1.9,0,0,0,0.6,1.9,0.6,0.6,1.9,3.8,3.2,3.2,5.1,0,0,0.6
RC13-81,-19.017,-124.233,10,0.2,11.3,40.8,2.3,5.1,0.1,2.2,1,2,0,0.2,0.2,0,0,0,0.2,1.9,0.4,0.8,0,0.1,0.1,0.8,0,0,30.3
RC13-113,-1.65,-103.633,50,0.6,0,2.3,0,0.8,0,0.8,0,5.8,0.2,0,0.2,0,0,37.9,35.8,0.4,0.4,1.7,8.8,0,0,1.7,0,0,2.8
V18-312,-2.85,-126.2,25,0,0,9.5,0,0.5,0,0.5,0,5.5,0,0,1,0,0,18.9,37.8,1.5,0,14.9,0,0,0,1.5,0,0,8.5
V18-318,3.167,-118.467,15,0,0.5,2.9,0,4.3,0,1.4,0,1,0,0.5,0,0,0,5.3,73.7,1,0,7.2,0,0,0,0.5,0,0,1.9
V19-29,-3.583,-83.933,120,0.1,0,0.2,0,0.3,0,0.1,0,27.6,0,0.1,0.1,4.4,5.6,22.7,20.2,0,0,0,17.8,0,0,0.1,0,0,0.8
V19-53,-17.017,-113.517,45,0,17.4,0.7,0,3,1.6,0.7,0.3,1,0,0,0,0,0,0.3,7.6,21.4,0,33.2,0,0,0.3,2.6,0,0,9.9
V19-55,-17,-114.183,23,0.1,3.9,26.6,2.8,6.1,0.1,2.1,0.7,4.3,0,0.1,0.8,0,0,0,1.6,5.3,0.2,5.7,0.3,0,0,0.2,0,0,39.4
V19-64,-16.933,-121.2,15,0.1,6.7,34.2,3.3,6,0.2,1.8,0.8,2.7,0.1,0.1,0.5,0,0,0,0.2,2.3,0.5,1.6,0,0,0,0.2,0,0,38.6
V19-65,-16.65,-124.383,15,0.1,6.8,36.4,0.8,5.1,0.5,2,1.1,1.3,0,0.1,0.3,0,0,0,0.6,3.5,0.8,2.5,0.1,0,0.1,0.4,0,0,37.4
V19-96,0.867,172,15,0,3.2,10.2,0.4,10.6,0,4.2,0,11.6,0,0,0,0,0,0.7,14.4,0.7,0,30.6,0,0,0,1.4,0,0,12
V  20119,47.95,168.783,20,0,0,0.2,0,0,0,0,0,3.3,0,0,0,6.1,88.8,1.6,0,0,0,0,0,0,0,0,0,0,0
V21-30,-1.217,-89.683,250,0.5,0.1,2.7,0.1,0.3,0,0.1,0,43.2,0,0,0.3,3.3,0.3,17.6,15.2,0,0,0,14.3,0,0,0.1,0,0.1,2
V21-33,-3.8,-92.083,45,0.3,0,0.3,0,0.2,0,0.2,0,12.8,0,0,0,0,0,11.2,47.6,0,0,0.7,20.3,0,0,0.2,0,0,6.2
V21-146,37.683,163.033,70,0.2,0,0.5,0,0,0,0,0,6.7,0,0,0,0.5,4,17.4,1.5,0,0,0.2,55.6,0,2.5,0,0,0,10.9
V28-201,2.767,-173.933,20,0,3.2,23.2,2,7.2,0.1,3.5,1.2,15.6,0,0,5.7,0,0,0,0.4,1,0,9.1,0,0,0,0.1,0,0,27.5
V28-203,0.95,-179.417,40,0.2,1.2,29.1,1.4,7.9,0,4.9,0.5,9.6,0.1,0.1,1.1,0,0,0,5,2.4,0,14.8,0,0,0,1.2,0,0.1,20.2
V  28230,-5.5,166.75,20,0,1.7,39.3,1.1,7.9,0,2.2,1.8,7.9,0.1,0.1,1.6,0,0,0,6.1,0.1,0.1,2.9,0,0,0.2,0.4,0,0.4,26
V  28238,1.017,160.483,35,0,1.9,25.3,1.3,7.1,0,6.7,2.2,12.5,0.3,0,1.9,0,0,0,6.7,1.3,0,11.5,0,0,0,1,0,0,20.2
V  28239,3.25,159.183,30,0,2.4,20.2,0.7,4.8,0,7.9,1.7,10.3,0,0,0.7,0,0,0,10.3,1.7,0,17.8,0,0,0.3,1.7,0,0.3,19.2
V  28243,11.067,138.533,20,0.1,3.3,59.9,2.8,10.9,0.1,2.9,0.2,6.1,0.1,0.2,1,0,0,0.1,2.6,0,0.6,0.5,0,0,0.1,0,0,0,8.6
V  28294,28.433,139.967,4,1.3,0.2,18.1,1.3,4.4,0,2,0.3,12.3,13.8,0.3,0.2,0.1,0.2,12,4.1,0,0,1.2,8.5,0.2,6.9,3.4,0,0.9,8.3
V  28304,28.533,134.133,45,0.4,3.5,15.6,0.3,6.9,0,2.4,1.4,14,5.4,0.9,0.1,0.1,0.2,13.6,10.3,0,0.1,1.9,9.5,0,4.3,1.2,0.1,0.3,7.5
V28-310,25.417,125.633,40,0.2,1.8,17,7.4,1,0,0.3,7.2,8.1,0.9,0.7,4.6,0.1,0,0.2,5,0,0,5,0.1,0,0.7,0.3,0,0,39
V 32126,35.317,177.9,25,1.4,0,1.7,0,0,0,0.6,0,27.7,0,0.3,0,1.4,1.2,31.2,2.6,0,0,0,27.2,0,2.1,0,0,0.2,2.6
V32-128,36.467,177.167,32,1.2,0,0.5,0,0,0,0,0,17.6,0,0.1,0,1.6,7.5,43.3,0.7,0,0,0,24.2,0,1.9,0,0,0,1.3
V  32139,31.567,151.1,1,1.5,0.8,5.3,0,0.8,0,0.8,0,7.6,1.3,0.3,0,0,0,10.1,3.8,0,0,0.8,59.7,1.3,3.8,1.5,0.3,0.8,0
A179-15,24.8,-75.933,162,0.9,0.6,52.9,10.9,4.7,0,3.5,0.3,0.5,1.5,0,1.7,0,0,0,2,0,0,0,2.9,0.2,3.2,0.8,0,1.1,12.7
EN6610,6.65,-21.9,30.5,0.5,0,36,1.4,17.3,0,2.2,1.4,3.6,1.4,1.1,0.8,0,0,4.9,10.7,0,0.3,0.3,2.7,0,2.2,3,0,0.3,9.9
M12392,25.167,-16.85,172.5,0.5,0,1.7,0.5,0.2,0,0.4,0,31.4,0,0.1,0,3.7,0,38.6,10.9,0.1,0,0,6.7,0,0.6,0,0,1.1,3.7
RC 13184,3.867,-43.3,55,0.3,0.3,50.8,0,21.6,0,0.5,0.8,0.3,0,0,0,0,0,0,7,0,0,0,0.3,0.5,9.7,1.6,0,0,6.2
RC 13189,1.867,-30,67.5,1.5,0.3,25.3,0.3,8,0,1.5,0.9,2.4,0.3,0.9,0.9,0,0,4.2,21.4,0,0,0,3.6,0,8.3,7.4,0,0,12.8
RC2401,0.567,-13.35,72,0.8,0,11.2,0,6.3,0,2.1,0.8,3.7,0.8,0,0.5,0.5,0.3,8.6,28.7,0,0,0.3,22.5,0,4.2,2.9,0,0.3,5.7
RC2407,-1.35,-11.917,120,0.5,0,5.1,0,1.4,0,0,0.5,8.9,0.3,0,0,0,0,8.6,28.9,0,0,0.3,31.4,0,4.6,3,0,0,6.5
RC 24 16,-5.033,-10.2,75,5.4,0.3,11.8,0,11,0,3.1,0.8,7.7,3.6,0.3,0,0,0.5,3.1,22.8,0,0,0.3,20.5,0,1.3,4.3,0,0,3.6
RC2427,-5.417,-0.367,72,4.3,0,27.1,0.3,15.2,0,1.8,0.9,2.7,0,0.3,0,0,0.3,4,21.9,0,0,1.5,12.2,0,0,3,0,0.3,4.3
RC  9 49,11.183,-58.6,85,0,3.4,44.4,0.7,12.3,0,0,2,5.8,0.7,0,3.4,2,2.4,0,5.5,0,0,0,0,0,1.7,1,0,2.7,11.9
V 15168,0.2,-39.9,142,0,2.2,21.7,0.3,23.9,0,0,1,1.3,0,0,1,0,0,0,27.1,0,0,0,1,0,13.4,3.5,0,0.3,3.5
V 22174,-10.067,-12.817,57,0.8,1.7,26.8,1.7,9.5,0,4.2,1.1,3.6,4.7,0.6,6.1,0,0,0.6,14.2,0,0,0.3,7.8,0.3,4.7,2,0,1.7,7.5
V22177,-7.75,-14.617,63,1.4,0,15.7,0,11.6,0,1.4,2.4,6.2,2.4,0,3,0,0,2.7,14.3,0,0,0,14.6,0,4.9,5.9,0,1.1,12.4
V 22182,-0.55,-17.267,72,0.6,0,12.9,0.3,4.1,0,0,0.9,6.5,0.6,0,0,0,1.2,7.4,36.2,0,0,0,9.4,0,5.6,4.7,0,0,9.7
V22222,28.933,-43.65,58,3.1,0.9,41.2,5.7,0.7,0.2,5.9,5,2,5.3,0,1.8,0,0,0.4,0.7,0,0,0,7.9,0,0,0,0,3.9,9.9
V2238,-9.55,-34.25,37.5,0.6,1.4,72.6,0,13.7,0,0.9,1.7,0.9,0,0,0,0,0,0,1.7,0,0,0,0,0,3.1,0.3,0,0.3,2.9
V23110,17.633,-45.867,26,1.1,2.2,49.2,1.9,20.1,0,2.2,2.7,0,0.8,0,1.4,0,0,0,1.4,0,0,0.3,0.3,0,2.5,0.5,0,0,13.5
V 2559,1.367,-33.483,67.5,0.3,0,35.4,0.3,13.4,0,1.7,0.8,1.1,0.8,0.3,0.3,0,0.8,1.1,20.1,0,0,0,0.6,0.3,8.1,3.3,0,0,11.4
V2560,3.283,-34.833,47.5,0,0.6,36.1,0.3,21.1,0,1.8,0.6,1.8,0,0.3,0.9,0,0,1.2,14.4,0,0,0.3,0.3,0,7.3,3.5,0,0.3,9.4
V2575,8.583,-53.167,120,0.4,1.1,52.1,0.2,17.5,0,0.9,2.8,6.1,0.7,0.4,0.4,0.4,1.3,0.2,7,0,0,0,0,0,2.4,0.7,0,0,5.3
V29144,-0.2,6.05,85,0.5,0,23.7,1.3,2.1,0,1.1,0.3,5,0,0,1.1,0,0.3,5.8,23.9,0,0,0,19.7,0,0.8,5.3,0,0.8,8.4
V3036,5.35,-27.317,40,0,3.1,33.8,0.3,35.1,0,3.7,0.6,2.2,0,0,0.3,0.3,0.3,1.5,11.7,0,0,0.9,0.3,0,1.5,1.5,0,0,2.8
V3036,5.35,-27.317,40,0,2.2,38.5,0,34.4,0,0.6,1.7,1.9,0,0.4,0.2,0,0,1.5,11,0,0,0,3,0,3.2,0.9,0,0,0.2
V 30 40,-0.2,-23.15,66,0,0.2,10.6,0,9.4,0,1.7,2.2,4.1,0.2,0,0.2,1,1,27.3,11.8,0,0,0,8.2,0.2,6.5,6.7,0.2,0.7,7.9
V30-49,18.433,-21.083,84,2,0,8.1,0.6,2,0,0.6,1.1,23.2,0.3,0,0.6,0.6,0,7.3,36.1,0,0,0.3,8.1,0,0,5,0,0.3,3.9
V3051,19.867,-19.917,54,1.4,0,3.4,0.3,0.7,0,0.7,1.4,25.7,1.4,0,0,0,0.3,21.2,26.4,0,0,0,12.7,0,0,0.3,0,0.7,3.4
V3208,34.783,-32.417,76,1.7,0,13.2,0.7,0.5,0,1.2,3,8.2,8.5,0,0.2,0,0,3.7,9.2,0,0,0,24.4,0.5,1.7,1,0.2,13.7,8.2
V 25 56,-3.55,-35.233,80,1.1,0,36.8,0,18.9,0,3.2,0,0,0,0,2.1,0,0,0,8.4,0,0,0,0,0,5.3,3.2,0,1.1,20
V3041,0.217,-23.067,44.5,0,0.3,8,0,4.3,0,0,0.6,8.3,0.3,0.3,3.4,0.3,0,11.8,30.2,0,0,0,9.2,0,7.2,2,0,0.9,12.9
RC10-62,3.333,-101.717,51,0.5,0,8.6,0.5,3.7,0,1.1,1.1,5.3,0.5,0,1.1,0,0,3.2,56.1,0,0,4.3,2.1,0,0,3.2,0,0,8.6
RC13-110,0.1,-95.65,54,0,0,3.7,0,0.3,0,0.3,0.3,9.6,0.3,0,0,0.6,0,0.6,69.8,0,0,0,6.2,0,0,4.3,0,1.9,2.2
RC13-115,-1.633,-104.833,61,0.7,0.3,5.1,0,1.4,0,1.4,0.3,8.8,0.3,0,0,0,0,4.7,59.7,0.7,0.3,3.4,7.5,0,0,2.4,0,0,3.1
V19-29,-3.583,-83.933,120,0.6,0,0.2,0,0.3,0,0.8,0.8,24.2,0,0.1,0.1,3.2,2.5,9.4,37.3,0,0,0.1,18.3,0,0,0.4,0,0,1.9
VNTR01-08P,C      0.033,-110.483,41,1.2,0,3.2,0.2,2.1,0,0.7,0,5.8,0.5,0,0,0,0,10.9,55.7,0.5,0,1.6,4.8,0,1.4,9.7,0,0.2,1.6
Y69-106P,2.983,-86.55,30,1.2,0,7.5,1.2,0.4,0,0.4,0.8,13.8,1.6,0.4,1.2,1.2,0,5.5,44.5,0,0.8,0.4,2,0,0,0,0,2,15.4
Y69-71P,0.1,-86.483,180,0.3,0,4.5,0,0.6,0,0,0.6,21.2,0,0.3,0.3,0,0,0,53.4,0,0,0.6,13.5,0,0,0,0,0.6,3.9
Y71-3-2P,7.167,-85.15,20,0.8,0,13.4,0,0.8,0,2.9,0,14.7,0,0,0,0,0,0,48.3,0,0.8,0.8,0,0,0,0.4,0,0,16.8
Y71-9-101P,-6.383,-106.933,63,0.4,0,8.7,0,4.9,0,1.1,1.9,5.7,0,0.4,0,0,0,0,58.1,0,0,2.3,3.8,0,0,1.1,0,0,11.7
Y71-6-12P,-16.44,-77.56,49,0.6,0,2.1,0,0,0,0.2,0,13.5,0.2,0.2,0,2.3,17.6,7.4,20.1,0,1.5,0.2,30.2,0,0,0,0,1.1,3.2
