Event,Latitude,Longitude,Elevation [m],Depth [m],SST (1-12) [°C],O. universa [%],G. conglobatus [%],G. ruber [%],G. tenellus [%],G. sacculifer [%],S. dehiscens [%],G. aequilateralis [%],G. calida [%],G. bulloides [%],G. falconensis [%],G. digitata [%],G. rubescens [%],G. quinqueloba [%],N. pachyderma s [%],N. pachyderma d [%],N. dutertrei [%],G. conglomerata [%],G. hexagona [%],P. obliquiloculata [%],G. inflata [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. crassaformis [%],G. hirsuta [%],G. scitula [%],G. glutinata [%]
AMPH-011P,-7.467,-113.533,-3728,0,25.085,0.47,0.47,4.25,0.47,9.29,1.89,1.42,2.83,1.42,0.47,0,0,0,0,0,38.58,14.33,14.8,0,0,0,0,2.36,0,0,6.93
AMPH-012G,-7.6,-110.967,-3480,0.04,24.743,1.18,0,14.12,0,15.29,0,5.88,3.53,0,0,0,0,0,0,0,25.88,4.71,0,5.88,0,0,0,0,0,0,23.53
AMPH-013G,-7.533,-110.117,-3395,0.03,24.743,0,1.15,10.34,0,19.54,0,5.75,3.45,0,0,0,0,0,0,0,28.74,2.3,0,6.9,0,0,0,0,0,0,21.84
AMPH-016G,-7.85,-108.917,-3240,0.03,24.648,0,0,10.13,0,18.99,0,6.33,3.8,0,0,0,0,0,0,0,29.11,3.8,1.27,7.59,0,0,0,0,0,0,18.99
AMPH-017G,-7.983,-108.617,-3200,0.03,24.648,1.16,0,12.79,0,15.12,0,3.49,3.49,0,0,0,0,0,0,0,25.58,2.33,2.33,5.81,0,0,0,0,0,0,27.91
AMPH-019G,-8.333,-107.783,-3090,0.03,24.533,1.16,0,8.14,0,17.44,0,2.33,3.49,0,0,0,0,0,0,0,25.58,4.65,2.33,13.95,0,0,0,0,0,0,20.93
AMPH-021G,-8.483,-107.433,-3120,0.03,24.592,2.27,0,15.91,0,17.05,0,6.82,3.41,0,0,0,0,0,0,0,19.32,3.41,2.27,9.09,0,0,0,0,0,0,20.45
AMPH-022G,-8.567,-107.2,-3240,0.05,24.592,2.27,2.27,7.95,0,21.59,0,2.27,3.41,0,0,0,0,0,0,0,21.59,4.55,2.27,12.5,0,0,0,0,0,0,19.32
AMPH-023G,-8.7,-106.9,-3291,0.03,24.548,1.2,0,7.23,0,16.87,1.2,4.82,3.61,0,0,0,0,0,0,0,25.3,6.02,1.2,8.43,0,0,0,0,0,0,24.1
AMPH-024G,-8.867,-106.417,-3370,0.03,24.548,0,0,8.24,0,23.53,0,2.35,7.06,0,0,0,0,0,0,0,20,7.06,2.35,9.41,0,0,0,0,0,0,20
AMPH-107G,-3.867,-155.883,-4915,0,27.281,0,0,0,0,0,2.04,2.04,0,0,0,0,0,0,0,0,10.2,0,0,85.71,0,0,0,0,0,0,0
AMPH-130G,-5.967,-142.717,-4450,0,27.114,0,4.17,0,0,0,4.17,8.33,4.17,0,0,0,0,0,0,0,8.33,6.25,0,58.33,0,0,0,0,0,0,6.25
AMPH-131G,-5.2,-142.333,-4530,0,27.114,0,1.96,0,0,0,1.96,7.84,3.92,0,0,0,0,0,0,0,17.65,7.84,0,54.9,0,0,0,0,0,0,3.92
AMPH-132G,-4.383,-141.9,-4430,0,26.758,0,1.85,0,0,0,3.7,7.41,3.7,0,0,0,0,0,0,0,18.52,14.81,0,50,0,0,0,0,0,0,0
AMPH-133G,-3.533,-141.433,-4149,0,26.539,0,0,0,0,0,0,5.08,0,0,0,0,0,0,0,0,32.2,6.78,0,52.54,0,0,0,0,0,0,3.39
AMPH-134G,-2.7,-140.883,-4255,0,26.239,0,3.08,0,0,0,0,3.08,3.08,0,0,3.08,0,0,0,0,27.69,9.23,0,49.23,0,0,0,0,0,0,1.54
AMPH-135GV,-0.067,-138.95,-4350,0,25.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.11,1.35,0,39.19,0,0,0,0,0,0,1.35
AMPH-137GV,2.317,-135.133,-4380,0,26.093,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,72.97,0,0,25.68,0,0,0,0,0,0,0
AMPH-138GV,3.55,-133.167,-4300,0,26.288,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,70.97,1.61,0,25.81,0,0,0,0,0,0,0
AMPH-139GV,6.083,-134.967,-4550,0,26.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,3.03,0,66.67,0,0,0,0,0,0,0
ARIES-046G,36.562,175.387,-3666,0.1,19.525,0,0,0,0,0,0,0,4.17,0,0,1.04,0,0,2.08,23.96,15.63,0,0,0,42.71,0,8.33,0,1.04,0,1.04
ARIES-049G,36.433,178.637,-3902,0.02,18.146,0,0,0,0,0,0,0,4.26,0,0,0,0,0,4.26,35.11,15.96,0,0,0,35.11,0,4.26,0,0,0,1.06
BRA-262D,-64.55,-166.5,-2926,0,0.392,0,0,0,0,0,0,0,0,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
BRA-91AD,-34,171,-549,0,18.13,3.92,0,0,0,0,0,1.96,0,37.25,0.98,0,0,0.98,16.67,0,0.98,0,0,0,26.47,0,0.98,6.86,0,0.98,1.96
BRA-91D,-34,171,-549,0,18.13,3,0,0,0,0,0,4,0,35,0,0,0,1,13,0,1,0,0,0,36,0,1,3,0,1,2
BRA-96D,-34,172,-128,0,18.028,2.97,0,0,0,0,0,1.98,0,41.58,0.99,0.99,0,0.99,14.85,0,0,0,0,0,25.74,0,0.99,5.94,0,0.99,1.98
CAP-1BG,2.1,169.02,,0.06,28.803,0,1.2,2.41,0,7.23,0,3.61,4.82,0,0,0,0,0,0,0,10.84,1.2,0,65.06,0,0,0,0,0,0,3.61
CAP-1HG,2.1,169.02,-4320,0,28.803,1.28,1.28,0,0,0,1.28,3.85,5.13,0,0,1.28,1.28,0,0,0,11.54,1.28,0,67.95,0,0,0,0,0,0,3.85
CAP-2-1BG,0.717,169.33,-4320,0.04,28.753,0,3.3,3.3,0,16.48,1.1,9.89,5.49,0,0,1.1,0,0,0,0,12.09,1.1,0,42.86,0,0,0,0,0,0,3.3
CAP-32HG,-11,-130.4,,0,26.701,0,3.13,0,0,0,6.25,7.81,3.13,0,0,1.56,1.56,0,0,0,1.56,23.44,1.56,42.19,0,0,0,1.56,0,0,6.25
CAP-3HG,0,168.58,-4364,0,28.796,0,0,0,0,0,2.27,3.41,1.14,0,0,0,0,0,0,0,3.41,1.14,1.14,87.5,0,0,0,0,0,0,0
CAP-3HG,0,168.58,-4364,0.04,28.796,0,0,0,0,4.44,2.22,3.33,1.11,0,0,0,0,0,0,0,3.33,0,0,85.56,0,0,0,0,0,0,0
CAP-42-1,-7.317,-118.667,,0,25.665,2.27,0,0,0,0,2.27,2.27,2.27,0,0,2.27,0,0,0,0,56.82,4.55,0,25,0,0,0,0,0,0,2.27
CAP-44BG,-3.7,-121.05,,0,24.532,0,0,0,0,0,1.35,1.35,0,0,0,1.35,0,0,0,0,89.19,1.35,0,2.7,0,0,0,1.35,0,0,1.35
CAP-48-2,5.817,-124.05,,0,26.392,0,0,0,0,0,3.57,3.57,0,0,0,0,0,0,0,0,75,0,0,14.29,0,0,0,0,0,0,3.57
