Event,Latitude,Longitude,Elevation [m],SST (1-12) [°C],Symbiosis,Spinose,Depth [m],Relative_Abundance
A157-3,50.933,-41.75,-4025,11.865,Yes,Yes,0,0.0183
A164-13,35.717,-67.333,-5103,23.219,No,No,0,0.12499999999999999
A164-13,35.717,-67.333,-5103,23.219,No,Yes,0,0.2691
A164-13,35.717,-67.333,-5103,23.219,Yes,No,0,0.385
A164-13,35.717,-67.333,-5103,23.219,Yes,Yes,0,0.5327999999999999
A164-15,36.133,-68.917,-4624,23.264,No,No,0,0.11549999999999999
A164-15,36.133,-68.917,-4624,23.264,No,Yes,0,0.20370000000000002
A164-15,36.133,-68.917,-4624,23.264,Yes,No,0,0.6007
A164-15,36.133,-68.917,-4624,23.264,Yes,Yes,0,0.4428
A164-16,36.15,-69.15,-4624,23.246,No,No,0,0.1366
A164-16,36.15,-69.15,-4624,23.246,No,Yes,0,0.1365
A164-16,36.15,-69.15,-4624,23.246,Yes,No,0,0.3567
A164-16,36.15,-69.15,-4624,23.246,Yes,Yes,0,0.691
A164-17,35.783,-68.933,-4824,23.303,No,No,0,0.15310000000000001
A164-17,35.783,-68.933,-4824,23.303,No,Yes,0,0.19390000000000002
A164-17,35.783,-68.933,-4824,23.303,Yes,No,0,0.5057
A164-17,35.783,-68.933,-4824,23.303,Yes,Yes,0,0.5102000000000001
A164-23,36.217,-69.4,-4512,23.246,No,No,0,0.1771
A164-23,36.217,-69.4,-4512,23.246,No,Yes,0,0.16760000000000003
A164-23,36.217,-69.4,-4512,23.246,Yes,No,0,0.39770000000000005
A164-23,36.217,-69.4,-4512,23.246,Yes,Yes,0,0.5694
A167-12,31.833,-74.35,-4700,24.171,No,No,0,0.17309999999999998
A167-12,31.833,-74.35,-4700,24.171,No,Yes,0,0.0739
A167-12,31.833,-74.35,-4700,24.171,Yes,No,0,0.3
A167-12,31.833,-74.35,-4700,24.171,Yes,Yes,0,0.8853
A167-13,31.65,-75.35,-2880,24.41,No,No,0,0.121
A167-13,31.65,-75.35,-2880,24.41,No,Yes,0,0.0356
A167-13,31.65,-75.35,-2880,24.41,Yes,No,0,0.19990000000000005
A167-13,31.65,-75.35,-2880,24.41,Yes,Yes,0,1.0456
A167-18TW,29.767,-76.8,-1015,25.074,No,No,0,0.054000000000000006
A167-18TW,29.767,-76.8,-1015,25.074,No,Yes,0,0.033499999999999995
A167-18TW,29.767,-76.8,-1015,25.074,Yes,No,0,0.3656999999999999
A167-18TW,29.767,-76.8,-1015,25.074,Yes,Yes,0,0.9220999999999999
A167-1TW,37.65,-72.95,-2706,21.694,No,No,0,0.1689
A167-1TW,37.65,-72.95,-2706,21.694,No,Yes,0,0.0338
A167-1TW,37.65,-72.95,-2706,21.694,Yes,No,0,1.0598
A167-1TW,37.65,-72.95,-2706,21.694,Yes,Yes,0,0.0818
A179-13,23.933,-75.75,-1847,26.873,No,No,0,0.0677
A179-13,23.933,-75.75,-1847,26.873,No,Yes,0,0.09380000000000001
A179-13,23.933,-75.75,-1847,26.873,Yes,No,0,0.1021
A179-13,23.933,-75.75,-1847,26.873,Yes,Yes,0,1.3158
A179-15,24.8,-75.933,-3109,26.549,No,No,0,0.0246
A179-15,24.8,-75.933,-3109,26.549,No,Yes,0,0.1199
A179-15,24.8,-75.933,-3109,26.549,Yes,No,0,0.1322
A179-15,24.8,-75.933,-3109,26.549,Yes,Yes,0,1.2408
A179-20,30.783,-67.667,-4993,23.721,No,No,0,0.1353
A179-20,30.783,-67.667,-4993,23.721,No,Yes,0,0.1486
A179-20,30.783,-67.667,-4993,23.721,Yes,No,0,0.18030000000000002
A179-20,30.783,-67.667,-4993,23.721,Yes,Yes,0,1.131
A179-24,35.767,-69.083,-4663,23.358,No,No,0,0.1115
A179-24,35.767,-69.083,-4663,23.358,No,Yes,0,0.0604
A179-24,35.767,-69.083,-4663,23.358,Yes,No,0,0.5687
A179-24,35.767,-69.083,-4663,23.358,Yes,Yes,0,0.6221
A179-6,19.4,-78.55,-4731,27.741,No,No,0,0.0418
A179-6,19.4,-78.55,-4731,27.741,No,Yes,0,0.0033
A179-6,19.4,-78.55,-4731,27.741,Yes,No,0,0.12120000000000002
A179-6,19.4,-78.55,-4731,27.741,Yes,Yes,0,1.4075
A179-7,19.917,-73.833,-2926,27.867,No,No,0,0.027300000000000005
A179-7,19.917,-73.833,-2926,27.867,No,Yes,0,0.0218
A179-7,19.917,-73.833,-2926,27.867,Yes,No,0,0.2434
A179-7,19.917,-73.833,-2926,27.867,Yes,Yes,0,1.1005
A180-13,39.133,-42.65,-4880,20.205,No,No,0,0.2375
A180-13,39.133,-42.65,-4880,20.205,No,Yes,0,0.0761
A180-13,39.133,-42.65,-4880,20.205,Yes,No,0,0.7968
A180-13,39.133,-42.65,-4880,20.205,Yes,Yes,0,0.2866
A180-15,39.267,-36.7,-4610,19.498,No,No,0,0.2015
A180-15,39.267,-36.7,-4610,19.498,No,Yes,0,0.1902
A180-15,39.267,-36.7,-4610,19.498,Yes,No,0,0.3667
A180-15,39.267,-36.7,-4610,19.498,Yes,Yes,0,0.5224
A180-20,33.333,-27.367,-4040,20.813,No,No,0,0.16720000000000002
A180-20,33.333,-27.367,-4040,20.813,No,Yes,0,0.141
A180-20,33.333,-27.367,-4040,20.813,Yes,No,0,0.301
A180-20,33.333,-27.367,-4040,20.813,Yes,Yes,0,0.7354999999999999
A180-39,25.833,-19.3,-3470,20.833,No,No,0,0.15469999999999998
A180-39,25.833,-19.3,-3470,20.833,No,Yes,0,0.036000000000000004
A180-39,25.833,-19.3,-3470,20.833,Yes,No,0,0.3443
A180-39,25.833,-19.3,-3470,20.833,Yes,Yes,0,0.8326000000000002
A180-69,5.283,-17.067,-5100,27.867,No,No,0,0.1122
A180-69,5.283,-17.067,-5100,27.867,No,Yes,0,0.0398
A180-69,5.283,-17.067,-5100,27.867,Yes,No,0,0.5771000000000001
A180-69,5.283,-17.067,-5100,27.867,Yes,Yes,0,0.3655999999999999
A180-70,3.65,-18.3,-4846,27.379,No,No,0,0.0736
A180-70,3.65,-18.3,-4846,27.379,No,Yes,0,0.0058
A180-70,3.65,-18.3,-4846,27.379,Yes,No,0,0.5717
A180-70,3.65,-18.3,-4846,27.379,Yes,Yes,0,0.3779
A180-72,0.6,-21.783,-3841,26.28,No,No,0,0.0331
A180-72,0.6,-21.783,-3841,26.28,No,Yes,0,0.0033
A180-72,0.6,-21.783,-3841,26.28,Yes,No,0,0.213
A180-72,0.6,-21.783,-3841,26.28,Yes,Yes,0,1.1974
A180-76,-0.767,-26.033,-3512,26.447,No,No,0,0.0193
A180-76,-0.767,-26.033,-3512,26.447,No,Yes,0,0.0032
A180-76,-0.767,-26.033,-3512,26.447,Yes,No,0,0.1948
A180-76,-0.767,-26.033,-3512,26.447,Yes,Yes,0,1.2466000000000002
A180-78,-1.5,-27.017,-4261,26.524,No,No,0,0.0528
A180-78,-1.5,-27.017,-4261,26.524,No,Yes,0,0
A180-78,-1.5,-27.017,-4261,26.524,Yes,No,0,0.3607
A180-78,-1.5,-27.017,-4261,26.524,Yes,Yes,0,0.8061
A181-7,10.55,-57.317,-3766,27.673,No,No,0,0.0146
A181-7,10.55,-57.317,-3766,27.673,No,Yes,0,0
A181-7,10.55,-57.317,-3766,27.673,Yes,No,0,0.1153
A181-7,10.55,-57.317,-3766,27.673,Yes,Yes,0,1.4559
A181-9,20.733,-59.2,-5215,26.69,No,No,0,0.0533
A181-9,20.733,-59.2,-5215,26.69,No,Yes,0,0
A181-9,20.733,-59.2,-5215,26.69,Yes,No,0,0.0587
A181-9,20.733,-59.2,-5215,26.69,Yes,Yes,0,1.4674
A260210A,-29.133,-34.567,-2974,21.872,No,No,0,0.13419999999999999
A260210A,-29.133,-34.567,-2974,21.872,No,Yes,0,0.0374
A260210A,-29.133,-34.567,-2974,21.872,Yes,No,0,0.1623
A260210A,-29.133,-34.567,-2974,21.872,Yes,Yes,0,1.1613999999999998
AH-1,12.833,119.35,-2030,28.383,No,No,0,0.0092
AH-1,12.833,119.35,-2030,28.383,No,Yes,0,0.14090000000000003
AH-1,12.833,119.35,-2030,28.383,Yes,No,0,0.5151
AH-1,12.833,119.35,-2030,28.383,Yes,Yes,0,0.3741999999999999
AH-4,11.2,118.5,-1170,28.486,No,No,0,0.052399999999999995
AH-4,11.2,118.5,-1170,28.486,No,Yes,0,0.2182
AH-4,11.2,118.5,-1170,28.486,Yes,No,0,0.39459999999999995
AH-4,11.2,118.5,-1170,28.486,Yes,Yes,0,0.38830000000000003
AH-5,10.333,117.97,-1152,28.577,No,No,0,0.06149999999999999
