Campaign,Event,Latitude,Longitude,Date/Time,Elevation [m],Depth [m],G. aequilateralis [%],G. bulloides [%],D. grahami [%],G. cavernula [%],G. conglobatus [%],G. crassaformis [%],S. dehiscens [%],G. digitata [%],N. dutertrei [%],G. falconensis [%],G. glutinata [%],G. hirsuta [%],T. humilis [%],G. inflata [%],G. menardii [%],C. nitida [%],P. obliquiloculata [%],N. pachyderma s [%],P/D int [%],G. quinqueloba s [%],G. quinqueloba d [%],G. quinqueloba [%],G. ruber p [%],G. ruber w [%],G. rubescens [%],G. trilobus tril [%],G. trilobus sac [%],G. scitula [%],G. tenellus [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. truncatulinoides [%],G. tumida [%],O. universa [%],G. uvula [%],G. mentum [%],P/D int [%],N. pachyderma d [%]
ARK-V/3b,PS1730-2,70.1165,-17.6943,18/08/1988,-1622,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
ARK-V/3b,PS1730-2,70.1165,-17.6943,18/08/1988,-1622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
ARK-VII/3b,PS1919-2,74.9967,-11.8267,01/09/1990,-1955,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ARK-VII/3b,PS1919-2,74.9967,-11.8267,01/09/1990,-1955,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
ARK-VII/3b,PS1922-1,75.0003,-8.771,02/09/1990,-3350,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
ARK-VII/3b,PS1922-1,75.0003,-8.771,02/09/1990,-3350,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
ARK-VII/3b,PS1922-1,75.0003,-8.771,02/09/1990,-3350,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
ARK-VII/3b,PS1922-1,75.0003,-8.771,02/09/1990,-3350,1.72,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,97.6,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
ARK-VII/3b,PS1922-1,75.0003,-8.771,02/09/1990,-3350,1.9,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,97.3,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6
ARK-VII/3b,PS1927-2,71.4967,-17.1483,03/09/1990,-1706,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
ARK-VII/3b,PS1927-2,71.4967,-17.1483,03/09/1990,-1706,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
ARK-VII/3b,PS1927-2,71.4967,-17.1483,03/09/1990,-1706,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
ARK-VII/3b,PS1927-2,71.4967,-17.1483,03/09/1990,-1706,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
ARK-VII/3b,PS1951-1,68.8417,-20.825,27/09/1990,-1459,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
ARK-VII/3b,PS1951-1,68.8417,-20.825,27/09/1990,-1459,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
ARK-VII/3b,PS1951-1,68.8417,-20.825,27/09/1990,-1459,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
