Core,Region,Longitude,Latitude,Water_depth,Dating_ctrl,Confidence_rank,Productivity_anomlies
V34-90,PA-NEP,150.4666667,48.83333333,1590,"14C, d18O",8,-1
GGC-15,PA-Sok,151.3366667,48.16833333,1980,"14C, d18O",7,99
MD01-2412,PA-NWP,145,44.51666667,822,"14C, d18O",8,-1
W8709A-13PC,PA-NEP,-125.75,42.11683333,2712,14C,8,1
ODP 1020,PA-NEP,-126.434,41.0005,3038,d18O,6,-1
PC6,PA-NWP,143.5,40.4,2980,14C,9,-1
J11,PA-Sok,133.995,40.11833333,1400,"14C, d18O",7,0
1670,PA-Sok,133.55,39.91333333,1105,"14C, d18O",7,99
L13-81-G138,PA-NEP,-123.97,38.41333333,2531,14C,7,99
V21-146,PA-NWP,163.03,37.683,3968,d18O,5,99
NGC108,PA-NWP,158.3483333,36.61416667,2025,d18O,7,1
1603,PA-NWP,130.7233333,35.92166667,1360,"14C, d18O",7,-1
F2-92-P34,PA-NEP,-121.2256667,35.03083333,610,14C,7,99
H3571,PA-NWP,125.837,34.90416667,3571,d18O,7,1
1017E,PA-NEP,-121.1,34.53333333,2391,"14C, d18O",7,99
NP36,PA-NWP,179.2566667,34.195,2664,d18O,6,99
ODP 893,PA-NEP,-120.0366667,34.2875,575,"14C, d18O",7,-1
V1-81-G15,PA-NEP,-120.4295,33.34666667,1430,14C,8,-1
F2-92-P29,PA-NEP,-119.7371667,32.91533333,1475,14C,8,-1
S2612/NGC 102,PA-NWP,157.85,32.33066667,2612,d18O,5.99,99
ODP 1012,PA-NEP,-118.3836667,32.28283333,1772,d18O,6,1
LPAZ 21P,PA-NEP,-109.4666667,22.99,624,d18O,5,-1
NH8P,PA-NEP,-107.075,22.38833333,1018,"14C, d18O",7.98,-1
NH15P,PA-NEP,-106.48,22.06666667,420,"14C, d18O",7.98,-1
NH22P,PA-NEP,-106.5183333,21.51833333,2025,"14C, d18O",9,-1
TT013-104,PA-EEQ,-139.6366667,5.078333333,4416,14C,9,-0.5
GS7202-9,PA-EQ,-89.32,4.825,3188,d18O,4,-1
DSDP 503B,PA-EQ,-95.6,4,3672,d18O,6,99
RC13-140,PA-EQ,-87.75,2.867,2246,14C,8,99
P7,PA-EEP,-83.98633333,2.606,3085,"14C, d18O",9,1
TR163-19P,PA-EEP,-90.95166667,2.258333333,2348,"14C, d18O",11,1
TT013-076,PA-EEQ,-140.149,2.065666667,4414,14C,9,-0.5
TT013-098,PA-EEQ,-140.1433333,2.058333333,4413,14C,9,-0.5
TT013-077,PA-EEQ,-140.1425,2.057333333,4412,14C,9,-0.5
RC11-210,PA-EQ,-140,1.816666667,4420,d18O,7,99
GC51 / WEC8803B-GC51,PA-EQ,-133.6,1.3,4410,d18O,5,99
MANOPC / W8402A-GC14,PA-EEQ,-138.955,0.953333333,4287,d18O,6,1
P6,PA-EQ,-86.12833333,0.871666667,2712,14C,6,1
TR163-22P,PA-EEP,-92.34833333,0.515,2830,"14C, d18O",11,1
ODP 849B,PA-EQ,-110.517,0.183,3851,d18O,7,
TT013-048,PA-EEQ,-139.735,0.12,4315,14C,9,-0.5
TT013-069,PA-EEQ,-139.7233333,0.111666667,4307,14C,9,-0.5
TT013-072,PA-EQ,-139.4,0.11,4298,"14C, d18O",10,-1
TT013-065,PA-EEQ,-139.735,0.106666667,4307,14C,9,-0.5
RC13-110,PA-EQ,-95.65,0.1,3231,d18O,5,99
Y69-71P,PA-EEP,-86.48333333,0.1,2740,"14C, d18O",11,1
VNT01-8PC,PA-EQ,-110.4833333,0.033333333,3791,d18O,8,-1
ME0005-24JC,PA-EEP,-86.46313333,0.0217,2941,14C d18O,12,1
PC72 / TT013-PC72,PA-EEQ,-140,0,4298,"14C, d18O",11,0
P2,PA-EQ,-92.98166667,-1.408333333,3510,14C,6,1
RC11-238,PA-EQ,-85.817,-1.517,2573,14C,10,-1
RC13-114,PA-EQ,-103.63,-1.65,3436,"14C, d18O",10,-1
TT013-018,PA-EEQ,-138.71,-1.84,4354,"14C, d18O",10,-1
ME0005-27JC,PA-EEP,-82.78666667,-1.85335,2203,"14C, d18O",10,99
V19-28,PA-EQ,-84.48,-2.47,2670,d18O,5,99
ODP 846B,PA-EQ,-90.818,-3.095,3307,d18O,5,-0.5
V19-30,PA-EEP,-83.517,-3.383,3091,d18O,7.99,99
V19-29,PA-EQ,-83.93333333,-3.583333333,3157,n/a,4,99
TR163-31P,PA-EEP,-83.95,-3.6,3209,d18O,10,-1
V21-40,PA-EQ,-106.767,-5.517,3182,14C,10,-1
Y71-9-101,PA-EQ,-106.94,-6.383,3175,d18O,8,-1
ODP 681A,PA-EQ,-77.95933333,-10.97666667,150.5,d18O,4,99
ODP 680,PA-EQ,-78.07783333,-11.065,252.5,d18O,5,-1
ODP 686A,PA-EQ,-76.8915,-13.48016667,446.8,d18O,4,99
SCS90-36,PA-SCS,111.494,17.995,2050,"14C, d18O",8,-1
NGC34 / C2188,PA-WEQ,141.4906667,3.8015,2188,d18O,7,-1
KH92-1-5cBX,PA-WEQ,141.86,3.533333333,2282,14C,6,-1
C4402,PA-WEQ,135.0216667,2.996666667,4402,d18O,7,1
RC17-177,PA-WEQ,159,1.75,2600,"14C, d18O",10,-1
O3187,PA-WEQ,160.573,1.219833333,3187,d18O,7,-1
V28-203,PA-WEQ,-179.4167,0.95,3243,d18O,7,99
RNDB 74P,PA-WEQ,159.3748333,0.341333333,2547,d18O,8,-0.5
ODP806,PA-WEQ,159,0.316666667,2550,d18O,7,
MD97-2138,PA-WEQ,146.24,-1.25,1900,"14C, d18O",8,99
MW91-9GGC48,PA-WEQ,158.57,-0.14,2311,"14C, d18O",8,99
NGC100,PA-SW,162,-25.27,1299,d18O,6,-1
NGC99,PA-SW,162,-29.99666667,1158,d18O,6,-1
17748-2,PA-SE,-72.03333333,-32.75,2545,14C,9,1
GeoB3302-1,PA-SE,-72.09,-33.21833333,1498,14C,9,1
NGC98,PA-SW,162.51,-34.99833333,1338,d18O,6,-1
NGC97 / LH3166,PA-SW,160.9983333,-35.4995,3116,d18O,6,0.5
Fr94-GC3,PA-SW,149.9833333,-44.25,2667,d18O,5,1
DSDP 594,PA-SE,171.95,-45.51666667,1204,d18O,5,1
TSP-2MC,PA-SW,146.9,-48.12666667,2283,"14C, d18O",7,1
TSP-2PC,PA-SW,146.875,-48.13666667,2321,"14C, d18O",7,0.5
TSP-3PC,PA-SW,146.4116667,-48.55833333,2897,d18O,6,1
VM16-121,SOC-Pac,164.38,-50.667,3614,"14C, LC",9,99
TN057-14PC4,SOC-Atl,4.5163,-51.9843,3648,LC,5,99
TN057-13PC4,SOC-Atl,5.1275,-53.1728,2848,"14C, LC",9.98,-1
E33-22,SOC-Pac,-120,-54.93,2744,d18O,8.98,0
E20-13,SOC-Pac,-104.95,-55,3895,14C,10,1
V16-116,PA-SW,147.4833333,-55.09166667,3296,LC,6,0
VM16-115,SOC-Pac,141.28,-55.68,3147,"14C, LC",10,-1
E15-28,SOC-Pac,-149.817,-56.017,3328,14C,11,-1
E11-2,SOC-Pac,-115.09,-56.07,3111,d18O,8.98,1
E25-16,SOC-Pac,-156.217,-56.15,3621,"14C, LC",9,99
E14-5,SOC-Pac,-160.53,-56.2,4015,"LC, 14C",8,99
NBP9802-9PC1,SOC-Pac,-170.2,-56.9,4943,LC,5,99
E11-3,SOC-Pac,-115.243,-56.903,4023,"14C, LC",9,-1
E14-6,SOC-Pac,-160.15,-57.01,4517,"LC, 14C",8,99
VM17-88TW,SOC-Pac,-74.483,-57.033,4063,LC,5.99,99
E14-17,SOC-Pac,-124.947,-57.828,3904,14C,9.98,1
E11-4,SOC-Pac,-115.216,-57.833,4774,LC,6,1
E15-5,SOC-Pac,-99.983,-58.017,4307,"14C, LC",10,1
RC8-71,SOC-Pac,155.733,-58.05,3224,"14C, LC",10,-1
E15-14,SOC-Pac,-120.142,-58.058,4255,14C,8,99
E15-12,SOC-Pac,-108.8,-58.683,4572,LC,5,99
E23-18,SOC-Pac,-115,-58.983,5272,LC,8,-1
E14-16,SOC-Pac,-125.0333,-58.988,4499,LC,5,99
E15-4,SOC-Pac,-99.758,-59.017,4910,LC,6,99
VM18-93,SOC-Pac,-64.783,-59.483,3834,"14C, LC",9.98,1
EL27-23PC,SOC-Pac,155.24,-59.62,3182,14C,9.98,-1
E27-23,SOC-Pac,155.24,-59.62,3182,"14C, LC",9.98,-1
E33-19,SOC-Pac,-119.663,-59.858,4389,"14C, LC",8,99
E15-6,SOC-Pac,-101.317,-59.967,4517,LC,5,99
VM17-90,SOC-Pac,-74.933,-60.133,4568,LC,6.98,1
E23-17,SOC-Pac,-114.633,-60.217,5026,lc,8,-1
E20-10,SOC-Pac,-127.05,-60.22,4474,LC,8,-1
E21-20,SOC-Pac,-120.17,-60.25,4701,14C,11,-1
NBP9802-7PC1,SOC-Pac,-170.18,-60.25,3860,14C,8,99
E36-36,SOC-Pac,157.533,-60.388,2816,"14C, LC",9,99
E11-7,SOC-Pac,-114.777,-60.918,5029,LC,6.98,-1
E17-7,SOC-Pac,-134.35,-61.083,4435,"14C, LC",9.98,-1
VM18-73,SOC-Pac,-73.283,-61.533,4568,LC,6.98,1
NBP9802-6PC1,SOC-Pac,-169.98,-61.88,3245,"14C, d18O",11,-1
E19-6,SOC-Pac,-107.958,-61.933,5064,LC,6.98,-1
E19-7,SOC-Pac,-109.088,-62.163,5051,LC,8,-1
E17-9,SOC-Pac,-135,-63.08,4849,LC,6.98,-1
NBP9802-5GC1,SOC-Pac,-169.74,-63.11,2940,"14C, d18O",11,-1
E23-14,SOC-Pac,-108.85,-63.816667,4957,LC,6.8,-1
NBP9802-4GC1,SOC-Pac,-170.08,-64.2,2688,"14C, d18O",12,-1
E11-12,SOC-Pac,-115.083,-65.87,4718,LC,6,-1
NB9802_5GC1/5MC1,PA-S,-169.74,-66.11,2940,"14C, d18O",9.98,-1
NB9802_3GC1/3MC1,SOC-Pac,-169.5,-66.13,3232,"14C, d18O",8,99
ANTA91-8,PA,172.8333333,-70.78333333,2383,230Thex,5.98,-0.5
93KL,IN,64.21666667,23.58333333,1802,"d18O, LC",9,1
232SK,IN,64.6,21.78,3098,d18O,5,
57KL,IN,63.12,20.91,3422,d18O,6,-1
RC27-23,IN-Oman,57.59,17.99333333,820,d18O (GISP2),5,-1
77200,IN,67.89,16.54,2910,d18O,5,
74KL,IN,52.38333333,14.321,3212,d18O,8,-1
14KL,IN,44.75,14.26,3920,d18O,5,
15KL,IN-EQ,44.75,14.26,3920,d18O,5,99
3104G,IN,72,13,1070,14C,7,1
MD85682,IN-EQ,52.38333333,10.89166667,3092,d18O,4,
87KL,IN,57.74,10.5,3773,d18O,6,-1
MD77194,IN-Arabian,75.23333333,10.46666667,1222,d18O,5,1
SK-185-20,IN,71.5,10,2050,14C,6,1
182SK,IN,73.7,8.77,2234,d18O,5,
76123,IN,78.66,6.39,2631,d18O,5,
3101G,IN,74,6,2070,14C,7,1
MD900963,IN-EQ,73.87666667,5.055,2446,d18O,6,1
GC4,IN-Timor Sea,52.38333333,-12.28333333,2069,d18O,6,1
GC5,IN-Timor Sea,52.38333333,-12.36666667,1462,d18O,6,1
ODP 723,IN-Arabian,57.60935,18.05131667,816,d18O,7,1
GeoB3005,IN-Arabian,54.37,14.97166667,2310,d18O,7,1
94KL,IN,65.64983333,22.4885,2109,d18O,7,1
E49-21,IN,94.9,-42.2,3328,n/a,8,1
RC11-120,IN,79.9,-43.5,3193,d18O,9,1
MD94-102,IN,79.8,-43.5,3205,n/a,10,1
MD84-527,IN,51.31666667,-43.83333333,3269,14C,10,-1
E49-19,IN,90.1,-43.9,3069,n/a,8,1
E45-29,IN,106.5,-44.9,3863,n/a,8,1
MD88-768,IN,82.9,-45.8,3330,n/a,7.5,0.5
MD88-770,IN,96.5,-46,3290,d18O,9,1
MD88-769,IN,90.1,-46.1,3420,d18O,10,1
MD88-767,IN,79.5,-46.7,2920,n/a,8,-0.5
E49-23,IN,95.1,-47.1,3206,n/a,8,1
MD88-779,IN,146.5458333,-47.84483333,2260,d18O,4.5,1
MD88-771,IN,100.1,-49.9,3310,n/a,8,1
MD88-772,IN,104.9,-50,3240,n/a,10,1
KGL 01,IN,68.5,-50.7,1648,n/a,9,-1
MD80-304,IN,67.43333333,-51.06666667,1930,d18O,6,-1
MD88-773,IN,109.9,-52.9,2460,n/a,10,-1
MD84-552,IN,73.83333333,-54.91666667,1780,d18O,10,-1
MD84-551,IN,73.26666667,-55,2230,d18O,10,-1
MD84-787,IN,145.3,-56.4,3020,n/a,10,-1
MD88-788,IN,144.6,-58,3740,n/a,9,-1
MD84-540,IN,86.4,-60.7,3964,n/a,9,-1
KR8830,IN,93.2,-61,4300,n/a,10,-1
KR8814,IN,144.4,-61.3,4200,n/a,8,-1
KR8815,IN,141.9,-63.3,3880,n/a,9,-1
KR8824,IN,116.4,-63.8,2600,n/a,8,-1
MD88-791,IN,119.5,-64.7,3150,n/a,8.98,1
MD94-104,IN,88.1,-46.5,3460,"14C, d18O",8,1
