,bn,bs,sn,ss,sst,po4,prey,fe,lat,upwelling,stratification
117,0.5859584,0.41404164,3.2176626e-09,1.4085719e-09,1.2712444,8.256301e-07,0.34937665,6.8798667e-10,53.66394230733816,1,-3.6364017e-07
118,0.5870207,0.41297933,2.8122058e-09,1.3070435e-09,0.8303961,8.828907e-07,0.34580764,6.988762e-10,53.66394230733816,1,2.8816203e-08
119,0.5926168,0.40738314,2.6932019e-09,1.1991763e-09,0.4754672,9.117697e-07,0.36383283,6.998233e-10,53.66394230733816,1,-1.4336752e-07
120,0.59303164,0.40696836,2.3620996e-09,1.2045168e-09,0.38526854,9.720769e-07,0.35759076,7.112353e-10,53.66394230733816,1,-1.613148e-07
121,0.6060688,0.39393127,3.123758e-09,1.3786775e-09,0.38216087,1.0290336e-06,0.3498747,7.210997e-10,53.66394230733816,1,-2.4140616e-07
122,0.6898693,0.31013072,7.315544e-09,2.2540148e-09,0.5377954,1.0305422e-06,0.34938246,7.156645e-10,53.66394230733816,1,-2.9712862e-07
123,0.8263563,0.17364372,1.3750505e-08,3.7232866e-09,0.7890357,1.0315854e-06,0.34700528,7.133222e-10,53.66394230733816,1,-3.5390792e-07
124,0.9999977,2.2703803e-06,2.8117094e-08,7.360108e-09,1.0027076,9.807693e-07,0.33625412,6.948021e-10,53.66394230733816,1,-6.6677114e-07
125,0.99999696,2.917633e-06,6.15638e-08,1.6908425e-08,1.4035655,8.74917e-07,0.3231964,6.6631667e-10,53.66394230733816,1,-3.0418867e-06
126,0.8570327,0.14296731,1.2526226e-08,3.6234686e-09,1.1885656,7.93854e-07,0.34393972,6.4020483e-10,53.66394230733816,0,-3.3370043e-07
127,0.7394084,0.2605916,6.779149e-09,2.4291302e-09,0.81156886,7.333519e-07,0.34433186,6.363507e-10,53.66394230733816,0,-4.4729984e-07
128,0.6479041,0.31409287,0.027033709,0.010969275,-0.4761283,5.9332615e-07,0.2608836,6.497593e-10,53.66394230733816,1,-7.037704e-07
129,0.661043,0.2521472,0.06310963,0.023700206,-0.9314936,5.9654457e-07,0.19909221,7.0461376e-10,53.66394230733816,1,-5.327582e-07
130,0.66421276,0.25568935,0.058594774,0.021503072,-1.0321223,6.2131153e-07,0.20082994,7.372327e-10,53.66394230733816,1,7.3593014e-08
131,0.65919507,0.25678608,0.058416877,0.025602093,-1.1091818,7.224695e-07,0.20092629,7.771578e-10,53.66394230733816,1,-1.04793344e-07
132,0.6700144,0.25614527,0.055031512,0.018808845,-1.1394428,8.088679e-07,0.19875681,7.841178e-10,53.66394230733816,1,-9.5809696e-08
133,0.6584903,0.26722795,0.052096583,0.022185156,-1.1493965,8.7534823e-07,0.20924582,7.758912e-10,53.66394230733816,1,-1.7176808e-07
134,0.6684142,0.25816435,0.05442221,0.018999267,-1.1200923,9.2106836e-07,0.20147218,7.621441e-10,53.66394230733816,1,-1.9311528e-07
135,0.6694983,0.26176095,0.051243633,0.01749708,-1.0762706,9.688256e-07,0.20396939,7.544821e-10,53.66394230733816,1,-2.493266e-07
136,0.67185783,0.25807726,0.052461304,0.017603522,-1.0153638,1.0002171e-06,0.20140241,7.4403983e-10,53.66394230733816,1,-2.4941096e-07
137,0.6523249,0.29594827,0.036486544,0.01524023,-0.86655766,9.988624e-07,0.23119265,7.329801e-10,53.66394230733816,1,-2.5124723e-07
138,0.6615555,0.2879743,0.037377656,0.013092497,-0.7174251,1.0690035e-06,0.22378066,7.3994677e-10,53.66394230733816,1,-3.283692e-07
139,0.66214406,0.2925414,0.03349173,0.011822769,-0.66823053,1.1626095e-06,0.22729103,7.520062e-10,53.66394230733816,1,-4.0386135e-07
140,0.6626861,0.29088458,0.03426721,0.012162143,-0.641583,1.1433492e-06,0.22641407,7.3918793e-10,53.66394230733816,1,-3.0467436e-07
141,0.64900106,0.31404528,0.02630582,0.010647872,-0.704738,1.0377472e-06,0.25276673,7.118409e-10,53.66394230733816,1,-4.7130993e-07
142,0.6576897,0.30498353,0.027330238,0.009996537,-0.5551518,1.0179494e-06,0.24194446,7.0571143e-10,53.66394230733816,1,-5.0443987e-07
143,0.70259607,0.28211838,0.011155248,0.0041302894,-0.4355628,1.0920046e-06,0.28135818,7.203765e-10,53.66394230733816,1,-4.820665e-07
144,0.49756685,0.5024331,3.8876324e-09,1.4207542e-09,2.1644347,9.4298287e-07,0.35664412,7.283378e-10,48.59037774223244,1,-3.921449e-07
145,0.49815503,0.50184494,5.925398e-09,1.6625222e-09,2.7190151,9.215925e-07,0.35169414,7.311258e-10,48.59037774223244,1,-4.667146e-07
146,0.5023184,0.49546632,0.002215283,2.0311162e-09,3.4378312,8.554312e-07,0.34290805,7.257073e-10,48.59037774223244,1,-3.6943607e-07
147,0.4937062,0.4866831,0.019610727,2.5830877e-09,4.0825405,7.731144e-07,0.33860892,7.1279266e-10,48.59037774223244,1,-3.4318396e-07
148,0.4890701,0.47980458,0.031125318,3.4695138e-09,4.695828,6.8550435e-07,0.33344474,6.9697836e-10,48.59037774223244,1,-2.5363255e-07
149,0.4696162,0.46895832,0.04538902,0.01603642,5.3592567,5.8254426e-07,0.32780835,6.722036e-10,48.59037774223244,0,-6.518981e-07
150,0.5253829,0.4517643,0.02285279,6.7379413e-09,6.4169664,4.5727032e-07,0.31197396,6.383214e-10,48.59037774223244,0,-1.9446234e-06
151,0.5177785,0.45856586,0.023655681,5.722092e-09,5.949728,4.4742015e-07,0.3204814,6.273252e-10,48.59037774223244,0,-1.5635601e-07
152,0.4714377,0.46572542,0.042220093,0.020616828,5.3691945,4.848194e-07,0.328673,6.2260946e-10,48.59037774223244,0,-1.4134688e-06
153,0.4505224,0.4761536,0.048053004,0.025270911,4.5120316,5.335409e-07,0.34297198,6.184511e-10,48.59037774223244,0,-1.9266719e-07
154,0.47009066,0.4951695,0.034003723,0.00073613477,3.7397242,6.0038025e-07,0.34903336,6.246973e-10,48.59037774223244,0,-1.4703716e-07
155,0.47534305,0.49798036,0.026676616,2.5948688e-09,3.4827125,6.409607e-07,0.3509501,6.2975336e-10,48.59037774223244,1,-1.7425349e-07
156,0.48462036,0.49904734,0.016332272,2.158468e-09,3.3885846,6.783009e-07,0.34909874,6.365363e-10,48.59037774223244,1,-2.5148907e-07
157,0.49211442,0.49937734,0.008508174,1.9924205e-09,3.3609903,7.1223263e-07,0.34735,6.4223743e-10,48.59037774223244,1,-2.5179656e-07
158,0.4987365,0.49745128,0.003812265,2.008904e-09,3.4955263,7.197514e-07,0.34463313,6.414379e-10,48.59037774223244,1,-2.5765883e-07
159,0.5149187,0.4850813,5.9862217e-09,1.9845088e-09,3.5614567,7.3782354e-07,0.34082672,6.4330313e-10,48.59037774223244,1,-2.5032136e-07
160,0.52964085,0.4703591,5.667447e-09,2.1023887e-09,3.6588264,7.3381875e-07,0.33913022,6.390879e-10,48.59037774223244,1,-5.1758747e-07
161,0.54190475,0.45809522,6.55446e-09,2.5147497e-09,4.022406,6.0873947e-07,0.33716547,6.0397237e-10,48.59037774223244,0,-2.8671925e-06
164,0.46364608,0.51540834,0.020945683,1.2052539e-09,1.5355486,2.8462387e-07,0.38097003,6.107997e-10,48.59037774223244,1,-4.982338e-07
165,0.6322291,0.36777085,2.750595e-09,1.3679653e-09,0.93493265,2.3707605e-07,0.35454136,6.4106104e-10,48.59037774223244,1,-9.003175e-08
166,0.85576487,0.14423507,6.2329373e-09,2.5295648e-09,0.5220375,3.0023764e-07,0.33594424,6.692477e-10,48.59037774223244,1,-8.3315456e-08
167,0.6628982,0.3371018,4.2169406e-09,1.5586292e-09,0.3959854,3.6405567e-07,0.33277938,6.891483e-10,48.59037774223244,1,-1.3192812e-07
168,0.61197567,0.38802436,4.051718e-09,1.3676277e-09,0.32857308,4.2427118e-07,0.34304437,6.9470013e-10,48.59037774223244,1,-2.0406776e-07
169,0.73138326,0.2686167,5.0368554e-09,1.7023214e-09,0.29688948,4.8855975e-07,0.31546456,6.954647e-10,48.59037774223244,1,-1.7704326e-07
170,0.5164215,0.48357853,2.1507436e-09,8.5900576e-10,0.36319458,6.1601946e-07,0.35643017,7.1561007e-10,48.59037774223244,1,-2.0745449e-07
171,0.47939423,0.52060574,2.035777e-09,8.0299056e-10,0.45330098,7.0182443e-07,0.38566324,7.2371054e-10,48.59037774223244,1,-1.6427578e-07
172,0.47606447,0.5239355,2.2950628e-09,9.507887e-10,0.6586273,7.276387e-07,0.37815174,7.1623923e-10,48.59037774223244,1,-3.2758976e-07
173,0.47906187,0.5209381,3.0146887e-09,1.0960011e-09,1.26009,7.395136e-07,0.3704674,7.1733985e-10,48.59037774223244,1,-2.8565398e-07
174,0.4779367,0.5220634,4.9945723e-09,1.162139e-09,1.4681141,7.736245e-07,0.3693909,7.148151e-10,48.59037774223244,1,-2.7027863e-07
175,0.47735974,0.52264017,5.21229e-09,1.1509228e-09,1.4425687,8.201163e-07,0.37005335,7.1155043e-10,48.59037774223244,1,-3.7938042e-07
176,0.48119912,0.51880085,3.4362029e-09,1.1815954e-09,1.6109192,8.9012514e-07,0.36489514,7.2479106e-10,48.59037774223244,1,-2.7884437e-07
177,0.48058096,0.5194191,3.1811047e-09,1.1489186e-09,1.50994,8.792539e-07,0.3665025,7.1293876e-10,48.59037774223244,1,-4.5043566e-07
178,0.49399322,0.5060068,2.9961549e-09,1.2756914e-09,1.7877417,9.0362374e-07,0.35793024,7.2134104e-10,48.59037774223244,1,-4.4336696e-07
179,0.49337608,0.50662386,3.2258378e-09,1.3140979e-09,1.8321354,9.403113e-07,0.35786164,7.256632e-10,48.59037774223244,1,-3.300014e-07
180,0.436014,0.46341768,0.060391936,0.04017636,5.109187,5.9183054e-07,0.33709002,6.8304046e-10,43.9829630039656,1,-4.069734e-07
181,0.42781165,0.4540403,0.066964574,0.051183473,5.612517,5.4692754e-07,0.3337475,6.7145856e-10,43.9829630039656,1,-3.8112265e-07
182,0.42455444,0.44258153,0.071039334,0.061824694,6.308967,4.6628102e-07,0.32715026,6.543721e-10,43.9829630039656,0,-6.852343e-07
183,0.4315883,0.43065816,0.07027793,0.06747563,7.024469,3.904639e-07,0.32060662,6.405367e-10,43.9829630039656,0,-7.084323e-07
184,0.4491601,0.4123023,0.06172687,0.07681075,7.692756,2.9855656e-07,0.31524464,6.1708233e-10,43.9829630039656,0,-4.165518e-07
185,0.5533033,0.34826377,0.014492161,0.08394072,8.99775,2.064298e-07,0.29540977,5.7516747e-10,43.9829630039656,0,-3.418303e-07
186,0.47242892,0.2612697,0.12274434,0.14355707,10.4911,1.0967052e-07,0.23668389,5.2256516e-10,43.9829630039656,0,-1.0341955e-06
188,0.43280548,0.3484783,0.07989158,0.13882461,9.859178,1.3881989e-07,0.30261454,4.4331092e-10,43.9829630039656,1,3.7040678e-08
189,0.4162673,0.39606228,0.078901134,0.108769335,8.73907,2.201005e-07,0.31609762,4.832781e-10,43.9829630039656,0,-2.9795456e-07
190,0.40651754,0.414311,0.0816331,0.0975384,7.9072795,2.63701e-07,0.32517686,4.994553e-10,43.9829630039656,0,-2.3092389e-07
191,0.42390865,0.42334944,0.07125279,0.08148914,7.3551035,3.2008467e-07,0.32330218,5.187273e-10,43.9829630039656,0,-2.1280749e-07
192,0.42632574,0.43031055,0.069014825,0.07434882,7.00848,3.5261147e-07,0.32474208,5.2834775e-10,43.9829630039656,0,-2.1491314e-07
193,0.42820516,0.43458313,0.067436434,0.069775246,6.776836,3.7163724e-07,0.32609367,5.3254534e-10,43.9829630039656,0,-2.068989e-07
194,0.43263915,0.43773997,0.06465374,0.06496715,6.5984006,3.8134448e-07,0.3268648,5.3326554e-10,43.9829630039656,0,-1.6963634e-07
195,0.44931272,0.44284976,0.055692095,0.05214545,6.336675,4.0488456e-07,0.3254623,5.381417e-10,43.9829630039656,0,-1.2295243e-07
196,0.45760518,0.4468984,0.05217066,0.043325745,6.180527,4.0566297e-07,0.3274039,5.3566934e-10,43.9829630039656,0,-2.5623842e-07
197,0.51931965,0.44622996,0.020921571,0.013528782,6.307376,3.407032e-07,0.32297024,5.2232363e-10,43.9829630039656,0,-8.49759e-07
198,0.5634915,0.2961395,0.07568451,0.06468439,7.56455,1.7710833e-07,0.2792236,5.501831e-10,43.9829630039656,0,-2.5517243e-06
200,0.43279335,0.27382964,0.14516516,0.14821193,5.5462503,6.4153085e-08,0.29535696,6.733632e-10,43.9829630039656,0,-4.5085514e-07
201,0.99999994,5.7973047e-08,1.1330711e-08,9.484235e-09,5.0011487,1.048782e-07,0.32150763,6.8684275e-10,43.9829630039656,0,-6.08232e-08
202,0.6147299,0.38527015,4.0809742e-09,2.984509e-09,4.268978,1.5298797e-07,0.33952412,6.808955e-10,43.9829630039656,0,-4.1201838e-07
203,0.54719836,0.45280164,3.68445e-09,2.3549802e-09,3.896989,2.005242e-07,0.34767637,6.860364e-10,43.9829630039656,0,-1.0647689e-07
204,0.5131526,0.4868474,4.2347152e-09,2.10299e-09,3.4708898,2.3330989e-07,0.354953,6.8377104e-10,43.9829630039656,1,-1.1358202e-07
205,0.48162675,0.4979345,0.020438742,2.286544e-09,3.1870844,2.819905e-07,0.36078438,6.826922e-10,43.9829630039656,1,-1.0460917e-07
206,0.4535456,0.49379596,0.042694177,0.009964262,3.1123505,3.3551024e-07,0.36352217,6.834804e-10,43.9829630039656,1,-8.09505e-08
207,0.43613416,0.4848697,0.05384501,0.025151152,3.294336,3.7025242e-07,0.36356544,6.7830613e-10,43.9829630039656,0,-1.0050876e-07
208,0.4266159,0.47310853,0.061368402,0.03890719,3.9406989,3.8841407e-07,0.3567428,6.7590344e-10,43.9829630039656,0,-1.5575071e-07
209,0.42092636,0.456972,0.067846425,0.054255184,5.0904675,4.0342448e-07,0.3427766,6.864802e-10,43.9829630039656,0,-3.519345e-07
210,0.41601104,0.45238873,0.07136372,0.06023653,5.427036,4.2348887e-07,0.33957398,6.869752e-10,43.9829630039656,0,-3.3660336e-07
211,0.41369605,0.45569575,0.07167516,0.058932982,5.2075057,4.6627574e-07,0.34255254,6.8085854e-10,43.9829630039656,0,-4.7234118e-07
212,0.4352907,0.46202618,0.060930807,0.041752264,5.1020284,5.2387657e-07,0.3362927,6.8665085e-10,43.9829630039656,0,-3.1807562e-07
213,0.44081768,0.4681785,0.05700882,0.03399487,4.825473,5.7260826e-07,0.33883345,6.9075473e-10,43.9829630039656,1,-5.3313994e-07
214,0.4414296,0.46850118,0.056549553,0.03351973,4.8222303,5.83092e-07,0.33868995,6.8996453e-10,43.9829630039656,1,-2.680282e-07
215,0.4390055,0.46880427,0.057519797,0.034670472,4.788978,6.0893404e-07,0.3401024,6.8919825e-10,43.9829630039656,1,-3.552173e-07
216,0.42068174,0.4108803,0.07884726,0.08959075,8.036508,3.0583084e-07,0.3159505,6.2965444e-10,39.709016444306975,0,-5.770727e-07
217,0.42887294,0.39630473,0.075191535,0.099630795,8.534274,2.594194e-07,0.3115672,6.094621e-10,39.709016444306975,0,-4.4887565e-07
218,0.49125442,0.34974298,0.046435535,0.11256704,9.318602,1.8790627e-07,0.29840326,5.901933e-10,39.709016444306975,0,-1.5365231e-07
219,0.9999999,1.22595e-07,2.9040484e-08,4.37496e-08,10.271388,1.348469e-07,0.26729712,5.9100813e-10,39.709016444306975,0,-3.97809e-07
220,0.453462,0.24340665,0.13412413,0.16900717,10.788131,8.510119e-08,0.23121223,5.68079e-10,39.709016444306975,0,9.85284e-07
221,0.34991628,0.15358616,0.1793352,0.31716242,13.352339,4.3988486e-08,0.18328406,4.767622e-10,39.709016444306975,0,-2.5264194e-07
224,0.28269055,0.12236683,0.19325577,0.40168688,15.344629,2.9053673e-08,0.17345041,3.5405553e-10,39.709016444306975,1,7.169971e-07
225,0.39864942,0.18054183,0.1560395,0.26476926,14.054712,5.9802815e-08,0.1956667,3.8014317e-10,39.709016444306975,0,2.952929e-07
226,0.52969056,0.20645371,0.0961342,0.16772155,12.714748,8.649461e-08,0.23931663,3.9852016e-10,39.709016444306975,0,4.681391e-08
227,0.7488317,6.0547485e-08,1.7699728e-08,0.25116834,11.804324,1.05407956e-07,0.2620414,4.0981554e-10,39.709016444306975,0,4.9793357e-08
228,0.6593732,0.13884833,1.44918575e-08,0.20177838,11.044175,1.2159362e-07,0.27515018,4.1828654e-10,39.709016444306975,0,3.435241e-08
229,0.6519982,0.21549307,1.443464e-08,0.1325087,10.232375,1.5730164e-07,0.28120822,4.3517986e-10,39.709016444306975,0,5.358578e-08
230,0.6168892,0.27890873,1.4303653e-08,0.1042021,9.619862,1.697819e-07,0.28821108,4.409937e-10,39.709016444306975,0,8.8836714e-08
231,0.6082383,0.3086888,1.2998596e-08,0.083073005,9.071765,1.7708403e-07,0.29446197,4.4288648e-10,39.709016444306975,0,9.0927074e-08
232,0.64331,0.2975768,1.18120065e-08,0.059113204,8.71915,1.7000445e-07,0.29769757,4.3705184e-10,39.709016444306975,0,2.1350203e-07
233,0.9999995,2.7352758e-07,6.849484e-08,7.001834e-08,8.832001,1.3149292e-07,0.2784514,4.215177e-10,39.709016444306975,0,2.2983613e-08
234,0.362214,0.19106403,0.17945686,0.2672651,10.130496,5.0596586e-08,0.19410922,4.7559645e-10,39.709016444306975,0,6.392304e-07
236,0.3131992,0.1878099,0.19709042,0.30190048,9.563869,3.3329204e-08,0.20036377,8.7215063e-10,39.709016444306975,1,1.6012566e-06
237,0.46732783,0.2646347,0.12260399,0.14543349,10.094846,8.205358e-08,0.24100314,7.6264395e-10,39.709016444306975,0,2.456151e-07
238,0.5953281,0.2520479,0.07529615,0.07732786,9.043865,1.2205909e-07,0.26897833,7.4090944e-10,39.709016444306975,0,-5.5291935e-08
239,0.99999994,1.1900507e-07,2.2044802e-08,2.0431798e-08,8.112269,1.426808e-07,0.28621167,7.279159e-10,39.709016444306975,0,-6.490973e-08
240,0.87665457,0.12334543,1.2274239e-08,1.0452216e-08,6.9382224,1.48618e-07,0.30514875,7.0286715e-10,39.709016444306975,0,-7.6663326e-08
241,0.71509767,0.28490227,8.362974e-09,6.8417982e-09,6.366497,1.54565e-07,0.31475678,6.836218e-10,39.709016444306975,0,2.0727384e-08
242,0.60548925,0.39451075,6.604344e-09,5.530245e-09,6.067731,1.5560992e-07,0.325218,6.587061e-10,39.709016444306975,0,-1.1388056e-07
